analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_0_yearly_False_window_1_lags_none_sinusoidal_no_linear,False,1,linear_lags_none_sinusoidal_no,0.094,0.358,147.311,148.107,False,True,True,1.858,-0.724,0,1.0,,,,,,,,
CPER-Cluster_0_yearly_False_window_1_lags_2_sinusoidal_no_linear,False,1,linear_lags_2_sinusoidal_no,0.154,0.971,123.92,124.512,True,True,True,2.225,-1.629,0,1.0,1.0,0.569,,,,,,
CPER-Cluster_0_yearly_False_window_1_lags_3_sinusoidal_no_linear,False,1,linear_lags_3_sinusoidal_no,0.321,0.188,109.223,109.461,True,True,True,2.117,-0.588,0,1.0,,,1.0,0.307,,,,
CPER-Cluster_0_yearly_False_window_1_lags_none_sinusoidal_yes_linear,False,1,linear_lags_none_sinusoidal_yes,0.138,0.686,150.774,152.366,True,True,True,1.949,-3.395,0,1.0,,,,,1.0,1.0,0.808,0.593
CPER-Cluster_0_yearly_False_window_1_lags_2_sinusoidal_yes_linear,False,1,linear_lags_2_sinusoidal_yes,0.211,0.989,127.299,128.285,True,True,True,2.465,-7.457,0,1.0,1.0,0.672,,,1.0,1.0,0.67,0.812
CPER-Cluster_0_yearly_False_window_1_lags_3_sinusoidal_yes_linear,False,1,linear_lags_3_sinusoidal_yes,0.78,0.201,104.23,104.627,True,True,False,3.284,-0.891,0,1.0,,,1.0,0.316,1.0,1.0,0.334,0.118
CPER-Cluster_0_yearly_True_window_1_lags_none_sinusoidal_no_linear,True,1,linear_lags_none_sinusoidal_no,0.094,0.358,147.311,148.107,False,True,True,1.858,-0.724,0,1.0,,,,,,,,
CPER-Cluster_0_yearly_True_window_1_lags_2_sinusoidal_no_linear,True,1,linear_lags_2_sinusoidal_no,0.154,0.971,123.92,124.512,True,True,True,2.225,-1.629,0,1.0,1.0,0.569,,,,,,
CPER-Cluster_0_yearly_True_window_1_lags_3_sinusoidal_no_linear,True,1,linear_lags_3_sinusoidal_no,0.321,0.188,109.223,109.461,True,True,True,2.117,-0.588,0,1.0,,,1.0,0.307,,,,
CPER-Cluster_0_yearly_True_window_1_lags_none_sinusoidal_yes_linear,True,1,linear_lags_none_sinusoidal_yes,0.138,0.686,150.774,152.366,True,True,True,1.949,-3.395,0,1.0,,,,,1.0,1.0,0.808,0.593
CPER-Cluster_0_yearly_True_window_1_lags_2_sinusoidal_yes_linear,True,1,linear_lags_2_sinusoidal_yes,0.211,0.989,127.299,128.285,True,True,True,2.465,-7.457,0,1.0,1.0,0.672,,,1.0,1.0,0.67,0.812
CPER-Cluster_0_yearly_True_window_1_lags_3_sinusoidal_yes_linear,True,1,linear_lags_3_sinusoidal_yes,0.78,0.201,104.23,104.627,True,True,False,3.284,-0.891,0,1.0,,,1.0,0.316,1.0,1.0,0.334,0.118
CPER-Cluster_0_yearly_False_window_2_lags_none_sinusoidal_no_linear,False,2,linear_lags_none_sinusoidal_no,0.031,0.603,140.426,141.222,False,True,False,1.203,-1.621,0,1.0,,,,,,,,
CPER-Cluster_0_yearly_False_window_2_lags_2_sinusoidal_no_linear,False,2,linear_lags_2_sinusoidal_no,0.335,0.278,115.581,116.173,True,True,True,2.059,-0.906,0,1.0,1.0,0.145,,,,,,
CPER-Cluster_0_yearly_False_window_2_lags_3_sinusoidal_no_linear,False,2,linear_lags_3_sinusoidal_no,0.372,0.15,101.899,102.138,True,True,False,1.019,-0.166,0,1.0,,,1.0,0.196,,,,
