analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_0_yearly_False_window_1_lags_none_sinusoidal_no_piecewise,False,1,piecewise_lags_none_sinusoidal_no,0.197,0.481,147.993,149.186,True,True,False,1.124,-333.801,0,3.134,3.134,0.342,345.5657171717172,,,,,,,,
CPER-Cluster_0_yearly_False_window_1_lags_2_sinusoidal_no_piecewise,False,1,piecewise_lags_2_sinusoidal_no,0.508,0.129,121.047,121.836,True,True,False,1.035,-551.144,0,5.071,6.153,0.117,345.8458868686869,2.082,0.168,,,,,,
CPER-Cluster_0_yearly_False_window_1_lags_3_sinusoidal_no_piecewise,False,1,piecewise_lags_3_sinusoidal_no,0.436,0.68,109.747,110.064,True,True,False,1.148,-509.32,0,5.15,6.11,0.419,345.9508222222222,,,1.96,0.726,,,,
CPER-Cluster_0_yearly_False_window_1_lags_none_sinusoidal_yes_piecewise,False,1,piecewise_lags_none_sinusoidal_yes,0.256,0.442,151.147,153.136,True,True,False,1.254,-688.111,0,3.88,4.23,0.366,345.5657171717172,,,,,1.014,1.335,0.64,0.612
CPER-Cluster_0_yearly_False_window_1_lags_2_sinusoidal_yes_piecewise,False,1,piecewise_lags_2_sinusoidal_yes,0.989,0.001,90.549,91.732,True,True,False,3.117,-25.708,0,5.158,6.284,0.001,345.8458868686869,2.105,0.001,,,1.018,1.003,0.605,0.001
CPER-Cluster_0_yearly_False_window_1_lags_3_sinusoidal_yes_piecewise,False,1,piecewise_lags_3_sinusoidal_yes,0.929,0.33,97.209,97.686,True,True,False,2.818,-11.525,0,5.469,6.579,0.178,345.9508222222222,,,2.034,0.835,1.027,1.05,0.207,0.087
CPER-Cluster_0_yearly_True_window_1_lags_none_sinusoidal_no_piecewise,True,1,piecewise_lags_none_sinusoidal_no,0.197,0.481,147.993,149.186,True,True,False,1.124,-333.801,0,3.134,3.134,0.342,345.5657171717172,,,,,,,,
CPER-Cluster_0_yearly_True_window_1_lags_2_sinusoidal_no_piecewise,True,1,piecewise_lags_2_sinusoidal_no,0.508,0.129,121.047,121.836,True,True,False,1.035,-551.144,0,5.071,6.153,0.117,345.8458868686869,2.082,0.168,,,,,,
CPER-Cluster_0_yearly_True_window_1_lags_3_sinusoidal_no_piecewise,True,1,piecewise_lags_3_sinusoidal_no,0.436,0.68,109.747,110.064,True,True,False,1.148,-509.32,0,5.15,6.11,0.419,345.9508222222222,,,1.96,0.726,,,,
CPER-Cluster_0_yearly_True_window_1_lags_none_sinusoidal_yes_piecewise,True,1,piecewise_lags_none_sinusoidal_yes,0.256,0.442,151.147,153.136,True,True,False,1.254,-688.111,0,3.88,4.23,0.366,345.5657171717172,,,,,1.014,1.335,0.64,0.612
CPER-Cluster_0_yearly_True_window_1_lags_2_sinusoidal_yes_piecewise,True,1,piecewise_lags_2_sinusoidal_yes,0.989,0.001,90.549,91.732,True,True,False,3.117,-25.708,0,5.158,6.284,0.001,345.8458868686869,2.105,0.001,,,1.018,1.003,0.605,0.001
CPER-Cluster_0_yearly_True_window_1_lags_3_sinusoidal_yes_piecewise,True,1,piecewise_lags_3_sinusoidal_yes,0.929,0.33,97.209,97.686,True,True,False,2.818,-11.525,0,5.469,6.579,0.178,345.9508222222222,,,2.034,0.835,1.027,1.05,0.207,0.087
