analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_0_yearly_False_window_1_lags_none_sinusoidal_no_quadratic,False,1,quadratic_lags_none_sinusoidal_no,0.095,0.388,149.303,150.497,False,True,True,1.919,-1.158,0,1.772,1.772,0.942,,,,,,,,
CPER-Cluster_0_yearly_False_window_1_lags_2_sinusoidal_no_quadratic,False,1,quadratic_lags_2_sinusoidal_no,0.206,0.756,125.353,126.142,True,True,True,1.754,-6.999,0,2.189,2.277,0.593,1.088,0.471,,,,,,
CPER-Cluster_0_yearly_False_window_1_lags_3_sinusoidal_no_quadratic,False,1,quadratic_lags_3_sinusoidal_no,0.33,0.269,111.117,111.435,True,True,True,1.836,-4.487,0,2.311,2.391,0.829,,,1.08,0.405,,,,
CPER-Cluster_0_yearly_False_window_1_lags_none_sinusoidal_yes_quadratic,False,1,quadratic_lags_none_sinusoidal_yes,0.138,0.714,152.774,154.764,True,True,True,1.955,-24.92,0,1.789,1.811,0.994,,,,,1.022,1.0,0.826,0.623
CPER-Cluster_0_yearly_False_window_1_lags_2_sinusoidal_yes_quadratic,False,1,quadratic_lags_2_sinusoidal_yes,0.905,0.03,110.221,111.404,True,True,False,2.516,-2.662,0,3.672,5.116,0.018,1.197,0.02,,,1.28,1.966,0.045,0.022
CPER-Cluster_0_yearly_False_window_1_lags_3_sinusoidal_yes_quadratic,False,1,quadratic_lags_3_sinusoidal_yes,0.937,0.192,96.247,96.724,True,True,False,2.62,-1.054,0,2.826,3.331,0.156,,,1.112,0.356,1.378,1.015,0.118,0.069
CPER-Cluster_0_yearly_True_window_1_lags_none_sinusoidal_no_quadratic,True,1,quadratic_lags_none_sinusoidal_no,0.095,0.388,149.303,150.497,False,True,True,1.919,-1.158,0,1.772,1.772,0.942,,,,,,,,
CPER-Cluster_0_yearly_True_window_1_lags_2_sinusoidal_no_quadratic,True,1,quadratic_lags_2_sinusoidal_no,0.206,0.756,125.353,126.142,True,True,True,1.754,-6.999,0,2.189,2.277,0.593,1.088,0.471,,,,,,
CPER-Cluster_0_yearly_True_window_1_lags_3_sinusoidal_no_quadratic,True,1,quadratic_lags_3_sinusoidal_no,0.33,0.269,111.117,111.435,True,True,True,1.836,-4.487,0,2.311,2.391,0.829,,,1.08,0.405,,,,
CPER-Cluster_0_yearly_True_window_1_lags_none_sinusoidal_yes_quadratic,True,1,quadratic_lags_none_sinusoidal_yes,0.138,0.714,152.774,154.764,True,True,True,1.955,-24.92,0,1.789,1.811,0.994,,,,,1.022,1.0,0.826,0.623
