analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_1_yearly_False_window_1_lags_none_sinusoidal_no_linear,False,1,linear_lags_none_sinusoidal_no,0.47,0.014,147.824,148.793,True,True,True,2.08,0.325,0,1.0,,,,,,,,,,
CPER-Cluster_1_yearly_False_window_1_lags_2_sinusoidal_no_linear,False,1,linear_lags_2_sinusoidal_no,0.605,0.04,121.129,122.037,True,True,False,2.932,-0.461,0,1.0,1.0,0.457,,,,,,,,
CPER-Cluster_1_yearly_False_window_1_lags_3_sinusoidal_no_linear,False,1,linear_lags_3_sinusoidal_no,0.702,0.313,107.557,108.148,True,True,True,2.439,0.304,0,1.0,,,1.0,0.129,,,,,,
CPER-Cluster_1_yearly_False_window_1_lags_4_sinusoidal_no_linear,False,1,linear_lags_4_sinusoidal_no,0.768,0.016,93.954,94.192,True,True,False,2.625,0.315,0,1.0,,,,,1.0,0.058,,,,
CPER-Cluster_1_yearly_False_window_1_lags_none_sinusoidal_yes_linear,False,1,linear_lags_none_sinusoidal_yes,0.574,0.012,149.211,151.151,True,True,True,2.084,0.075,0,1.0,,,,,,,1.0,1.0,0.201,0.991
CPER-Cluster_1_yearly_False_window_1_lags_2_sinusoidal_yes_linear,False,1,linear_lags_2_sinusoidal_yes,0.726,0.035,121.484,122.997,True,True,False,2.627,-1.499,0,1.0,1.0,0.261,,,,,1.0,1.0,0.451,0.242
CPER-Cluster_1_yearly_False_window_1_lags_3_sinusoidal_yes_linear,False,1,linear_lags_3_sinusoidal_yes,0.856,0.11,105.012,105.998,True,True,True,1.522,0.302,0,1.0,,,1.0,0.265,,,1.0,1.0,0.133,0.378
CPER-Cluster_1_yearly_False_window_1_lags_4_sinusoidal_yes_linear,False,1,linear_lags_4_sinusoidal_yes,0.888,0.03,92.08,92.478,True,True,False,3.113,-0.141,0,1.0,,,,,1.0,0.051,1.0,1.0,0.927,0.169
CPER-Cluster_1_yearly_True_window_1_lags_none_sinusoidal_no_linear,True,1,linear_lags_none_sinusoidal_no,0.47,0.014,147.824,148.793,True,True,True,2.08,0.325,0,1.0,,,,,,,,,,
CPER-Cluster_1_yearly_True_window_1_lags_2_sinusoidal_no_linear,True,1,linear_lags_2_sinusoidal_no,0.605,0.04,121.129,122.037,True,True,False,2.932,-0.461,0,1.0,1.0,0.457,,,,,,,,
CPER-Cluster_1_yearly_True_window_1_lags_3_sinusoidal_no_linear,True,1,linear_lags_3_sinusoidal_no,0.702,0.313,107.557,108.148,True,True,True,2.439,0.304,0,1.0,,,1.0,0.129,,,,,,
CPER-Cluster_1_yearly_True_window_1_lags_4_sinusoidal_no_linear,True,1,linear_lags_4_sinusoidal_no,0.768,0.016,93.954,94.192,True,True,False,2.625,0.315,0,1.0,,,,,1.0,0.058,,,,
CPER-Cluster_1_yearly_True_window_1_lags_none_sinusoidal_yes_linear,True,1,linear_lags_none_sinusoidal_yes,0.574,0.012,149.211,151.151,True,True,True,2.084,0.075,0,1.0,,,,,,,1.0,1.0,0.201,0.991
CPER-Cluster_1_yearly_True_window_1_lags_2_sinusoidal_yes_linear,True,1,linear_lags_2_sinusoidal_yes,0.726,0.035,121.484,122.997,True,True,False,2.627,-1.499,0,1.0,1.0,0.261,,,,,1.0,1.0,0.451,0.242
