analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_1_yearly_False_window_1_lags_none_sinusoidal_no_piecewise,False,1,piecewise_lags_none_sinusoidal_no,0.731,0.001,141.702,143.157,True,True,True,1.737,0.306,0,1.225,1.225,0.016,300.41175757575763,,,,,,,,,,
CPER-Cluster_1_yearly_False_window_1_lags_2_sinusoidal_no_piecewise,False,1,piecewise_lags_2_sinusoidal_no,0.825,0.02,114.983,116.193,True,True,False,2.765,-2617.453,0,1.29,1.651,0.033,301.09053838353543,1.361,0.789,,,,,,,,
CPER-Cluster_1_yearly_False_window_1_lags_3_sinusoidal_no_piecewise,False,1,piecewise_lags_3_sinusoidal_no,0.866,0.046,102.362,103.151,True,True,False,2.772,-1.243,0,1.345,1.353,0.056,300.41943030181824,,,1.008,0.215,,,,,,
CPER-Cluster_1_yearly_False_window_1_lags_4_sinusoidal_no_piecewise,False,1,piecewise_lags_4_sinusoidal_no,0.895,0.006,89.621,89.939,True,True,True,1.917,0.729,0,1.89,2.388,0.093,291.41864544636366,,,,,1.499,0.036,,,,
CPER-Cluster_1_yearly_False_window_1_lags_none_sinusoidal_yes_piecewise,False,1,piecewise_lags_none_sinusoidal_yes,0.825,0.001,140.496,142.92,True,False,True,1.771,0.321,0,1.275,1.501,0.016,300.41175757575763,,,,,,,1.106,1.119,0.158,0.361
CPER-Cluster_1_yearly_False_window_1_lags_2_sinusoidal_yes_piecewise,False,1,piecewise_lags_2_sinusoidal_yes,0.86,0.069,116.775,118.591,True,True,True,2.344,-221.858,0,1.529,3.008,0.122,301.09053838353543,1.657,0.857,,,,,1.025,1.797,0.434,0.739
CPER-Cluster_1_yearly_False_window_1_lags_3_sinusoidal_yes_piecewise,False,1,piecewise_lags_3_sinusoidal_yes,0.954,0.028,96.64,97.824,True,True,True,1.96,-1.016,0,1.459,1.8,0.084,300.41943030181824,,,1.011,0.3,,,1.13,1.201,0.095,0.682
CPER-Cluster_1_yearly_False_window_1_lags_4_sinusoidal_yes_piecewise,False,1,piecewise_lags_4_sinusoidal_yes,0.977,0.02,81.443,81.92,True,True,False,2.636,0.465,0,2.135,3.046,0.109,291.41864544636366,,,,,1.636,0.041,1.134,1.142,0.511,0.138
CPER-Cluster_1_yearly_True_window_1_lags_none_sinusoidal_no_piecewise,True,1,piecewise_lags_none_sinusoidal_no,0.731,0.001,141.702,143.157,True,True,True,1.737,0.306,0,1.225,1.225,0.016,300.41175757575763,,,,,,,,,,
CPER-Cluster_1_yearly_True_window_1_lags_2_sinusoidal_no_piecewise,True,1,piecewise_lags_2_sinusoidal_no,0.825,0.02,114.983,116.193,True,True,False,2.765,-2617.453,0,1.29,1.651,0.033,301.09053838353543,1.361,0.789,,,,,,,,
CPER-Cluster_1_yearly_True_window_1_lags_3_sinusoidal_no_piecewise,True,1,piecewise_lags_3_sinusoidal_no,0.866,0.046,102.362,103.151,True,True,False,2.772,-1.243,0,1.345,1.353,0.056,300.41943030181824,,,1.008,0.215,,,,,,
CPER-Cluster_1_yearly_True_window_1_lags_4_sinusoidal_no_piecewise,True,1,piecewise_lags_4_sinusoidal_no,0.895,0.006,89.621,89.939,True,True,True,1.917,0.729,0,1.89,2.388,0.093,291.41864544636366,,,,,1.499,0.036,,,,
