analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_1_yearly_False_window_1_lags_none_sinusoidal_no_quadratic,False,1,quadratic_lags_none_sinusoidal_no,0.56,0.154,147.593,149.048,True,True,False,2.569,-0.464,0,1.666,1.666,0.208,,,,,,,,,,
CPER-Cluster_1_yearly_False_window_1_lags_2_sinusoidal_no_quadratic,False,1,quadratic_lags_2_sinusoidal_no,0.609,0.106,123.041,124.252,True,True,False,2.953,-1.174,0,2.437,2.783,0.826,1.346,0.526,,,,,,,,
CPER-Cluster_1_yearly_False_window_1_lags_3_sinusoidal_no_quadratic,False,1,quadratic_lags_3_sinusoidal_no,0.712,0.43,109.228,110.017,True,True,True,2.447,0.137,0,2.821,3.03,0.684,,,1.209,0.161,,,,,,
CPER-Cluster_1_yearly_False_window_1_lags_4_sinusoidal_no_quadratic,False,1,quadratic_lags_4_sinusoidal_no,0.815,0.021,94.132,94.45,True,True,False,2.715,0.306,0,3.326,3.503,0.369,,,,,1.178,0.061,,,,
CPER-Cluster_1_yearly_False_window_1_lags_none_sinusoidal_yes_quadratic,False,1,quadratic_lags_none_sinusoidal_yes,0.657,0.102,148.608,151.032,True,False,False,2.557,-1.245,0,1.888,2.222,0.234,,,,,,,1.173,1.161,0.235,0.599
CPER-Cluster_1_yearly_False_window_1_lags_2_sinusoidal_yes_quadratic,False,1,quadratic_lags_2_sinusoidal_yes,0.75,0.089,122.574,124.39,True,True,False,2.568,-1.817,0,2.849,3.58,0.57,1.445,0.323,,,,,1.155,1.131,0.444,0.248
CPER-Cluster_1_yearly_False_window_1_lags_3_sinusoidal_yes_quadratic,False,1,quadratic_lags_3_sinusoidal_yes,0.899,0.158,103.779,104.962,True,True,True,1.625,-0.141,0,3.242,3.731,0.338,,,1.258,0.291,,,1.09,1.141,0.129,0.276
CPER-Cluster_1_yearly_False_window_1_lags_4_sinusoidal_yes_quadratic,False,1,quadratic_lags_4_sinusoidal_yes,0.898,0.088,93.373,93.85,True,True,False,3.37,-5.959,0,3.451,3.693,0.709,,,,,1.187,0.125,1.006,1.048,0.973,0.331
CPER-Cluster_1_yearly_True_window_1_lags_none_sinusoidal_no_quadratic,True,1,quadratic_lags_none_sinusoidal_no,0.56,0.154,147.593,149.048,True,True,False,2.569,-0.464,0,1.666,1.666,0.208,,,,,,,,,,
CPER-Cluster_1_yearly_True_window_1_lags_2_sinusoidal_no_quadratic,True,1,quadratic_lags_2_sinusoidal_no,0.609,0.106,123.041,124.252,True,True,False,2.953,-1.174,0,2.437,2.783,0.826,1.346,0.526,,,,,,,,
CPER-Cluster_1_yearly_True_window_1_lags_3_sinusoidal_no_quadratic,True,1,quadratic_lags_3_sinusoidal_no,0.712,0.43,109.228,110.017,True,True,True,2.447,0.137,0,2.821,3.03,0.684,,,1.209,0.161,,,,,,
CPER-Cluster_1_yearly_True_window_1_lags_4_sinusoidal_no_quadratic,True,1,quadratic_lags_4_sinusoidal_no,0.815,0.021,94.132,94.45,True,True,False,2.715,0.306,0,3.326,3.503,0.369,,,,,1.178,0.061,,,,
