analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_2_yearly_False_window_1_lags_none_sinusoidal_no_linear,False,1,linear_lags_none_sinusoidal_no,0.094,0.285,170.437,171.715,True,True,True,2.45,-1.431,0,1.0,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_1_lags_2_sinusoidal_no_linear,False,1,linear_lags_2_sinusoidal_no,0.204,0.174,146.283,147.738,True,True,False,2.667,-0.716,0,1.0,1.0,0.288,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_1_lags_3_sinusoidal_no_linear,False,1,linear_lags_3_sinusoidal_no,0.263,0.554,134.695,135.888,True,True,True,2.241,-1.937,0,1.0,,,1.0,0.217,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_1_lags_4_sinusoidal_no_linear,False,1,linear_lags_4_sinusoidal_no,0.218,0.978,124.492,125.4,True,True,True,1.983,-3.721,0,1.0,,,,,1.0,0.364,,,,,,,,
CPER-Cluster_2_yearly_False_window_1_lags_5_sinusoidal_no_linear,False,1,linear_lags_5_sinusoidal_no,0.085,0.494,110.322,110.914,True,True,True,2.307,-1.844,0,1.0,,,,,,,1.0,0.691,,,,,,
CPER-Cluster_2_yearly_False_window_1_lags_6_sinusoidal_no_linear,False,1,linear_lags_6_sinusoidal_no,0.077,0.557,98.929,99.167,True,True,False,2.589,-1.874,0,1.0,,,,,,,,,1.0,0.733,,,,
CPER-Cluster_2_yearly_False_window_1_lags_none_sinusoidal_yes_linear,False,1,linear_lags_none_sinusoidal_yes,0.117,0.654,174.08,176.636,True,True,True,2.47,-2.137,0,1.0,,,,,,,,,,,1.0,1.0,0.767,0.692
CPER-Cluster_2_yearly_False_window_1_lags_2_sinusoidal_yes_linear,False,1,linear_lags_2_sinusoidal_yes,0.314,0.458,148.489,150.913,True,True,False,2.962,-4.13,0,1.0,1.0,0.559,,,,,,,,,1.0,1.0,0.757,0.426
CPER-Cluster_2_yearly_False_window_1_lags_3_sinusoidal_yes_linear,False,1,linear_lags_3_sinusoidal_yes,0.27,0.586,138.583,140.572,True,True,True,2.339,-12.705,0,1.0,,,1.0,0.281,,,,,,,1.0,1.0,0.938,0.821
CPER-Cluster_2_yearly_False_window_1_lags_4_sinusoidal_yes_linear,False,1,linear_lags_4_sinusoidal_yes,0.274,0.73,127.742,129.255,True,True,True,2.117,-9.291,0,1.0,,,,,1.0,0.354,,,,,1.0,1.0,0.587,0.739
CPER-Cluster_2_yearly_False_window_1_lags_5_sinusoidal_yes_linear,False,1,linear_lags_5_sinusoidal_yes,0.352,0.81,111.222,112.209,True,True,False,2.743,-3.356,0,1.0,,,,,,,1.0,0.887,,,1.0,1.0,0.32,0.769
CPER-Cluster_2_yearly_False_window_1_lags_6_sinusoidal_yes_linear,False,1,linear_lags_6_sinusoidal_yes,0.222,0.819,101.563,101.961,True,True,False,3.099,-5.748,0,1.0,,,,,,,,,1.0,0.799,1.0,1.0,0.516,0.691
CPER-Cluster_2_yearly_True_window_1_lags_none_sinusoidal_no_linear,True,1,linear_lags_none_sinusoidal_no,0.094,0.285,170.437,171.715,True,True,True,2.45,-1.431,0,1.0,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_1_lags_2_sinusoidal_no_linear,True,1,linear_lags_2_sinusoidal_no,0.204,0.174,146.283,147.738,True,True,False,2.667,-0.716,0,1.0,1.0,0.288,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_1_lags_3_sinusoidal_no_linear,True,1,linear_lags_3_sinusoidal_no,0.263,0.554,134.695,135.888,True,True,True,2.241,-1.937,0,1.0,,,1.0,0.217,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_1_lags_4_sinusoidal_no_linear,True,1,linear_lags_4_sinusoidal_no,0.218,0.978,124.492,125.4,True,True,True,1.983,-3.721,0,1.0,,,,,1.0,0.364,,,,,,,,
CPER-Cluster_2_yearly_True_window_1_lags_5_sinusoidal_no_linear,True,1,linear_lags_5_sinusoidal_no,0.085,0.494,110.322,110.914,True,True,True,2.307,-1.844,0,1.0,,,,,,,1.0,0.691,,,,,,
CPER-Cluster_2_yearly_True_window_1_lags_6_sinusoidal_no_linear,True,1,linear_lags_6_sinusoidal_no,0.077,0.557,98.929,99.167,True,True,False,2.589,-1.874,0,1.0,,,,,,,,,1.0,0.733,,,,
CPER-Cluster_2_yearly_True_window_1_lags_none_sinusoidal_yes_linear,True,1,linear_lags_none_sinusoidal_yes,0.117,0.654,174.08,176.636,True,True,True,2.47,-2.137,0,1.0,,,,,,,,,,,1.0,1.0,0.767,0.692
CPER-Cluster_2_yearly_True_window_1_lags_2_sinusoidal_yes_linear,True,1,linear_lags_2_sinusoidal_yes,0.314,0.458,148.489,150.913,True,True,False,2.962,-4.13,0,1.0,1.0,0.559,,,,,,,,,1.0,1.0,0.757,0.426
CPER-Cluster_2_yearly_True_window_1_lags_3_sinusoidal_yes_linear,True,1,linear_lags_3_sinusoidal_yes,0.27,0.586,138.583,140.572,True,True,True,2.339,-12.705,0,1.0,,,1.0,0.281,,,,,,,1.0,1.0,0.938,0.821
CPER-Cluster_2_yearly_True_window_1_lags_4_sinusoidal_yes_linear,True,1,linear_lags_4_sinusoidal_yes,0.274,0.73,127.742,129.255,True,True,True,2.117,-9.291,0,1.0,,,,,1.0,0.354,,,,,1.0,1.0,0.587,0.739
CPER-Cluster_2_yearly_True_window_1_lags_5_sinusoidal_yes_linear,True,1,linear_lags_5_sinusoidal_yes,0.352,0.81,111.222,112.209,True,True,False,2.743,-3.356,0,1.0,,,,,,,1.0,0.887,,,1.0,1.0,0.32,0.769
CPER-Cluster_2_yearly_True_window_1_lags_6_sinusoidal_yes_linear,True,1,linear_lags_6_sinusoidal_yes,0.222,0.819,101.563,101.961,True,True,False,3.099,-5.748,0,1.0,,,,,,,,,1.0,0.799,1.0,1.0,0.516,0.691
CPER-Cluster_2_yearly_False_window_2_lags_none_sinusoidal_no_linear,False,2,linear_lags_none_sinusoidal_no,0.284,0.05,157.642,158.921,True,True,True,1.509,-0.066,0,1.0,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_2_lags_2_sinusoidal_no_linear,False,2,linear_lags_2_sinusoidal_no,0.503,0.02,131.895,133.35,True,True,True,1.83,0.491,0,1.0,1.0,0.069,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_2_lags_3_sinusoidal_no_linear,False,2,linear_lags_3_sinusoidal_no,0.352,0.793,125.375,126.569,True,True,False,1.452,-1.785,0,1.0,,,1.0,0.278,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_2_lags_4_sinusoidal_no_linear,False,2,linear_lags_4_sinusoidal_no,0.35,0.647,119.928,120.836,True,True,False,0.933,-2.261,0,1.0,,,,,1.0,0.43,,,,,,,,
CPER-Cluster_2_yearly_False_window_2_lags_5_sinusoidal_no_linear,False,2,linear_lags_5_sinusoidal_no,0.228,0.433,101.831,102.422,True,True,True,1.737,-0.467,0,1.0,,,,,,,1.0,0.86,,,,,,
CPER-Cluster_2_yearly_False_window_2_lags_6_sinusoidal_no_linear,False,2,linear_lags_6_sinusoidal_no,0.351,0.202,89.992,90.23,True,True,True,1.642,-0.385,0,1.0,,,,,,,,,1.0,0.538,,,,
CPER-Cluster_2_yearly_False_window_2_lags_none_sinusoidal_yes_linear,False,2,linear_lags_none_sinusoidal_yes,0.334,0.198,160.627,163.183,True,True,False,1.45,-0.929,0,1.0,,,,,,,,,,,1.0,1.0,0.462,0.861
CPER-Cluster_2_yearly_False_window_2_lags_2_sinusoidal_yes_linear,False,2,linear_lags_2_sinusoidal_yes,0.653,0.082,131.577,134.001,True,True,True,2.179,-0.09,0,1.0,1.0,0.164,,,,,,,,,1.0,1.0,0.768,0.15
CPER-Cluster_2_yearly_False_window_2_lags_3_sinusoidal_yes_linear,False,2,linear_lags_3_sinusoidal_yes,0.483,0.783,126.897,128.886,True,True,False,1.203,-5.355,0,1.0,,,1.0,0.301,,,,,,,1.0,1.0,0.469,0.387
CPER-Cluster_2_yearly_False_window_2_lags_4_sinusoidal_yes_linear,False,2,linear_lags_4_sinusoidal_yes,0.422,0.959,122.758,124.271,True,True,False,0.852,-933.446,0,1.0,,,,,1.0,0.4,,,,,1.0,1.0,0.491,0.711
CPER-Cluster_2_yearly_False_window_2_lags_5_sinusoidal_yes_linear,False,2,linear_lags_5_sinusoidal_yes,0.835,0.252,91.957,92.943,True,True,True,2.326,0.325,0,1.0,,,,,,,1.0,0.108,,,1.0,1.0,0.02,0.114
CPER-Cluster_2_yearly_False_window_2_lags_6_sinusoidal_yes_linear,False,2,linear_lags_6_sinusoidal_yes,0.649,0.557,89.067,89.465,True,True,True,1.636,-1.984,0,1.0,,,,,,,,,1.0,0.446,1.0,1.0,0.21,0.319
CPER-Cluster_2_yearly_True_window_2_lags_none_sinusoidal_no_linear,True,2,linear_lags_none_sinusoidal_no,0.284,0.05,157.642,158.921,True,True,True,1.509,-0.066,0,1.0,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_2_lags_2_sinusoidal_no_linear,True,2,linear_lags_2_sinusoidal_no,0.503,0.02,131.895,133.35,True,True,True,1.83,0.491,0,1.0,1.0,0.069,,,,,,,,,,,,
