analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_2_yearly_False_window_1_lags_none_sinusoidal_no_piecewise,False,1,piecewise_lags_none_sinusoidal_no,0.396,0.107,166.766,168.683,True,True,False,2.738,-3.358,0,2.684,2.684,0.039,287.1499060648485,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_1_lags_2_sinusoidal_no_piecewise,False,1,piecewise_lags_2_sinusoidal_no,0.454,0.414,143.759,145.698,True,True,False,2.687,-7376.887,0,4.575,5.803,0.092,287.10112020343433,2.228,0.672,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_1_lags_3_sinusoidal_no_piecewise,False,1,piecewise_lags_3_sinusoidal_no,0.644,0.029,128.674,130.266,True,True,False,2.787,-547.756,0,4.535,6.093,0.029,287.0767272727273,,,2.558,0.091,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_1_lags_4_sinusoidal_no_piecewise,False,1,piecewise_lags_4_sinusoidal_no,0.632,0.062,118.962,120.172,True,True,True,2.256,-44.841,0,4.265,5.196,0.041,287.04437373737375,,,,,1.931,0.302,,,,,,,,
CPER-Cluster_2_yearly_False_window_1_lags_5_sinusoidal_no_piecewise,False,1,piecewise_lags_5_sinusoidal_no,0.466,0.454,107.472,108.261,False,True,False,1.462,-4.634,0,2.499,3.148,0.117,310.2007070707071,,,,,,,1.648,0.571,,,,,,
CPER-Cluster_2_yearly_False_window_1_lags_6_sinusoidal_no_piecewise,False,1,piecewise_lags_6_sinusoidal_no,0.615,0.365,93.931,94.248,True,True,True,1.913,-0.13,0,4.124,5.896,0.077,310.7228181818182,,,,,,,,,2.772,0.184,,,,
CPER-Cluster_2_yearly_False_window_1_lags_none_sinusoidal_yes_piecewise,False,1,piecewise_lags_none_sinusoidal_yes,0.517,0.048,167.636,170.832,True,True,False,2.764,-1779.983,0,3.393,3.814,0.023,287.1499060648485,,,,,,,,,,,1.0,1.421,0.76,0.177
CPER-Cluster_2_yearly_False_window_1_lags_2_sinusoidal_yes_piecewise,False,1,piecewise_lags_2_sinusoidal_yes,0.72,0.087,139.73,142.64,True,True,False,2.993,-45532.533,0,5.386,7.12,0.026,287.10112020343433,2.507,0.359,,,,,,,,,1.136,1.091,0.515,0.056
CPER-Cluster_2_yearly_False_window_1_lags_3_sinusoidal_yes_piecewise,False,1,piecewise_lags_3_sinusoidal_yes,0.779,0.019,127.434,129.821,True,True,False,2.881,-5897.941,0,4.631,6.257,0.019,287.0767272727273,,,2.6,0.06,,,,,,,1.017,1.01,0.727,0.145
CPER-Cluster_2_yearly_False_window_1_lags_4_sinusoidal_yes_piecewise,False,1,piecewise_lags_4_sinusoidal_yes,0.872,0.014,112.392,114.208,True,True,False,2.52,-8.664,0,4.735,5.944,0.012,287.04437373737375,,,,,2.065,0.054,,,,,1.057,1.086,0.087,0.1
CPER-Cluster_2_yearly_False_window_1_lags_5_sinusoidal_yes_piecewise,False,1,piecewise_lags_5_sinusoidal_yes,0.715,0.301,105.831,107.014,True,True,False,1.327,-14.062,0,2.851,3.887,0.146,310.2007070707071,,,,,,,1.801,0.701,,,1.011,1.224,0.619,0.314
CPER-Cluster_2_yearly_False_window_1_lags_6_sinusoidal_yes_piecewise,False,1,piecewise_lags_6_sinusoidal_yes,0.939,0.068,83.229,83.705,True,True,False,2.701,-7.0,0,5.27,8.06,0.04,310.7228181818182,,,,,,,,,3.423,0.373,1.149,1.218,0.227,0.086
CPER-Cluster_2_yearly_True_window_1_lags_none_sinusoidal_no_piecewise,True,1,piecewise_lags_none_sinusoidal_no,0.396,0.107,166.766,168.683,True,True,False,2.738,-3.358,0,2.684,2.684,0.039,287.1499060648485,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_1_lags_2_sinusoidal_no_piecewise,True,1,piecewise_lags_2_sinusoidal_no,0.454,0.414,143.759,145.698,True,True,False,2.687,-7376.887,0,4.575,5.803,0.092,287.10112020343433,2.228,0.672,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_1_lags_3_sinusoidal_no_piecewise,True,1,piecewise_lags_3_sinusoidal_no,0.644,0.029,128.674,130.266,True,True,False,2.787,-547.756,0,4.535,6.093,0.029,287.0767272727273,,,2.558,0.091,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_1_lags_4_sinusoidal_no_piecewise,True,1,piecewise_lags_4_sinusoidal_no,0.632,0.062,118.962,120.172,True,True,True,2.256,-44.841,0,4.265,5.196,0.041,287.04437373737375,,,,,1.931,0.302,,,,,,,,
CPER-Cluster_2_yearly_True_window_1_lags_5_sinusoidal_no_piecewise,True,1,piecewise_lags_5_sinusoidal_no,0.466,0.454,107.472,108.261,False,True,False,1.462,-4.634,0,2.499,3.148,0.117,310.2007070707071,,,,,,,1.648,0.571,,,,,,
CPER-Cluster_2_yearly_True_window_1_lags_6_sinusoidal_no_piecewise,True,1,piecewise_lags_6_sinusoidal_no,0.615,0.365,93.931,94.248,True,True,True,1.913,-0.13,0,4.124,5.896,0.077,310.7228181818182,,,,,,,,,2.772,0.184,,,,
CPER-Cluster_2_yearly_True_window_1_lags_none_sinusoidal_yes_piecewise,True,1,piecewise_lags_none_sinusoidal_yes,0.517,0.048,167.636,170.832,True,True,False,2.764,-1779.983,0,3.393,3.814,0.023,287.1499060648485,,,,,,,,,,,1.0,1.421,0.76,0.177
CPER-Cluster_2_yearly_True_window_1_lags_2_sinusoidal_yes_piecewise,True,1,piecewise_lags_2_sinusoidal_yes,0.72,0.087,139.73,142.64,True,True,False,2.993,-45532.533,0,5.386,7.12,0.026,287.10112020343433,2.507,0.359,,,,,,,,,1.136,1.091,0.515,0.056
CPER-Cluster_2_yearly_True_window_1_lags_3_sinusoidal_yes_piecewise,True,1,piecewise_lags_3_sinusoidal_yes,0.779,0.019,127.434,129.821,True,True,False,2.881,-5897.941,0,4.631,6.257,0.019,287.0767272727273,,,2.6,0.06,,,,,,,1.017,1.01,0.727,0.145
