analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_2_yearly_False_window_1_lags_none_sinusoidal_no_quadratic,False,1,quadratic_lags_none_sinusoidal_no,0.323,0.211,168.374,170.291,True,True,True,2.383,-2.128,0,1.454,1.454,0.081,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_1_lags_2_sinusoidal_no_quadratic,False,1,quadratic_lags_2_sinusoidal_no,0.412,0.363,144.645,146.585,True,True,True,2.36,-0.489,0,1.617,1.734,0.131,1.118,0.666,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_1_lags_3_sinusoidal_no_quadratic,False,1,quadratic_lags_3_sinusoidal_no,0.63,0.287,129.118,130.709,False,True,False,2.507,-0.764,0,1.615,1.628,0.034,,,1.013,0.074,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_1_lags_4_sinusoidal_no_quadratic,False,1,quadratic_lags_4_sinusoidal_no,0.52,0.852,121.609,122.82,True,True,True,1.732,-5815.294,0,1.579,1.587,0.1,,,,,1.008,0.351,,,,,,,,
CPER-Cluster_2_yearly_False_window_1_lags_5_sinusoidal_no_quadratic,False,1,quadratic_lags_5_sinusoidal_no,0.523,0.206,106.459,107.247,True,True,True,1.509,-2.272,0,1.521,1.546,0.085,,,,,,,1.025,0.46,,,,,,
CPER-Cluster_2_yearly_False_window_1_lags_6_sinusoidal_no_quadratic,False,1,quadratic_lags_6_sinusoidal_no,0.633,0.112,93.561,93.879,True,True,True,1.902,0.157,0,1.566,1.567,0.07,,,,,,,,,1.001,0.202,,,,
CPER-Cluster_2_yearly_False_window_1_lags_none_sinusoidal_yes_quadratic,False,1,quadratic_lags_none_sinusoidal_yes,0.482,0.787,168.628,171.824,True,True,True,2.43,-1.319,0,1.565,1.81,0.033,,,,,,,,,,,1.022,1.223,0.99,0.132
CPER-Cluster_2_yearly_False_window_1_lags_2_sinusoidal_yes_quadratic,False,1,quadratic_lags_2_sinusoidal_yes,0.759,0.468,137.958,140.868,True,True,False,2.764,-0.346,0,1.659,1.853,0.016,1.126,0.288,,,,,,,,,1.011,1.057,0.737,0.031
CPER-Cluster_2_yearly_False_window_1_lags_3_sinusoidal_yes_quadratic,False,1,quadratic_lags_3_sinusoidal_yes,0.787,0.121,127.013,129.401,True,True,False,2.608,-37.905,0,1.74,1.958,0.018,,,1.016,0.037,,,,,,,1.081,1.121,0.274,0.16
CPER-Cluster_2_yearly_False_window_1_lags_4_sinusoidal_yes_quadratic,False,1,quadratic_lags_4_sinusoidal_yes,0.841,0.218,114.556,116.371,True,True,True,1.95,-2.131,0,1.755,2.07,0.019,,,,,1.011,0.059,,,,,1.192,1.112,0.06,0.124
CPER-Cluster_2_yearly_False_window_1_lags_5_sinusoidal_yes_quadratic,False,1,quadratic_lags_5_sinusoidal_yes,0.805,0.584,102.421,103.605,True,True,False,1.245,-6.912,0,1.94,2.792,0.078,,,,,,,1.046,0.478,,,1.413,1.393,0.879,0.156
CPER-Cluster_2_yearly_False_window_1_lags_6_sinusoidal_yes_quadratic,False,1,quadratic_lags_6_sinusoidal_yes,0.932,0.424,84.096,84.572,True,True,False,2.626,-11.665,0,2.323,3.662,0.045,,,,,,,,,1.002,0.434,1.206,2.13,0.836,0.099
CPER-Cluster_2_yearly_True_window_1_lags_none_sinusoidal_no_quadratic,True,1,quadratic_lags_none_sinusoidal_no,0.323,0.211,168.374,170.291,True,True,True,2.383,-2.128,0,1.454,1.454,0.081,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_1_lags_2_sinusoidal_no_quadratic,True,1,quadratic_lags_2_sinusoidal_no,0.412,0.363,144.645,146.585,True,True,True,2.36,-0.489,0,1.617,1.734,0.131,1.118,0.666,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_1_lags_3_sinusoidal_no_quadratic,True,1,quadratic_lags_3_sinusoidal_no,0.63,0.287,129.118,130.709,False,True,False,2.507,-0.764,0,1.615,1.628,0.034,,,1.013,0.074,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_1_lags_4_sinusoidal_no_quadratic,True,1,quadratic_lags_4_sinusoidal_no,0.52,0.852,121.609,122.82,True,True,True,1.732,-5815.294,0,1.579,1.587,0.1,,,,,1.008,0.351,,,,,,,,
CPER-Cluster_2_yearly_True_window_1_lags_5_sinusoidal_no_quadratic,True,1,quadratic_lags_5_sinusoidal_no,0.523,0.206,106.459,107.247,True,True,True,1.509,-2.272,0,1.521,1.546,0.085,,,,,,,1.025,0.46,,,,,,
CPER-Cluster_2_yearly_True_window_1_lags_6_sinusoidal_no_quadratic,True,1,quadratic_lags_6_sinusoidal_no,0.633,0.112,93.561,93.879,True,True,True,1.902,0.157,0,1.566,1.567,0.07,,,,,,,,,1.001,0.202,,,,
CPER-Cluster_2_yearly_True_window_1_lags_none_sinusoidal_yes_quadratic,True,1,quadratic_lags_none_sinusoidal_yes,0.482,0.787,168.628,171.824,True,True,True,2.43,-1.319,0,1.565,1.81,0.033,,,,,,,,,,,1.022,1.223,0.99,0.132
CPER-Cluster_2_yearly_True_window_1_lags_2_sinusoidal_yes_quadratic,True,1,quadratic_lags_2_sinusoidal_yes,0.759,0.468,137.958,140.868,True,True,False,2.764,-0.346,0,1.659,1.853,0.016,1.126,0.288,,,,,,,,,1.011,1.057,0.737,0.031
CPER-Cluster_2_yearly_True_window_1_lags_3_sinusoidal_yes_quadratic,True,1,quadratic_lags_3_sinusoidal_yes,0.787,0.121,127.013,129.401,True,True,False,2.608,-37.905,0,1.74,1.958,0.018,,,1.016,0.037,,,,,,,1.081,1.121,0.274,0.16
CPER-Cluster_2_yearly_True_window_1_lags_4_sinusoidal_yes_quadratic,True,1,quadratic_lags_4_sinusoidal_yes,0.841,0.218,114.556,116.371,True,True,True,1.95,-2.131,0,1.755,2.07,0.019,,,,,1.011,0.059,,,,,1.192,1.112,0.06,0.124
CPER-Cluster_2_yearly_True_window_1_lags_5_sinusoidal_yes_quadratic,True,1,quadratic_lags_5_sinusoidal_yes,0.805,0.584,102.421,103.605,True,True,False,1.245,-6.912,0,1.94,2.792,0.078,,,,,,,1.046,0.478,,,1.413,1.393,0.879,0.156
CPER-Cluster_2_yearly_True_window_1_lags_6_sinusoidal_yes_quadratic,True,1,quadratic_lags_6_sinusoidal_yes,0.932,0.424,84.096,84.572,True,True,False,2.626,-11.665,0,2.323,3.662,0.045,,,,,,,,,1.002,0.434,1.206,2.13,0.836,0.099
CPER-Cluster_2_yearly_False_window_2_lags_none_sinusoidal_no_quadratic,False,2,quadratic_lags_none_sinusoidal_no,0.477,0.03,155.256,157.173,True,True,True,1.513,-0.341,0,1.557,1.557,0.069,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_2_lags_2_sinusoidal_no_quadratic,False,2,quadratic_lags_2_sinusoidal_no,0.564,0.078,132.324,134.264,True,True,True,1.722,-1.074,0,1.879,2.102,0.321,1.223,0.292,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_2_lags_3_sinusoidal_no_quadratic,False,2,quadratic_lags_3_sinusoidal_no,0.719,0.205,118.178,119.77,True,True,True,2.059,-0.422,0,1.958,1.962,0.019,,,1.004,0.041,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_2_lags_4_sinusoidal_no_quadratic,False,2,quadratic_lags_4_sinusoidal_no,0.504,0.517,119.221,120.432,True,True,False,0.849,-15.476,0,1.895,1.896,0.221,,,,,1.001,0.546,,,,,,,,
CPER-Cluster_2_yearly_False_window_2_lags_5_sinusoidal_no_quadratic,False,2,quadratic_lags_5_sinusoidal_no,0.566,0.123,98.647,99.436,True,True,True,1.5,-0.07,0,1.638,1.641,0.105,,,,,,,1.002,0.563,,,,,,
CPER-Cluster_2_yearly_False_window_2_lags_6_sinusoidal_no_quadratic,False,2,quadratic_lags_6_sinusoidal_no,0.825,0.015,81.528,81.846,True,True,True,1.572,0.38,0,1.792,1.813,0.03,,,,,,,,,1.021,0.056,,,,
CPER-Cluster_2_yearly_False_window_2_lags_none_sinusoidal_yes_quadratic,False,2,quadratic_lags_none_sinusoidal_yes,0.517,0.251,158.132,161.328,True,True,False,1.389,-0.537,0,1.622,1.739,0.098,,,,,,,,,,,1.004,1.113,0.419,0.699
CPER-Cluster_2_yearly_False_window_2_lags_2_sinusoidal_yes_quadratic,False,2,quadratic_lags_2_sinusoidal_yes,0.694,0.224,132.066,134.976,True,True,True,2.182,-3.915,0,1.929,2.222,0.404,1.236,0.453,,,,,,,,,1.026,1.031,0.926,0.172
CPER-Cluster_2_yearly_False_window_2_lags_3_sinusoidal_yes_quadratic,False,2,quadratic_lags_3_sinusoidal_yes,0.761,0.23,120.381,122.769,True,True,True,1.946,-5.157,0,2.158,2.372,0.06,,,1.005,0.068,,,,,,,1.17,1.039,0.867,0.4
CPER-Cluster_2_yearly_False_window_2_lags_4_sinusoidal_yes_quadratic,False,2,quadratic_lags_4_sinusoidal_yes,0.69,0.925,118.515,120.331,True,True,False,1.459,-12.748,0,2.083,2.295,0.136,,,,,1.002,0.438,,,,,1.21,1.001,0.197,0.743
CPER-Cluster_2_yearly_False_window_2_lags_5_sinusoidal_yes_quadratic,False,2,quadratic_lags_5_sinusoidal_yes,0.848,0.587,93.219,94.402,True,True,True,1.78,-0.415,0,1.837,2.151,0.647,,,,,,,1.003,0.336,,,1.133,1.178,0.102,0.239
CPER-Cluster_2_yearly_False_window_2_lags_6_sinusoidal_yes_quadratic,False,2,quadratic_lags_6_sinusoidal_yes,0.94,0.118,76.881,77.357,True,True,True,2.489,-1.141,0,2.092,2.501,0.089,,,,,,,,,1.029,0.133,1.013,1.367,0.188,0.211
CPER-Cluster_2_yearly_True_window_2_lags_none_sinusoidal_no_quadratic,True,2,quadratic_lags_none_sinusoidal_no,0.477,0.03,155.256,157.173,True,True,True,1.513,-0.341,0,1.557,1.557,0.069,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_2_lags_2_sinusoidal_no_quadratic,True,2,quadratic_lags_2_sinusoidal_no,0.564,0.078,132.324,134.264,True,True,True,1.722,-1.074,0,1.879,2.102,0.321,1.223,0.292,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_2_lags_3_sinusoidal_no_quadratic,True,2,quadratic_lags_3_sinusoidal_no,0.719,0.205,118.178,119.77,True,True,True,2.059,-0.422,0,1.958,1.962,0.019,,,1.004,0.041,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_2_lags_4_sinusoidal_no_quadratic,True,2,quadratic_lags_4_sinusoidal_no,0.504,0.517,119.221,120.432,True,True,False,0.849,-15.476,0,1.895,1.896,0.221,,,,,1.001,0.546,,,,,,,,
CPER-Cluster_2_yearly_True_window_2_lags_5_sinusoidal_no_quadratic,True,2,quadratic_lags_5_sinusoidal_no,0.566,0.123,98.647,99.436,True,True,True,1.5,-0.07,0,1.638,1.641,0.105,,,,,,,1.002,0.563,,,,,,
CPER-Cluster_2_yearly_True_window_2_lags_6_sinusoidal_no_quadratic,True,2,quadratic_lags_6_sinusoidal_no,0.825,0.015,81.528,81.846,True,True,True,1.572,0.38,0,1.792,1.813,0.03,,,,,,,,,1.021,0.056,,,,
