analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER_yearly_False_window_1_lags_none_sinusoidal_no_linear,False,1,linear_lags_none_sinusoidal_no,0.491,0.0,509.715,512.937,True,True,True,1.723,0.364,0,1.0,,,,,,,,,,,,,,
CPER_yearly_False_window_1_lags_1_sinusoidal_no_linear,False,1,linear_lags_1_sinusoidal_no,0.505,0.0,497.097,501.847,True,True,True,1.683,0.439,0,1.0,1.0,0.189,,,,,,,,,,,,
CPER_yearly_False_window_1_lags_2_sinusoidal_no_linear,False,1,linear_lags_2_sinusoidal_no,0.468,0.0,486.086,490.752,True,True,True,1.717,0.384,0,1.0,,,1.0,0.842,,,,,,,,,,
CPER_yearly_False_window_1_lags_3_sinusoidal_no_linear,False,1,linear_lags_3_sinusoidal_no,0.486,0.011,472.0,476.579,True,True,True,1.705,0.37,0,1.0,,,,,1.0,0.371,,,,,,,,
CPER_yearly_False_window_1_lags_4_sinusoidal_no_linear,False,1,linear_lags_4_sinusoidal_no,0.47,0.0,460.043,464.532,False,True,True,1.667,0.361,0,1.0,,,,,,,1.0,0.762,,,,,,
CPER_yearly_False_window_1_lags_5_sinusoidal_no_linear,False,1,linear_lags_5_sinusoidal_no,0.522,0.063,443.875,448.272,True,True,True,1.749,0.349,0,1.0,,,,,,,,,1.0,0.087,,,,
CPER_yearly_False_window_1_lags_none_sinusoidal_yes_linear,False,1,linear_lags_none_sinusoidal_yes,0.556,0.0,508.699,515.142,True,True,True,1.948,0.415,0,1.0,,,,,,,,,,,1.0,1.0,0.968,0.036
CPER_yearly_False_window_1_lags_1_sinusoidal_yes_linear,False,1,linear_lags_1_sinusoidal_yes,0.592,0.0,494.157,502.074,True,True,True,2.018,0.493,0,1.0,1.0,0.126,,,,,,,,,1.0,1.0,0.56,0.018
CPER_yearly_False_window_1_lags_2_sinusoidal_yes_linear,False,1,linear_lags_2_sinusoidal_yes,0.557,0.0,483.693,491.47,False,True,True,2.035,0.363,0,1.0,,,1.0,0.87,,,,,,,1.0,1.0,0.998,0.02
CPER_yearly_False_window_1_lags_3_sinusoidal_yes_linear,False,1,linear_lags_3_sinusoidal_yes,0.581,0.01,469.103,476.735,False,True,True,2.048,0.422,0,1.0,,,,,1.0,0.427,,,,,1.0,1.0,0.795,0.017
CPER_yearly_False_window_1_lags_4_sinusoidal_yes_linear,False,1,linear_lags_4_sinusoidal_yes,0.605,0.0,454.402,461.885,True,True,True,1.947,0.419,0,1.0,,,,,,,1.0,0.583,,,1.0,1.0,0.987,0.005
CPER_yearly_False_window_1_lags_5_sinusoidal_yes_linear,False,1,linear_lags_5_sinusoidal_yes,0.595,0.029,442.612,449.941,False,True,True,2.02,0.47,0,1.0,,,,,,,,,1.0,0.145,1.0,1.0,0.975,0.037
CPER_yearly_True_window_1_lags_none_sinusoidal_no_linear,True,1,linear_lags_none_sinusoidal_no,0.491,0.0,509.715,512.937,True,True,True,1.723,0.364,0,1.0,,,,,,,,,,,,,,
