analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER_yearly_False_window_1_lags_none_sinusoidal_no_piecewise,False,1,piecewise_lags_none_sinusoidal_no,0.537,0.0,508.182,513.015,True,True,True,1.665,0.445,0,1.219,1.219,0.074,393.8816484848485,,,,,,,,,,,,,,
CPER_yearly_False_window_1_lags_1_sinusoidal_no_piecewise,False,1,piecewise_lags_1_sinusoidal_no,0.553,0.0,495.472,501.806,True,True,True,1.642,0.429,0,1.266,1.519,0.075,393.72900000000004,1.253,0.173,,,,,,,,,,,,
CPER_yearly_False_window_1_lags_2_sinusoidal_no_piecewise,False,1,piecewise_lags_2_sinusoidal_no,0.515,0.0,484.83,491.052,True,True,True,1.668,0.423,0,1.5,1.732,0.092,345.55776969696973,,,1.233,0.832,,,,,,,,,,
CPER_yearly_False_window_1_lags_3_sinusoidal_no_piecewise,False,1,piecewise_lags_3_sinusoidal_no,0.52,0.007,471.724,477.829,True,True,True,1.68,0.391,0,1.522,1.758,0.16,345.231993939394,,,,,1.236,0.708,,,,,,,,
CPER_yearly_False_window_1_lags_4_sinusoidal_no_piecewise,False,1,piecewise_lags_4_sinusoidal_no,0.515,0.0,459.146,465.132,True,True,True,1.64,0.386,0,1.569,1.877,0.114,344.9062181818182,,,,,,,1.308,0.816,,,,,,
CPER_yearly_False_window_1_lags_5_sinusoidal_no_piecewise,False,1,piecewise_lags_5_sinusoidal_no,0.547,0.035,444.194,450.057,True,True,True,1.708,0.365,0,1.575,1.836,0.229,344.58044242424245,,,,,,,,,1.261,0.208,,,,
CPER_yearly_False_window_1_lags_none_sinusoidal_yes_piecewise,False,1,piecewise_lags_none_sinusoidal_yes,0.597,0.0,507.034,515.089,False,True,True,1.876,0.484,0,1.249,1.387,0.077,393.8816484848485,,,,,,,,,,,1.137,1.001,0.738,0.038
CPER_yearly_False_window_1_lags_1_sinusoidal_yes_piecewise,False,1,piecewise_lags_1_sinusoidal_yes,0.625,0.0,493.114,502.616,False,True,True,1.945,0.463,0,1.314,1.795,0.114,393.72900000000004,1.299,0.147,,,,,,,,,1.173,1.009,0.811,0.023
CPER_yearly_False_window_1_lags_2_sinusoidal_yes_piecewise,False,1,piecewise_lags_2_sinusoidal_yes,0.599,0.0,482.21,491.542,False,True,True,1.977,0.402,0,1.598,2.072,0.092,345.55776969696973,,,1.278,0.789,,,,,,,1.191,1.005,0.682,0.023
CPER_yearly_False_window_1_lags_3_sinusoidal_yes_piecewise,False,1,piecewise_lags_3_sinusoidal_yes,0.617,0.004,467.996,477.154,False,True,True,2.049,0.465,0,1.614,2.07,0.113,345.231993939394,,,,,1.278,0.745,,,,,1.172,1.006,0.617,0.015
