analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER_yearly_False_window_1_lags_none_sinusoidal_no_quadratic,False,1,quadratic_lags_none_sinusoidal_no,0.525,0.0,509.189,514.022,True,True,True,1.743,0.407,0,1.491,1.491,0.13,,,,,,,,,,,,,,
CPER_yearly_False_window_1_lags_1_sinusoidal_no_quadratic,False,1,quadratic_lags_1_sinusoidal_no,0.538,0.0,496.636,502.971,True,True,True,1.701,0.279,0,1.481,1.491,0.142,1.01,0.196,,,,,,,,,,,,
CPER_yearly_False_window_1_lags_2_sinusoidal_no_quadratic,False,1,quadratic_lags_2_sinusoidal_no,0.503,0.0,485.728,491.95,True,True,True,1.729,0.417,0,1.481,1.492,0.152,,,1.011,0.812,,,,,,,,,,
CPER_yearly_False_window_1_lags_3_sinusoidal_no_quadratic,False,1,quadratic_lags_3_sinusoidal_no,0.507,0.007,472.608,478.713,True,True,True,1.731,0.377,0,1.501,1.519,0.272,,,,,1.018,0.692,,,,,,,,
CPER_yearly_False_window_1_lags_4_sinusoidal_no_quadratic,False,1,quadratic_lags_4_sinusoidal_no,0.502,0.0,460.006,465.992,True,True,True,1.694,0.394,0,1.486,1.492,0.185,,,,,,,1.006,0.771,,,,,,
CPER_yearly_False_window_1_lags_5_sinusoidal_no_quadratic,False,1,quadratic_lags_5_sinusoidal_no,0.534,0.045,445.071,450.934,True,True,True,1.755,0.358,0,1.516,1.538,0.406,,,,,,,,,1.022,0.199,,,,
CPER_yearly_False_window_1_lags_none_sinusoidal_yes_quadratic,False,1,quadratic_lags_none_sinusoidal_yes,0.582,0.0,508.402,516.456,True,True,True,1.939,0.434,0,1.537,1.631,0.162,,,,,,,,,,,1.084,1.01,0.732,0.047
CPER_yearly_False_window_1_lags_1_sinusoidal_yes_quadratic,False,1,quadratic_lags_1_sinusoidal_yes,0.611,0.0,494.443,503.944,False,True,True,1.992,0.361,0,1.531,1.647,0.236,1.011,0.171,,,,,,,,,1.092,1.012,0.839,0.024
CPER_yearly_False_window_1_lags_2_sinusoidal_yes_quadratic,False,1,quadratic_lags_2_sinusoidal_yes,0.582,0.0,483.655,492.987,False,True,True,2.02,0.393,0,1.533,1.656,0.198,,,1.013,0.78,,,,,,,1.094,1.016,0.718,0.029
CPER_yearly_False_window_1_lags_3_sinusoidal_yes_quadratic,False,1,quadratic_lags_3_sinusoidal_yes,0.6,0.005,469.492,478.65,False,True,True,2.079,0.44,0,1.554,1.681,0.254,,,,,1.02,0.704,,,,,1.1,1.006,0.649,0.019
