analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER_yearly_False_window_1_lags_none_sinusoidal_no_spline,False,1,spline_lags_none_sinusoidal_no,0.533,0.0,512.492,520.546,True,True,True,1.687,0.262,0,1.0,1.0,1.0,1.0,0.107,0.694,0.748,"[np.float64(170.3429997), np.float64(286.766), np.float64(326.4964), np.float64(376.7428), np.float64(501.904)]",,,,,,,,,,,,,,
CPER_yearly_False_window_1_lags_1_sinusoidal_no_spline,False,1,spline_lags_1_sinusoidal_no,0.556,0.0,499.254,508.755,True,True,True,1.647,-0.375,0,1.0,1.043,1.226,1.013,0.111,0.426,0.582,"[np.float64(170.3429997), np.float64(286.6935), np.float64(317.512), np.float64(372.922), np.float64(501.904)]",1.281,0.189,,,,,,,,,,,,
CPER_yearly_False_window_1_lags_2_sinusoidal_no_spline,False,1,spline_lags_2_sinusoidal_no,0.508,0.001,489.361,498.693,True,True,True,1.694,-6.137,0,1.0,1.023,1.453,1.008,0.153,0.536,0.991,"[np.float64(170.3429997), np.float64(286.621), np.float64(312.628), np.float64(351.3428), np.float64(501.904)]",,,1.484,0.99,,,,,,,,,,
CPER_yearly_False_window_1_lags_3_sinusoidal_no_spline,False,1,spline_lags_3_sinusoidal_no,0.514,0.023,476.144,485.302,True,True,True,1.679,0.173,0,1.0,1.338,1.194,1.017,0.276,0.449,0.96,"[np.float64(170.3429997), np.float64(286.5485), np.float64(308.5084), np.float64(341.926301), np.float64(501.904)]",,,,,1.549,0.725,,,,,,,,
CPER_yearly_False_window_1_lags_4_sinusoidal_no_spline,False,1,spline_lags_4_sinusoidal_no,0.514,0.002,463.219,472.198,True,True,True,1.644,0.399,0,1.0,1.014,1.061,1.002,0.17,0.596,0.613,"[np.float64(170.3429997), np.float64(286.766), np.float64(320.5068), np.float64(362.1324), np.float64(501.904)]",,,,,,,1.077,0.777,,,,,,
CPER_yearly_False_window_1_lags_5_sinusoidal_no_spline,False,1,spline_lags_5_sinusoidal_no,0.543,0.111,448.469,457.263,True,True,True,1.7,0.294,0,1.0,1.172,1.094,1.021,0.364,0.557,0.987,"[np.float64(170.3429997), np.float64(286.6935), np.float64(323.2404), np.float64(367.5272), np.float64(501.904)]",,,,,,,,,1.287,0.211,,,,
CPER_yearly_False_window_1_lags_none_sinusoidal_yes_spline,False,1,spline_lags_none_sinusoidal_yes,0.598,0.0,510.976,522.252,True,True,True,1.907,0.229,0,1.0,1.048,1.068,1.044,0.13,0.655,0.441,"[np.float64(170.3429997), np.float64(286.766), np.float64(326.4964), np.float64(376.7428), np.float64(501.904)]",,,,,,,,,,,1.107,1.052,0.732,0.038
CPER_yearly_False_window_1_lags_1_sinusoidal_yes_spline,False,1,spline_lags_1_sinusoidal_yes,0.638,0.0,495.851,508.519,False,True,True,2.001,-2.583,0,1.0,1.077,1.313,1.088,0.178,0.439,0.286,"[np.float64(170.3429997), np.float64(286.6935), np.float64(317.512), np.float64(372.922), np.float64(501.904)]",1.297,0.207,,,,,,,,,1.117,1.063,0.925,0.017
CPER_yearly_False_window_1_lags_2_sinusoidal_yes_spline,False,1,spline_lags_2_sinusoidal_yes,0.586,0.002,487.309,499.752,False,True,True,1.996,-1.329,0,1.0,1.058,1.545,1.038,0.205,0.628,0.791,"[np.float64(170.3429997), np.float64(286.621), np.float64(312.628), np.float64(351.3428), np.float64(501.904)]",,,1.511,0.929,,,,,,,1.109,1.021,0.761,0.034
CPER_yearly_False_window_1_lags_3_sinusoidal_yes_spline,False,1,spline_lags_3_sinusoidal_yes,0.602,0.019,473.312,485.523,False,True,True,2.041,0.269,0,1.0,1.379,1.243,1.034,0.265,0.62,0.885,"[np.float64(170.3429997), np.float64(286.5485), np.float64(308.5084), np.float64(341.926301), np.float64(501.904)]",,,,,1.552,0.758,,,,,1.093,1.011,0.711,0.027
CPER_yearly_False_window_1_lags_4_sinusoidal_yes_spline,False,1,spline_lags_4_sinusoidal_yes,0.632,0.0,458.025,469.997,True,True,True,1.963,0.428,0,1.0,1.068,1.1,1.02,0.256,0.789,0.522,"[np.float64(170.3429997), np.float64(286.766), np.float64(320.5068), np.float64(362.1324), np.float64(501.904)]",,,,,,,1.078,0.62,,,1.094,1.015,0.841,0.01
CPER_yearly_False_window_1_lags_5_sinusoidal_yes_spline,False,1,spline_lags_5_sinusoidal_yes,0.611,0.054,447.283,459.009,False,True,True,1.979,0.148,0,1.0,1.241,1.129,1.066,0.353,0.722,0.91,"[np.float64(170.3429997), np.float64(286.6935), np.float64(323.2404), np.float64(367.5272), np.float64(501.904)]",,,,,,,,,1.288,0.319,1.141,1.007,0.871,0.053
CPER_yearly_True_window_1_lags_none_sinusoidal_no_spline,True,1,spline_lags_none_sinusoidal_no,0.533,0.0,512.492,520.546,True,True,True,1.687,0.262,0,1.0,1.0,1.0,1.0,0.107,0.694,0.748,"[np.float64(170.3429997), np.float64(286.766), np.float64(326.4964), np.float64(376.7428), np.float64(501.904)]",,,,,,,,,,,,,,
CPER_yearly_True_window_1_lags_1_sinusoidal_no_spline,True,1,spline_lags_1_sinusoidal_no,0.556,0.0,499.254,508.755,True,True,True,1.647,-0.375,0,1.0,1.043,1.226,1.013,0.111,0.426,0.582,"[np.float64(170.3429997), np.float64(286.6935), np.float64(317.512), np.float64(372.922), np.float64(501.904)]",1.281,0.189,,,,,,,,,,,,
