analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_0_yearly_False_window_1_lags_none_sinusoidal_no_linear,False,1,linear_lags_none_sinusoidal_no,0.101,0.02,1030.136,1034.077,False,True,True,2.209,0.002,0,1.0,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_1_sinusoidal_no_linear,False,1,linear_lags_1_sinusoidal_no,0.238,0.549,1004.267,1010.12,False,True,True,2.154,0.177,0,1.0,1.0,0.006,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_2_sinusoidal_no_linear,False,1,linear_lags_2_sinusoidal_no,0.112,0.047,993.049,998.844,False,True,True,2.115,0.054,0,1.0,,,1.0,0.553,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_3_sinusoidal_no_linear,False,1,linear_lags_3_sinusoidal_no,0.107,0.036,974.395,980.132,False,True,True,2.127,-0.034,0,1.0,,,,,1.0,0.701,,,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_4_sinusoidal_no_linear,False,1,linear_lags_4_sinusoidal_no,0.166,0.814,952.073,957.749,False,True,True,1.932,0.11,0,1.0,,,,,,,1.0,0.079,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_7_sinusoidal_no_linear,False,1,linear_lags_7_sinusoidal_no,0.137,0.471,895.828,901.314,False,True,True,2.118,0.02,0,1.0,,,,,,,,,1.0,0.275,,,,
Croplands_cluster_0_yearly_False_window_1_lags_none_sinusoidal_yes_linear,False,1,linear_lags_none_sinusoidal_yes,0.128,0.01,1032.493,1040.374,False,True,True,2.266,-0.106,0,1.0,,,,,,,,,,,1.0,1.0,0.871,0.221
Croplands_cluster_0_yearly_False_window_1_lags_1_sinusoidal_yes_linear,False,1,linear_lags_1_sinusoidal_yes,0.252,0.776,1007.322,1017.079,False,True,True,2.15,0.028,0,1.0,1.0,0.015,,,,,,,,,1.0,1.0,0.679,0.411
Croplands_cluster_0_yearly_False_window_1_lags_2_sinusoidal_yes_linear,False,1,linear_lags_2_sinusoidal_yes,0.139,0.028,995.425,1005.085,False,True,True,2.137,-0.118,0,1.0,,,1.0,0.408,,,,,,,1.0,1.0,0.856,0.232
Croplands_cluster_0_yearly_False_window_1_lags_3_sinusoidal_yes_linear,False,1,linear_lags_3_sinusoidal_yes,0.137,0.022,976.68,986.24,False,True,True,2.171,-0.081,0,1.0,,,,,1.0,0.591,,,,,1.0,1.0,0.889,0.219
Croplands_cluster_0_yearly_False_window_1_lags_4_sinusoidal_yes_linear,False,1,linear_lags_4_sinusoidal_yes,0.191,0.629,954.592,964.051,False,True,True,2.001,0.082,0,1.0,,,,,,,1.0,0.148,,,1.0,1.0,0.81,0.272
Croplands_cluster_0_yearly_False_window_1_lags_7_sinusoidal_yes_linear,False,1,linear_lags_7_sinusoidal_yes,0.157,0.304,898.741,907.885,False,True,True,2.146,-0.131,0,1.0,,,,,,,,,1.0,0.464,1.0,1.0,0.927,0.329
Croplands_cluster_0_yearly_True_window_1_lags_none_sinusoidal_no_linear,True,1,linear_lags_none_sinusoidal_no,0.061,0.205,504.135,506.799,True,True,True,1.856,-0.095,0,1.0,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_1_sinusoidal_no_linear,True,1,linear_lags_1_sinusoidal_no,0.068,0.482,488.698,492.586,True,True,True,1.904,-0.31,0,1.0,1.0,0.926,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_2_sinusoidal_no_linear,True,1,linear_lags_2_sinusoidal_no,0.129,0.95,469.767,473.542,True,True,True,1.914,-0.464,0,1.0,,,1.0,0.215,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_3_sinusoidal_no_linear,True,1,linear_lags_3_sinusoidal_no,0.056,0.391,452.808,456.465,True,True,True,2.008,-0.339,0,1.0,,,,,1.0,0.931,,,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_4_sinusoidal_no_linear,True,1,linear_lags_4_sinusoidal_no,0.081,0.332,435.224,438.759,True,True,True,1.942,-0.327,0,1.0,,,,,,,1.0,0.93,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_7_sinusoidal_no_linear,True,1,linear_lags_7_sinusoidal_no,0.102,0.297,382.137,385.271,True,True,True,1.936,-0.16,0,1.0,,,,,,,,,1.0,0.74,,,,
Croplands_cluster_0_yearly_True_window_1_lags_none_sinusoidal_yes_linear,True,1,linear_lags_none_sinusoidal_yes,0.092,0.384,507.192,512.521,True,True,True,1.745,-0.184,0,1.0,,,,,,,,,,,1.0,1.0,0.449,0.662
Croplands_cluster_0_yearly_True_window_1_lags_1_sinusoidal_yes_linear,True,1,linear_lags_1_sinusoidal_yes,0.117,0.868,491.252,497.731,True,True,True,1.823,-0.288,0,1.0,1.0,0.639,,,,,,,,,1.0,1.0,0.327,0.623
