analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_0_yearly_False_window_1_lags_none_sinusoidal_no_quadratic,False,1,quadratic_lags_none_sinusoidal_no,0.106,0.165,1031.828,1037.739,False,True,True,2.262,-0.017,0,1.232,1.232,0.591,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_1_sinusoidal_no_quadratic,False,1,quadratic_lags_1_sinusoidal_no,0.238,0.573,1006.261,1014.066,False,True,True,2.16,0.096,0,1.379,2.022,0.942,1.643,0.007,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_2_sinusoidal_no_quadratic,False,1,quadratic_lags_2_sinusoidal_no,0.118,0.143,994.671,1002.399,False,True,True,2.169,0.055,0,1.37,1.984,0.558,,,1.614,0.509,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_3_sinusoidal_no_quadratic,False,1,quadratic_lags_3_sinusoidal_no,0.111,0.167,976.19,983.838,False,True,True,2.169,-0.115,0,1.287,1.495,0.665,,,,,1.209,0.708,,,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_4_sinusoidal_no_quadratic,False,1,quadratic_lags_4_sinusoidal_no,0.172,0.936,953.759,961.326,False,True,True,1.981,0.017,0,1.364,1.847,0.593,,,,,,,1.483,0.082,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_7_sinusoidal_no_quadratic,False,1,quadratic_lags_7_sinusoidal_no,0.151,0.916,897.116,904.431,False,True,True,2.206,-0.056,0,1.3,1.59,0.423,,,,,,,,,1.29,0.227,,,,
Croplands_cluster_0_yearly_False_window_1_lags_none_sinusoidal_yes_quadratic,False,1,quadratic_lags_none_sinusoidal_yes,0.131,0.087,1034.364,1044.215,False,True,True,2.292,-0.159,0,1.243,1.295,0.733,,,,,,,,,,,1.013,1.038,0.87,0.254
Croplands_cluster_0_yearly_False_window_1_lags_1_sinusoidal_yes_quadratic,False,1,quadratic_lags_1_sinusoidal_yes,0.252,0.813,1009.321,1021.029,False,True,True,2.148,-0.037,0,1.38,2.031,0.976,1.646,0.016,,,,,,,,,1.0,1.004,0.683,0.418
Croplands_cluster_0_yearly_False_window_1_lags_2_sinusoidal_yes_quadratic,False,1,quadratic_lags_2_sinusoidal_yes,0.143,0.087,997.19,1008.781,False,True,True,2.17,-0.111,0,1.375,2.011,0.65,,,1.623,0.388,,,,,,,1.011,1.002,0.848,0.26
Croplands_cluster_0_yearly_False_window_1_lags_3_sinusoidal_yes_quadratic,False,1,quadratic_lags_3_sinusoidal_yes,0.139,0.107,978.587,990.06,False,True,True,2.192,-0.146,0,1.288,1.502,0.776,,,,,1.21,0.601,,,,,1.0,1.004,0.889,0.241
Croplands_cluster_0_yearly_False_window_1_lags_4_sinusoidal_yes_quadratic,False,1,quadratic_lags_4_sinusoidal_yes,0.194,0.839,956.415,967.766,False,True,True,2.03,0.014,0,1.374,1.895,0.695,,,,,,,1.495,0.148,,,1.02,1.006,0.805,0.305
Croplands_cluster_0_yearly_False_window_1_lags_7_sinusoidal_yes_quadratic,False,1,quadratic_lags_7_sinusoidal_yes,0.165,0.658,900.298,911.269,False,True,True,2.205,-0.242,0,1.305,1.613,0.537,,,,,,,,,1.294,0.398,1.002,1.012,0.936,0.403
Croplands_cluster_0_yearly_True_window_1_lags_none_sinusoidal_no_quadratic,True,1,quadratic_lags_none_sinusoidal_no,0.087,0.809,505.353,509.35,True,True,True,2.058,-0.047,0,1.143,1.143,0.408,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_1_sinusoidal_no_quadratic,True,1,quadratic_lags_1_sinusoidal_no,0.086,0.827,490.177,495.36,True,True,True,2.059,-0.288,0,1.246,2.028,0.51,1.783,0.957,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_2_sinusoidal_no_quadratic,True,1,quadratic_lags_2_sinusoidal_no,0.134,0.875,471.614,476.646,True,True,True,1.992,-18.119,0,1.254,1.997,0.721,,,1.744,0.264,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_3_sinusoidal_no_quadratic,True,1,quadratic_lags_3_sinusoidal_no,0.075,0.786,454.313,459.188,True,True,True,2.175,-2.101,0,1.231,1.708,0.524,,,,,1.477,0.921,,,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_4_sinusoidal_no_quadratic,True,1,quadratic_lags_4_sinusoidal_no,0.107,0.747,436.531,441.243,False,True,True,2.144,-1.777,0,1.169,1.661,0.453,,,,,,,1.493,0.924,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_7_sinusoidal_no_quadratic,True,1,quadratic_lags_7_sinusoidal_no,0.12,0.561,383.714,387.892,False,True,True,2.115,-0.553,0,1.227,1.859,0.564,,,,,,,,,1.632,0.751,,,,
Croplands_cluster_0_yearly_True_window_1_lags_none_sinusoidal_yes_quadratic,True,1,quadratic_lags_none_sinusoidal_yes,0.119,0.958,508.362,515.023,True,True,True,1.956,-0.147,0,1.168,1.343,0.414,,,,,,,,,,,1.002,1.173,0.467,0.627
Croplands_cluster_0_yearly_True_window_1_lags_1_sinusoidal_yes_quadratic,True,1,quadratic_lags_1_sinusoidal_yes,0.132,0.877,492.784,500.559,True,True,True,1.969,-0.286,0,1.271,2.233,0.551,1.862,0.677,,,,,,,,,1.1,1.001,0.355,0.617
Croplands_cluster_0_yearly_True_window_1_lags_2_sinusoidal_yes_quadratic,True,1,quadratic_lags_2_sinusoidal_yes,0.141,0.938,475.399,482.947,True,True,True,1.967,-17.287,0,1.287,2.262,0.697,,,1.842,0.361,,,,,,,1.132,1.001,0.781,0.782
Croplands_cluster_0_yearly_True_window_1_lags_3_sinusoidal_yes_quadratic,True,1,quadratic_lags_3_sinusoidal_yes,0.103,0.929,457.554,464.867,True,True,True,2.065,-3.855,0,1.285,2.114,0.564,,,,,1.591,0.822,,,,,1.015,1.223,0.574,0.591
Croplands_cluster_0_yearly_True_window_1_lags_4_sinusoidal_yes_quadratic,True,1,quadratic_lags_4_sinusoidal_yes,0.14,0.799,439.652,446.72,False,True,True,2.01,-2.907,0,1.169,1.67,0.477,,,,,,,1.495,0.972,,,1.003,1.002,0.58,0.56
Croplands_cluster_0_yearly_True_window_1_lags_7_sinusoidal_yes_quadratic,True,1,quadratic_lags_7_sinusoidal_yes,0.136,0.611,387.332,393.599,False,True,True,2.098,-1.72,0,1.227,1.861,0.581,,,,,,,,,1.633,0.79,1.0,1.001,0.881,0.623
Croplands_cluster_0_yearly_False_window_2_lags_none_sinusoidal_no_quadratic,False,2,quadratic_lags_none_sinusoidal_no,0.089,0.085,989.273,995.184,False,True,False,1.192,-0.011,0,1.893,1.893,0.232,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_2_lags_1_sinusoidal_no_quadratic,False,2,quadratic_lags_1_sinusoidal_no,0.23,0.962,964.742,972.547,False,True,False,1.008,0.071,0,1.918,1.946,0.415,1.028,0.005,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_2_lags_2_sinusoidal_no_quadratic,False,2,quadratic_lags_2_sinusoidal_no,0.107,0.41,954.274,962.001,False,True,False,1.265,-0.065,0,1.979,2.088,0.303,,,1.109,0.579,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_2_lags_3_sinusoidal_no_quadratic,False,2,quadratic_lags_3_sinusoidal_no,0.083,0.173,938.127,945.775,False,True,False,1.196,-0.133,0,1.973,2.031,0.379,,,,,1.058,0.985,,,,,,,,
