analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_0_yearly_False_window_1_lags_none_sinusoidal_no_spline,False,1,spline_lags_none_sinusoidal_no,0.124,0.023,1034.733,1044.585,False,True,True,2.232,-0.539,0,1.0,1.0,1.0,1.0,0.884,0.486,0.382,"[np.float64(229.8), np.float64(427.3886), np.float64(501.5684), np.float64(561.964), np.float64(642.8232)]",,,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_1_sinusoidal_no_spline,False,1,spline_lags_1_sinusoidal_no,0.28,0.65,1007.289,1018.996,False,True,True,2.247,0.025,0,1.0,1.072,1.175,1.0,0.363,0.802,0.18,"[np.float64(229.8), np.float64(425.7848), np.float64(522.199), np.float64(565.82465), np.float64(642.8232)]",1.248,0.004,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_2_sinusoidal_no_spline,False,1,spline_lags_2_sinusoidal_no,0.143,0.045,997.203,1008.794,False,True,True,2.086,-0.037,0,1.0,1.07,1.138,1.001,0.725,0.521,0.288,"[np.float64(229.8), np.float64(446.1), np.float64(522.199), np.float64(566.0465), np.float64(642.8232)]",,,1.209,0.571,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_3_sinusoidal_no_spline,False,1,spline_lags_3_sinusoidal_no,0.136,0.03,978.729,990.201,False,True,True,2.16,-0.203,0,1.0,1.012,1.112,1.018,0.596,0.599,0.325,"[np.float64(229.8), np.float64(421.3362), np.float64(522.199), np.float64(566.26835), np.float64(642.8232)]",,,,,1.142,0.599,,,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_4_sinusoidal_no_spline,False,1,spline_lags_4_sinusoidal_no,0.189,0.682,956.719,968.07,False,True,True,1.94,-0.378,0,1.0,1.068,1.215,1.011,0.529,0.529,0.478,"[np.float64(229.8), np.float64(418.4914), np.float64(522.199), np.float64(567.7358), np.float64(642.8232)]",,,,,,,1.295,0.064,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_7_sinusoidal_no_spline,False,1,spline_lags_7_sinusoidal_no,0.17,0.354,900.051,911.023,False,True,True,2.181,-0.096,0,1.0,1.005,1.367,1.0,0.841,0.407,0.357,"[np.float64(229.8), np.float64(424.181), np.float64(522.199), np.float64(566.16975), np.float64(642.8232)]",,,,,,,,,1.372,0.239,,,,
Croplands_cluster_0_yearly_False_window_1_lags_none_sinusoidal_yes_spline,False,1,spline_lags_none_sinusoidal_yes,0.151,0.014,1037.107,1050.899,False,True,True,2.251,-0.935,0,1.0,1.002,1.151,1.006,0.856,0.628,0.337,"[np.float64(229.8), np.float64(427.3886), np.float64(501.5684), np.float64(561.964), np.float64(642.8232)]",,,,,,,,,,,1.008,1.151,0.874,0.239
Croplands_cluster_0_yearly_False_window_1_lags_1_sinusoidal_yes_spline,False,1,spline_lags_1_sinusoidal_yes,0.314,0.852,1008.82,1024.43,False,True,True,2.178,-0.118,0,1.0,1.078,1.267,1.208,0.405,0.918,0.079,"[np.float64(229.8), np.float64(425.7848), np.float64(522.199), np.float64(565.82465), np.float64(642.8232)]",1.265,0.012,,,,,,,,,1.18,1.108,0.286,0.298
Croplands_cluster_0_yearly_False_window_1_lags_2_sinusoidal_yes_spline,False,1,spline_lags_2_sinusoidal_yes,0.161,0.035,1000.151,1015.605,False,True,True,2.088,-0.172,0,1.0,1.078,1.205,1.029,0.773,0.606,0.38,"[np.float64(229.8), np.float64(446.1), np.float64(522.199), np.float64(566.0465), np.float64(642.8232)]",,,1.221,0.457,,,,,,,1.005,1.086,0.858,0.355
Croplands_cluster_0_yearly_False_window_1_lags_3_sinusoidal_yes_spline,False,1,spline_lags_3_sinusoidal_yes,0.165,0.023,981.045,996.341,False,True,True,2.191,-0.221,0,1.0,1.019,1.166,1.061,0.642,0.717,0.305,"[np.float64(229.8), np.float64(421.3362), np.float64(522.199), np.float64(566.26835), np.float64(642.8232)]",,,,,1.15,0.497,,,,,1.041,1.055,0.943,0.238
Croplands_cluster_0_yearly_False_window_1_lags_4_sinusoidal_yes_spline,False,1,spline_lags_4_sinusoidal_yes,0.211,0.585,959.386,974.52,False,True,True,1.991,-0.437,0,1.0,1.074,1.306,1.012,0.56,0.628,0.473,"[np.float64(229.8), np.float64(418.4914), np.float64(522.199), np.float64(567.7358), np.float64(642.8232)]",,,,,,,1.314,0.118,,,1.014,1.064,0.78,0.325
Croplands_cluster_0_yearly_False_window_1_lags_7_sinusoidal_yes_spline,False,1,spline_lags_7_sinusoidal_yes,0.181,0.28,903.436,918.065,False,True,True,2.184,-0.345,0,1.0,1.01,1.491,1.028,0.828,0.503,0.427,"[np.float64(229.8), np.float64(424.181), np.float64(522.199), np.float64(566.16975), np.float64(642.8232)]",,,,,,,,,1.407,0.392,1.015,1.107,0.987,0.48
Croplands_cluster_0_yearly_True_window_1_lags_none_sinusoidal_no_spline,True,1,spline_lags_none_sinusoidal_no,0.159,0.091,507.052,513.713,True,True,True,2.11,-1.314,0,1.0,1.0,1.0,1.0,0.174,0.46,0.506,"[np.float64(229.8), np.float64(463.7184), np.float64(543.4184), np.float64(566.0465), np.float64(642.8232)]",,,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_1_sinusoidal_no_spline,True,1,spline_lags_1_sinusoidal_no,0.203,0.506,490.473,498.248,True,True,True,2.134,-0.69,0,1.0,1.144,1.152,1.042,0.165,0.629,0.23,"[np.float64(229.8), np.float64(460.862), np.float64(543.0978), np.float64(571.76), np.float64(642.8232)]",1.339,0.567,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_2_sinusoidal_no_spline,True,1,spline_lags_2_sinusoidal_no,0.232,0.566,472.503,480.051,True,True,True,2.134,-5.562,0,1.0,1.025,1.057,1.006,0.212,0.78,0.317,"[np.float64(229.8), np.float64(451.3), np.float64(538.18225), np.float64(574.55), np.float64(642.8232)]",,,1.088,0.364,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_3_sinusoidal_no_spline,True,1,spline_lags_3_sinusoidal_no,0.163,0.312,455.806,463.119,True,True,True,2.144,-1.148,0,1.0,1.191,1.075,1.057,0.138,0.821,0.827,"[np.float64(229.8), np.float64(445.8762), np.float64(550.704), np.float64(577.3072), np.float64(642.8232)]",,,,,1.323,0.828,,,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_4_sinusoidal_no_spline,True,1,spline_lags_4_sinusoidal_no,0.257,0.196,436.143,443.211,False,True,True,2.031,-162.673,0,1.0,1.077,1.194,1.003,0.193,0.474,0.155,"[np.float64(229.8), np.float64(479.986), np.float64(544.1095), np.float64(565.97255), np.float64(642.8232)]",,,,,,,1.274,0.949,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_7_sinusoidal_no_spline,True,1,spline_lags_7_sinusoidal_no,0.487,0.238,376.391,382.658,True,True,True,2.027,-174.15,0,1.0,1.17,1.193,1.014,0.11,0.847,0.011,"[np.float64(229.8), np.float64(451.3), np.float64(555.5), np.float64(576.1), np.float64(642.8232)]",,,,,,,,,1.376,0.884,,,,
Croplands_cluster_0_yearly_True_window_1_lags_none_sinusoidal_yes_spline,True,1,spline_lags_none_sinusoidal_yes,0.184,0.176,510.213,519.538,True,False,True,2.013,-3.119,0,1.0,1.048,1.121,1.043,0.204,0.469,0.556,"[np.float64(229.8), np.float64(463.7184), np.float64(543.4184), np.float64(566.0465), np.float64(642.8232)]",,,,,,,,,,,1.016,1.195,0.501,0.717
Croplands_cluster_0_yearly_True_window_1_lags_1_sinusoidal_yes_spline,True,1,spline_lags_1_sinusoidal_yes,0.235,0.771,493.382,503.748,True,True,True,2.036,-1.636,0,1.0,1.145,1.168,1.128,0.185,0.661,0.307,"[np.float64(229.8), np.float64(460.862), np.float64(543.0978), np.float64(571.76), np.float64(642.8232)]",1.34,0.439,,,,,,,,,1.097,1.005,0.48,0.595
Croplands_cluster_0_yearly_True_window_1_lags_2_sinusoidal_yes_spline,True,1,spline_lags_2_sinusoidal_yes,0.237,0.587,476.309,486.374,True,True,True,2.104,-9.889,0,1.0,1.052,1.113,1.044,0.226,0.757,0.36,"[np.float64(229.8), np.float64(451.3), np.float64(538.18225), np.float64(574.55), np.float64(642.8232)]",,,1.093,0.434,,,,,,,1.089,1.028,0.9,0.739
Croplands_cluster_0_yearly_True_window_1_lags_3_sinusoidal_yes_spline,True,1,spline_lags_3_sinusoidal_yes,0.195,0.712,458.837,468.588,True,True,True,2.044,-2.856,0,1.0,1.237,1.143,1.098,0.149,0.861,0.896,"[np.float64(229.8), np.float64(445.8762), np.float64(550.704), np.float64(577.3072), np.float64(642.8232)]",,,,,1.339,0.609,,,,,1.02,1.12,0.602,0.518
Croplands_cluster_0_yearly_True_window_1_lags_4_sinusoidal_yes_spline,True,1,spline_lags_4_sinusoidal_yes,0.262,0.237,439.966,449.391,False,True,True,1.985,-76.73,0,1.0,1.086,1.209,1.135,0.229,0.494,0.231,"[np.float64(229.8), np.float64(479.986), np.float64(544.1095), np.float64(565.97255), np.float64(642.8232)]",,,,,,,1.279,0.933,,,1.112,1.04,0.927,0.742
