analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_False_window_1_lags_none_sinusoidal_no_linear,False,1,linear_lags_none_sinusoidal_no,0.062,0.07,1092.8,1096.778,False,True,True,2.022,-0.1,0,1.0,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_1_lags_1_sinusoidal_no_linear,False,1,linear_lags_1_sinusoidal_no,0.149,0.928,1069.764,1075.675,False,True,True,1.915,-0.007,0,1.0,1.0,0.026,,,,,,,,
Croplands_cluster_1_yearly_False_window_1_lags_2_sinusoidal_no_linear,False,1,linear_lags_2_sinusoidal_no,0.068,0.095,1054.951,1060.805,False,True,True,1.952,-0.139,0,1.0,,,1.0,0.596,,,,,,
Croplands_cluster_1_yearly_False_window_1_lags_6_sinusoidal_no_linear,False,1,linear_lags_6_sinusoidal_no,0.169,0.004,971.036,976.65,True,True,True,1.86,0.035,0,1.0,,,,,1.0,0.018,,,,
Croplands_cluster_1_yearly_False_window_1_lags_none_sinusoidal_yes_linear,False,1,linear_lags_none_sinusoidal_yes,0.076,0.09,1096.007,1103.963,False,True,True,2.069,-0.112,0,1.0,,,,,,,1.0,1.0,0.396,0.944
Croplands_cluster_1_yearly_False_window_1_lags_1_sinusoidal_yes_linear,False,1,linear_lags_1_sinusoidal_yes,0.176,0.722,1072.032,1081.883,False,True,True,2.003,-0.08,0,1.0,1.0,0.02,,,,,1.0,1.0,0.229,0.705
Croplands_cluster_1_yearly_False_window_1_lags_2_sinusoidal_yes_linear,False,1,linear_lags_2_sinusoidal_yes,0.081,0.135,1058.255,1068.012,False,True,True,2.005,-0.21,0,1.0,,,1.0,0.649,,,1.0,1.0,0.446,0.866
Croplands_cluster_1_yearly_False_window_1_lags_6_sinusoidal_yes_linear,False,1,linear_lags_6_sinusoidal_yes,0.19,0.004,973.782,983.138,True,True,True,1.928,-0.088,0,1.0,,,,,1.0,0.016,1.0,1.0,0.292,0.996
Croplands_cluster_1_yearly_True_window_1_lags_none_sinusoidal_no_linear,True,1,linear_lags_none_sinusoidal_no,0.085,0.188,415.974,418.156,False,True,True,1.78,-0.153,0,1.0,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_1_lags_1_sinusoidal_no_linear,True,1,linear_lags_1_sinusoidal_no,0.104,0.572,399.725,402.858,False,True,True,1.782,-0.436,0,1.0,1.0,0.574,,,,,,,,
