analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_False_window_1_lags_none_sinusoidal_no_piecewise,False,1,piecewise_lags_none_sinusoidal_no,0.068,0.646,1094.439,1100.406,False,True,True,2.039,-0.438,0,2.184,2.184,0.561,956.90529,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_1_lags_1_sinusoidal_no_piecewise,False,1,piecewise_lags_1_sinusoidal_no,0.151,0.735,1071.644,1079.525,False,True,True,1.938,-0.069,0,3.138,3.928,0.74,956.64686,1.79,0.031,,,,,,,,
Croplands_cluster_1_yearly_False_window_1_lags_2_sinusoidal_no_piecewise,False,1,piecewise_lags_2_sinusoidal_no,0.073,0.752,1056.723,1064.528,False,True,True,1.983,-0.27,0,3.137,3.911,0.648,956.38843,,,1.774,0.71,,,,,,
Croplands_cluster_1_yearly_False_window_1_lags_6_sinusoidal_no_piecewise,False,1,piecewise_lags_6_sinusoidal_no,0.174,0.834,972.736,980.221,True,True,True,1.881,-0.089,0,4.462,6.151,0.602,955.7832099999999,,,,,2.689,0.019,,,,
Croplands_cluster_1_yearly_False_window_1_lags_none_sinusoidal_yes_piecewise,False,1,piecewise_lags_none_sinusoidal_yes,0.078,0.784,1097.844,1107.789,False,True,True,2.07,-0.466,0,2.256,2.318,0.702,956.90529,,,,,,,1.012,1.049,0.49,0.863
Croplands_cluster_1_yearly_False_window_1_lags_1_sinusoidal_yes_piecewise,False,1,piecewise_lags_1_sinusoidal_yes,0.177,0.899,1074.004,1085.825,False,True,True,1.996,-0.161,0,3.46,4.52,0.875,956.64686,1.909,0.022,,,,,1.032,1.119,0.239,0.686
Croplands_cluster_1_yearly_False_window_1_lags_2_sinusoidal_yes_piecewise,False,1,piecewise_lags_2_sinusoidal_yes,0.083,0.863,1060.155,1071.862,False,True,True,2.016,-0.37,0,3.407,4.405,0.766,956.38843,,,1.872,0.712,,,1.04,1.086,0.522,0.82
Croplands_cluster_1_yearly_False_window_1_lags_6_sinusoidal_yes_piecewise,False,1,piecewise_lags_6_sinusoidal_yes,0.191,0.961,975.711,986.939,True,True,True,1.932,-0.277,0,4.546,6.3,0.805,955.7832099999999,,,,,2.73,0.017,1.005,1.019,0.35,0.952
Croplands_cluster_1_yearly_True_window_1_lags_none_sinusoidal_no_piecewise,True,1,piecewise_lags_none_sinusoidal_no,0.288,0.024,412.454,415.727,False,True,False,1.494,-932.802,0,1.093,1.093,0.031,1108.9247,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_1_lags_1_sinusoidal_no_piecewise,True,1,piecewise_lags_1_sinusoidal_no,0.285,0.136,396.986,401.164,False,True,True,1.503,-394.148,0,1.109,1.157,0.054,1107.727525252525,1.048,0.834,,,,,,,,
Croplands_cluster_1_yearly_True_window_1_lags_2_sinusoidal_no_piecewise,True,1,piecewise_lags_2_sinusoidal_no,0.292,0.224,379.218,383.201,False,True,False,1.479,-0.16,0,1.118,1.262,0.049,1108.8656423393938,,,1.144,0.973,,,,,,
Croplands_cluster_1_yearly_True_window_1_lags_6_sinusoidal_no_piecewise,True,1,piecewise_lags_6_sinusoidal_no,0.294,0.061,304.031,307.121,True,True,False,1.434,-458.059,0,1.165,1.307,0.123,1104.292056848485,,,,,1.142,0.243,,,,
Croplands_cluster_1_yearly_True_window_1_lags_none_sinusoidal_yes_piecewise,True,1,piecewise_lags_none_sinusoidal_yes,0.42,0.03,411.956,417.411,True,False,True,1.919,-3322.097,0,1.105,1.23,0.021,1108.9247,,,,,,,1.0,1.125,0.147,0.242
Croplands_cluster_1_yearly_True_window_1_lags_1_sinusoidal_yes_piecewise,True,1,piecewise_lags_1_sinusoidal_yes,0.444,0.215,395.712,401.98,True,True,True,1.978,-57.084,0,1.128,1.356,0.032,1107.727525252525,1.056,0.593,,,,,1.003,1.17,0.157,0.174
Croplands_cluster_1_yearly_True_window_1_lags_2_sinusoidal_yes_piecewise,True,1,piecewise_lags_2_sinusoidal_yes,0.45,0.419,378.188,384.162,True,True,True,2.085,-0.818,0,1.143,1.53,0.03,1108.8656423393938,,,1.174,0.604,,,1.006,1.207,0.173,0.186
