analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_False_window_1_lags_none_sinusoidal_no_quadratic,False,1,quadratic_lags_none_sinusoidal_no,0.064,0.331,1094.697,1100.664,False,True,True,2.039,-1.689,0,1.185,1.185,0.757,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_1_lags_1_sinusoidal_no_quadratic,False,1,quadratic_lags_1_sinusoidal_no,0.149,0.94,1071.764,1079.645,False,True,True,1.916,-0.009,0,1.272,1.71,0.995,1.438,0.029,,,,,,,,
Croplands_cluster_1_yearly_False_window_1_lags_2_sinusoidal_no_quadratic,False,1,quadratic_lags_2_sinusoidal_no,0.069,0.288,1056.895,1064.699,False,True,True,1.968,-0.709,0,1.233,1.441,0.82,,,1.208,0.628,,,,,,
Croplands_cluster_1_yearly_False_window_1_lags_6_sinusoidal_no_quadratic,False,1,quadratic_lags_6_sinusoidal_no,0.172,0.027,972.824,980.308,True,True,True,1.886,-0.567,0,1.314,1.838,0.661,,,,,1.524,0.018,,,,
Croplands_cluster_1_yearly_False_window_1_lags_none_sinusoidal_yes_quadratic,False,1,quadratic_lags_none_sinusoidal_yes,0.077,0.357,1097.899,1107.844,False,True,True,2.085,-1.416,0,1.201,1.286,0.756,,,,,,,1.006,1.079,0.404,0.899
Croplands_cluster_1_yearly_False_window_1_lags_1_sinusoidal_yes_quadratic,False,1,quadratic_lags_1_sinusoidal_yes,0.177,0.822,1074.014,1085.836,False,True,True,1.993,-0.139,0,1.315,1.978,0.902,1.507,0.022,,,,,1.013,1.143,0.232,0.694
Croplands_cluster_1_yearly_False_window_1_lags_2_sinusoidal_yes_quadratic,False,1,quadratic_lags_2_sinusoidal_yes,0.082,0.337,1060.178,1071.886,False,True,True,2.023,-1.233,0,1.258,1.597,0.795,,,1.23,0.677,,,1.012,1.096,0.451,0.835
Croplands_cluster_1_yearly_False_window_1_lags_6_sinusoidal_yes_quadratic,False,1,quadratic_lags_6_sinusoidal_yes,0.194,0.023,975.587,986.814,True,True,True,1.951,-0.809,0,1.33,1.933,0.681,,,,,1.551,0.016,1.001,1.051,0.302,0.941
Croplands_cluster_1_yearly_True_window_1_lags_none_sinusoidal_no_quadratic,True,1,quadratic_lags_none_sinusoidal_no,0.129,0.183,416.898,420.171,False,True,True,1.549,-0.192,0,1.888,1.888,0.341,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_1_lags_1_sinusoidal_no_quadratic,True,1,quadratic_lags_1_sinusoidal_no,0.146,0.599,400.726,404.904,False,True,True,1.518,-0.893,0,1.942,1.943,0.376,1.001,0.555,,,,,,,,
Croplands_cluster_1_yearly_True_window_1_lags_2_sinusoidal_no_quadratic,True,1,quadratic_lags_2_sinusoidal_no,0.128,0.585,383.392,387.375,False,True,True,1.536,-1.487,0,1.928,1.995,0.425,,,1.067,0.944,,,,,,
Croplands_cluster_1_yearly_True_window_1_lags_6_sinusoidal_no_quadratic,True,1,quadratic_lags_6_sinusoidal_no,0.171,0.195,306.589,309.679,True,True,False,1.326,-0.838,0,1.921,1.952,0.461,,,,,1.031,0.258,,,,
Croplands_cluster_1_yearly_True_window_1_lags_none_sinusoidal_yes_quadratic,True,1,quadratic_lags_none_sinusoidal_yes,0.232,0.28,418.112,423.567,True,False,True,1.841,-0.635,0,2.187,2.524,0.396,,,,,,,1.08,1.257,0.222,0.501
Croplands_cluster_1_yearly_True_window_1_lags_1_sinusoidal_yes_quadratic,True,1,quadratic_lags_1_sinusoidal_yes,0.282,0.932,401.076,407.343,True,False,True,1.801,-2.242,0,2.236,2.55,0.348,1.001,0.378,,,,,1.092,1.22,0.241,0.317
Croplands_cluster_1_yearly_True_window_1_lags_2_sinusoidal_yes_quadratic,True,1,quadratic_lags_2_sinusoidal_yes,0.247,0.894,384.451,390.425,True,False,True,1.924,-2.214,0,2.191,2.562,0.49,,,1.087,0.686,,,1.084,1.2,0.241,0.463
Croplands_cluster_1_yearly_True_window_1_lags_6_sinusoidal_yes_quadratic,True,1,quadratic_lags_6_sinusoidal_yes,0.565,0.203,300.259,304.894,True,True,True,2.475,-2.191,0,2.075,2.278,0.289,,,,,1.036,0.218,1.0,1.167,0.014,0.651
Croplands_cluster_1_yearly_False_window_2_lags_none_sinusoidal_no_quadratic,False,2,quadratic_lags_none_sinusoidal_no,0.07,0.515,1052.592,1058.559,True,True,False,0.974,-0.195,0,1.383,1.383,0.088,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_2_lags_1_sinusoidal_no_quadratic,False,2,quadratic_lags_1_sinusoidal_no,0.101,0.245,1033.836,1041.717,True,True,False,0.961,0.008,0,1.433,1.535,0.087,1.102,0.161,,,,,,,,
Croplands_cluster_1_yearly_False_window_2_lags_2_sinusoidal_no_quadratic,False,2,quadratic_lags_2_sinusoidal_no,0.106,0.188,1013.963,1021.768,True,True,False,0.999,-0.005,0,1.491,1.702,0.072,,,1.21,0.165,,,,,,
Croplands_cluster_1_yearly_False_window_2_lags_6_sinusoidal_no_quadratic,False,2,quadratic_lags_6_sinusoidal_no,0.11,0.583,938.635,946.12,True,True,False,0.939,0.072,0,1.608,2.0,0.096,,,,,1.392,0.144,,,,
Croplands_cluster_1_yearly_False_window_2_lags_none_sinusoidal_yes_quadratic,False,2,quadratic_lags_none_sinusoidal_yes,0.108,0.471,1054.34,1064.285,True,True,False,1.022,-0.218,0,1.454,1.639,0.106,,,,,,,1.019,1.166,0.159,0.912
Croplands_cluster_1_yearly_False_window_2_lags_1_sinusoidal_yes_quadratic,False,2,quadratic_lags_1_sinusoidal_yes,0.163,0.183,1034.055,1045.876,True,True,False,1.013,0.049,0,1.528,1.872,0.103,1.125,0.129,,,,,1.03,1.189,0.072,0.878
Croplands_cluster_1_yearly_False_window_2_lags_2_sinusoidal_yes_quadratic,False,2,quadratic_lags_2_sinusoidal_yes,0.162,0.137,1014.59,1026.297,True,False,False,1.062,-0.054,0,1.575,1.993,0.085,,,1.246,0.125,,,1.019,1.152,0.087,0.967
Croplands_cluster_1_yearly_False_window_2_lags_6_sinusoidal_yes_quadratic,False,2,quadratic_lags_6_sinusoidal_yes,0.157,0.412,940.03,951.257,True,True,False,1.019,0.045,0,1.667,2.194,0.129,,,,,1.43,0.101,1.0,1.097,0.134,0.928
Croplands_cluster_1_yearly_True_window_2_lags_none_sinusoidal_no_quadratic,True,2,quadratic_lags_none_sinusoidal_no,0.066,0.314,404.088,407.361,False,True,False,0.746,-0.055,0,2.012,2.012,0.427,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_2_lags_1_sinusoidal_no_quadratic,True,2,quadratic_lags_1_sinusoidal_no,0.073,0.56,388.743,392.921,True,True,False,0.759,-0.41,0,2.124,2.126,0.544,1.002,0.739,,,,,,,,
Croplands_cluster_1_yearly_True_window_2_lags_2_sinusoidal_no_quadratic,True,2,quadratic_lags_2_sinusoidal_no,0.11,0.895,372.453,376.436,False,True,False,0.69,-0.506,0,1.987,1.99,0.414,,,1.002,0.604,,,,,,
Croplands_cluster_1_yearly_True_window_2_lags_6_sinusoidal_no_quadratic,True,2,quadratic_lags_6_sinusoidal_no,0.118,0.23,299.651,302.741,True,True,False,0.663,-3.072,0,2.068,2.103,0.864,,,,,1.035,0.484,,,,
Croplands_cluster_1_yearly_True_window_2_lags_none_sinusoidal_yes_quadratic,True,2,quadratic_lags_none_sinusoidal_yes,0.297,0.538,401.844,407.299,True,False,False,0.999,0.174,0,2.197,2.38,0.227,,,,,,,1.0,1.182,0.076,0.164
Croplands_cluster_1_yearly_True_window_2_lags_1_sinusoidal_yes_quadratic,True,2,quadratic_lags_1_sinusoidal_yes,0.342,0.976,385.54,391.808,True,True,False,1.011,-0.729,0,2.26,2.383,0.267,1.002,0.475,,,,,1.001,1.12,0.088,0.11
