analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_False_window_1_lags_none_sinusoidal_no_spline,False,1,spline_lags_none_sinusoidal_no,0.075,0.118,1098.021,1107.966,False,True,True,2.026,-9.43,0,1.0,1.0,1.0,1.0,0.838,0.675,0.471,"[np.float64(922.0), np.float64(1041.759), np.float64(1095.25), np.float64(1146.8843), np.float64(1604.483978)]",,,,,,,,,,
Croplands_cluster_1_yearly_False_window_1_lags_1_sinusoidal_no_spline,False,1,spline_lags_1_sinusoidal_no,0.153,0.991,1075.492,1087.314,False,True,True,1.922,-44.894,0,1.0,1.056,1.132,1.004,0.903,0.699,0.873,"[np.float64(922.0), np.float64(1031.934004), np.float64(1100.0), np.float64(1147.8752), np.float64(1604.483978)]",1.192,0.031,,,,,,,,
Croplands_cluster_1_yearly_False_window_1_lags_2_sinusoidal_no_spline,False,1,spline_lags_2_sinusoidal_no,0.077,0.116,1060.501,1072.209,False,True,True,1.975,-45.69,0,1.0,1.274,1.114,1.0,0.905,0.677,0.638,"[np.float64(922.0), np.float64(1034.767002), np.float64(1102.325), np.float64(1148.8661), np.float64(1604.483978)]",,,1.387,0.608,,,,,,
Croplands_cluster_1_yearly_False_window_1_lags_6_sinusoidal_no_spline,False,1,spline_lags_6_sinusoidal_no,0.197,0.005,975.389,986.616,True,True,True,1.93,-2.985,0,1.0,1.205,1.158,1.001,0.952,0.355,0.462,"[np.float64(922.0), np.float64(1039.57), np.float64(1079.354), np.float64(1139.573104), np.float64(1604.483978)]",,,,,1.364,0.013,,,,
Croplands_cluster_1_yearly_False_window_1_lags_none_sinusoidal_yes_spline,False,1,spline_lags_none_sinusoidal_yes,0.087,0.154,1101.333,1115.256,False,True,True,2.074,-10.473,0,1.0,1.015,1.025,1.023,0.842,0.716,0.509,"[np.float64(922.0), np.float64(1041.759), np.float64(1095.25), np.float64(1146.8843), np.float64(1604.483978)]",,,,,,,1.007,1.056,0.441,1.0
Croplands_cluster_1_yearly_False_window_1_lags_1_sinusoidal_yes_spline,False,1,spline_lags_1_sinusoidal_yes,0.181,0.777,1077.767,1093.529,False,True,True,1.988,-229.35,0,1.0,1.068,1.162,1.048,0.804,0.766,0.931,"[np.float64(922.0), np.float64(1031.934004), np.float64(1100.0), np.float64(1147.8752), np.float64(1604.483978)]",1.193,0.024,,,,,1.039,1.046,0.252,0.656
Croplands_cluster_1_yearly_False_window_1_lags_2_sinusoidal_yes_spline,False,1,spline_lags_2_sinusoidal_yes,0.087,0.156,1063.92,1079.53,False,True,True,2.02,-50.643,0,1.0,1.293,1.133,1.018,0.867,0.709,0.708,"[np.float64(922.0), np.float64(1034.767002), np.float64(1102.325), np.float64(1148.8661), np.float64(1604.483978)]",,,1.39,0.657,,,1.025,1.029,0.508,0.848
Croplands_cluster_1_yearly_False_window_1_lags_6_sinusoidal_yes_spline,False,1,spline_lags_6_sinusoidal_yes,0.209,0.006,978.645,993.614,True,True,True,1.967,-12.421,0,1.0,1.245,1.172,1.152,0.949,0.389,0.674,"[np.float64(922.0), np.float64(1039.57), np.float64(1079.354), np.float64(1139.573104), np.float64(1604.483978)]",,,,,1.369,0.014,1.144,1.055,0.436,0.959
Croplands_cluster_1_yearly_True_window_1_lags_none_sinusoidal_no_spline,True,1,spline_lags_none_sinusoidal_no,0.192,0.457,419.24,424.695,False,True,True,1.665,-2.649,0,1.0,1.0,1.0,1.0,0.236,0.429,0.728,"[np.float64(922.0), np.float64(993.2662), np.float64(1037.63415), np.float64(1061.675479), np.float64(1153.16)]",,,,,,,,,,
Croplands_cluster_1_yearly_True_window_1_lags_1_sinusoidal_no_spline,True,1,spline_lags_1_sinusoidal_no,0.217,0.951,402.895,409.162,True,True,True,1.714,-22.3,0,1.0,1.021,1.114,1.028,0.225,0.506,0.627,"[np.float64(922.0), np.float64(988.666), np.float64(1032.2683), np.float64(1093.15), np.float64(1153.16)]",1.162,0.531,,,,,,,,
