analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_2_yearly_False_window_1_lags_none_sinusoidal_no_piecewise,False,1,piecewise_lags_none_sinusoidal_no,0.024,0.226,1397.768,1404.471,False,True,False,2.586,-0.059,0,1.112,1.112,0.387,866.2335944,,,,,,,,
Croplands_cluster_2_yearly_False_window_1_lags_1_sinusoidal_no_piecewise,False,1,piecewise_lags_1_sinusoidal_no,0.036,0.626,1379.654,1388.532,False,True,False,2.575,-0.131,0,1.12,1.187,0.406,866.4048951,1.067,0.383,,,,,,
Croplands_cluster_2_yearly_False_window_1_lags_5_sinusoidal_no_piecewise,False,1,piecewise_lags_5_sinusoidal_no,0.061,0.062,1298.181,1306.817,False,True,False,2.513,-0.128,0,1.15,1.326,0.454,865.227511050101,,,1.176,0.144,,,,
Croplands_cluster_2_yearly_False_window_1_lags_none_sinusoidal_yes_piecewise,False,1,piecewise_lags_none_sinusoidal_yes,0.03,0.252,1401.324,1412.495,False,True,False,2.615,-0.188,0,1.112,1.114,0.396,866.2335944,,,,,1.001,1.001,0.528,0.915
Croplands_cluster_2_yearly_False_window_1_lags_1_sinusoidal_yes_piecewise,False,1,piecewise_lags_1_sinusoidal_yes,0.042,0.659,1383.217,1396.534,False,True,False,2.602,-0.239,0,1.121,1.189,0.415,866.4048951,1.067,0.376,,,1.001,1.001,0.532,0.942
Croplands_cluster_2_yearly_False_window_1_lags_5_sinusoidal_yes_piecewise,False,1,piecewise_lags_5_sinusoidal_yes,0.07,0.068,1301.585,1314.539,False,True,False,2.54,-0.17,0,1.151,1.334,0.461,865.227511050101,,,1.177,0.152,1.0,1.006,0.474,0.883
Croplands_cluster_2_yearly_True_window_1_lags_none_sinusoidal_no_piecewise,True,1,piecewise_lags_none_sinusoidal_no,0.028,0.447,569.974,574.076,True,True,True,1.521,-1.001,0,2.349,2.349,0.412,736.5966870367677,,,,,,,,
Croplands_cluster_2_yearly_True_window_1_lags_1_sinusoidal_no_piecewise,True,1,piecewise_lags_1_sinusoidal_no,0.041,0.371,551.998,557.327,True,True,True,1.565,-0.197,0,2.369,2.895,0.328,754.8891591822222,1.526,0.7,,,,,,
Croplands_cluster_2_yearly_True_window_1_lags_5_sinusoidal_no_piecewise,True,1,piecewise_lags_5_sinusoidal_no,0.065,0.985,477.009,481.722,True,True,True,1.666,-0.489,0,1.114,1.234,0.285,875.3452,,,1.12,0.775,,,,
Croplands_cluster_2_yearly_True_window_1_lags_none_sinusoidal_yes_piecewise,True,1,piecewise_lags_none_sinusoidal_yes,0.028,0.466,573.961,580.798,True,True,True,1.518,-1.241,0,2.35,2.351,0.432,736.5966870367677,,,,,1.001,1.0,0.98,0.919
