analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_2_yearly_False_window_1_lags_none_sinusoidal_no_quadratic,False,1,quadratic_lags_none_sinusoidal_no,0.013,0.366,1398.553,1405.255,False,True,False,2.601,-0.113,0,2.015,2.015,0.953,,,,,,,,
Croplands_cluster_2_yearly_False_window_1_lags_1_sinusoidal_no_quadratic,False,1,quadratic_lags_1_sinusoidal_no,0.026,0.88,1380.378,1389.256,False,True,False,2.593,-0.089,0,2.048,2.05,0.908,1.002,0.362,,,,,,
Croplands_cluster_2_yearly_False_window_1_lags_5_sinusoidal_no_quadratic,False,1,quadratic_lags_5_sinusoidal_no,0.052,0.087,1298.783,1307.419,False,True,False,2.521,-0.071,0,2.175,2.176,0.968,,,1.001,0.126,,,,
Croplands_cluster_2_yearly_False_window_1_lags_none_sinusoidal_yes_quadratic,False,1,quadratic_lags_none_sinusoidal_yes,0.019,0.402,1402.104,1413.274,False,True,False,2.631,-0.241,0,2.016,2.018,0.962,,,,,1.001,1.0,0.532,0.879
Croplands_cluster_2_yearly_False_window_1_lags_1_sinusoidal_yes_quadratic,False,1,quadratic_lags_1_sinusoidal_yes,0.032,0.916,1383.939,1397.256,False,True,False,2.622,-0.207,0,2.049,2.052,0.921,1.002,0.355,,,1.001,1.0,0.536,0.901
Croplands_cluster_2_yearly_False_window_1_lags_5_sinusoidal_yes_quadratic,False,1,quadratic_lags_5_sinusoidal_yes,0.061,0.093,1302.182,1315.135,False,True,False,2.551,-0.131,0,2.183,2.19,0.929,,,1.001,0.132,1.005,1.001,0.466,0.932
Croplands_cluster_2_yearly_True_window_1_lags_none_sinusoidal_no_quadratic,True,1,quadratic_lags_none_sinusoidal_no,0.006,0.939,570.604,574.706,False,True,True,1.533,-1.106,0,1.897,1.897,0.728,,,,,,,,
Croplands_cluster_2_yearly_True_window_1_lags_1_sinusoidal_no_quadratic,True,1,quadratic_lags_1_sinusoidal_no,0.016,0.85,552.744,558.073,False,True,True,1.576,-0.318,0,1.954,1.954,0.565,1.0,0.808,,,,,,
Croplands_cluster_2_yearly_True_window_1_lags_5_sinusoidal_no_quadratic,True,1,quadratic_lags_5_sinusoidal_no,0.032,0.642,477.832,482.544,True,True,True,1.738,-0.023,0,2.236,2.34,0.49,,,1.104,0.598,,,,
Croplands_cluster_2_yearly_True_window_1_lags_none_sinusoidal_yes_quadratic,True,1,quadratic_lags_none_sinusoidal_yes,0.006,0.941,574.597,581.434,False,True,True,1.531,-1.346,0,1.952,2.014,0.748,,,,,1.009,1.052,0.948,0.978
Croplands_cluster_2_yearly_True_window_1_lags_1_sinusoidal_yes_quadratic,True,1,quadratic_lags_1_sinusoidal_yes,0.022,0.8,556.569,564.562,False,True,True,1.574,-0.555,0,2.048,2.146,0.52,1.0,0.779,,,1.009,1.089,0.947,0.717
Croplands_cluster_2_yearly_True_window_1_lags_5_sinusoidal_yes_quadratic,True,1,quadratic_lags_5_sinusoidal_yes,0.042,0.642,481.586,488.655,True,True,True,1.759,-1.297,0,2.499,2.838,0.443,,,1.126,0.577,1.028,1.185,0.791,0.728
Croplands_cluster_2_yearly_False_window_2_lags_none_sinusoidal_no_quadratic,False,2,quadratic_lags_none_sinusoidal_no,0.002,0.744,1311.753,1318.455,True,True,False,1.32,-0.083,0,1.615,1.615,0.933,,,,,,,,
Croplands_cluster_2_yearly_False_window_2_lags_1_sinusoidal_no_quadratic,False,2,quadratic_lags_1_sinusoidal_no,0.002,0.732,1298.972,1307.85,True,True,False,1.295,-0.105,0,1.653,1.691,0.98,1.038,0.911,,,,,,
Croplands_cluster_2_yearly_False_window_2_lags_5_sinusoidal_no_quadratic,False,2,quadratic_lags_5_sinusoidal_no,0.018,0.673,1224.268,1232.903,True,True,False,1.234,-0.088,0,1.693,1.694,0.931,,,1.001,0.325,,,,
Croplands_cluster_2_yearly_False_window_2_lags_none_sinusoidal_yes_quadratic,False,2,quadratic_lags_none_sinusoidal_yes,0.013,0.71,1315.001,1326.171,True,True,False,1.38,-0.11,0,1.635,1.669,0.964,,,,,1.032,1.001,0.425,0.814
Croplands_cluster_2_yearly_False_window_2_lags_1_sinusoidal_yes_quadratic,False,2,quadratic_lags_1_sinusoidal_yes,0.013,0.697,1302.201,1315.518,True,True,False,1.357,-0.211,0,1.673,1.743,0.921,1.039,0.879,,,1.031,1.001,0.438,0.757
Croplands_cluster_2_yearly_False_window_2_lags_5_sinusoidal_yes_quadratic,False,2,quadratic_lags_5_sinusoidal_yes,0.031,0.657,1227.408,1240.362,True,True,False,1.302,-0.204,0,1.726,1.774,0.919,,,1.001,0.321,1.048,1.0,0.393,0.835
Croplands_cluster_2_yearly_True_window_2_lags_none_sinusoidal_no_quadratic,True,2,quadratic_lags_none_sinusoidal_no,0.014,0.707,556.005,560.107,False,True,False,0.527,-1.298,0,1.724,1.724,0.572,,,,,,,,
Croplands_cluster_2_yearly_True_window_2_lags_1_sinusoidal_no_quadratic,True,2,quadratic_lags_1_sinusoidal_no,0.014,0.995,538.063,543.392,True,True,False,0.546,-0.417,0,1.803,1.845,0.79,1.041,0.619,,,,,,
Croplands_cluster_2_yearly_True_window_2_lags_5_sinusoidal_no_quadratic,True,2,quadratic_lags_5_sinusoidal_no,0.169,0.075,461.489,466.201,True,True,False,0.891,0.11,0,1.943,1.973,0.872,,,1.03,0.062,,,,
Croplands_cluster_2_yearly_True_window_2_lags_none_sinusoidal_yes_quadratic,True,2,quadratic_lags_none_sinusoidal_yes,0.025,0.702,559.665,566.501,False,True,False,0.531,-1.659,0,1.804,1.914,0.606,,,,,1.091,1.019,0.854,0.628
