analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_2_yearly_False_window_1_lags_none_sinusoidal_no_spline,False,1,spline_lags_none_sinusoidal_no,0.018,0.319,1402.175,1413.346,False,True,False,2.603,-0.136,0,1.0,1.0,1.0,1.0,0.863,0.67,0.704,"[np.float64(649.9219992), np.float64(730.0052), np.float64(779.0854), np.float64(832.3316), np.float64(893.268)]",,,,,,,,
Croplands_cluster_2_yearly_False_window_1_lags_1_sinusoidal_no_spline,False,1,spline_lags_1_sinusoidal_no,0.049,0.801,1382.761,1396.078,False,True,False,2.522,-0.312,0,1.0,1.011,1.042,1.0,0.97,0.68,0.253,"[np.float64(649.9219992), np.float64(723.0), np.float64(767.841), np.float64(835.0117), np.float64(893.268)]",1.053,0.356,,,,,,
Croplands_cluster_2_yearly_False_window_1_lags_5_sinusoidal_no_spline,False,1,spline_lags_5_sinusoidal_no,0.056,0.087,1302.515,1315.469,False,True,False,2.507,-0.281,0,1.0,1.003,1.166,1.002,0.663,0.815,0.956,"[np.float64(649.9219992), np.float64(728.5662), np.float64(794.8204), np.float64(843.052), np.float64(893.268)]",,,1.171,0.126,,,,
Croplands_cluster_2_yearly_False_window_1_lags_none_sinusoidal_yes_spline,False,1,spline_lags_none_sinusoidal_yes,0.024,0.352,1405.77,1421.409,False,True,False,2.631,-0.289,0,1.0,1.006,1.037,1.008,0.86,0.682,0.739,"[np.float64(649.9219992), np.float64(730.0052), np.float64(779.0854), np.float64(832.3316), np.float64(893.268)]",,,,,1.01,1.042,0.584,0.811
Croplands_cluster_2_yearly_False_window_1_lags_1_sinusoidal_yes_spline,False,1,spline_lags_1_sinusoidal_yes,0.059,0.85,1385.999,1403.755,False,True,False,2.555,-0.484,0,1.0,1.017,1.094,1.028,0.959,0.699,0.212,"[np.float64(649.9219992), np.float64(723.0), np.float64(767.841), np.float64(835.0117), np.float64(893.268)]",1.056,0.341,,,1.028,1.054,0.442,0.784
Croplands_cluster_2_yearly_False_window_1_lags_5_sinusoidal_yes_spline,False,1,spline_lags_5_sinusoidal_yes,0.065,0.103,1305.915,1323.186,False,True,False,2.54,-0.294,0,1.0,1.045,1.183,1.102,0.692,0.881,0.797,"[np.float64(649.9219992), np.float64(728.5662), np.float64(794.8204), np.float64(843.052), np.float64(893.268)]",,,1.172,0.136,1.095,1.062,0.471,0.97
Croplands_cluster_2_yearly_True_window_1_lags_none_sinusoidal_no_spline,True,1,spline_lags_none_sinusoidal_no,0.18,0.989,569.034,575.871,True,True,True,1.592,-3.44,0,1.0,1.0,1.0,1.0,0.65,0.364,0.056,"[np.float64(683.515), np.float64(738.9062), np.float64(767.74), np.float64(797.680967), np.float64(888.619)]",,,,,,,,
Croplands_cluster_2_yearly_True_window_1_lags_1_sinusoidal_no_spline,True,1,spline_lags_1_sinusoidal_no,0.093,0.809,554.447,562.44,True,True,True,1.685,-2.933,0,1.0,1.168,1.002,1.006,0.59,0.379,0.329,"[np.float64(683.515), np.float64(756.77424), np.float64(770.665105), np.float64(821.18608), np.float64(888.619)]",1.176,0.71,,,,,,
Croplands_cluster_2_yearly_True_window_1_lags_5_sinusoidal_no_spline,True,1,spline_lags_5_sinusoidal_no,0.091,0.506,480.319,487.387,True,True,True,1.906,-2.162,0,1.0,1.002,1.321,1.009,0.517,0.278,0.819,"[np.float64(683.515), np.float64(740.3372), np.float64(778.993022), np.float64(820.927936), np.float64(888.619)]",,,1.332,0.388,,,,
Croplands_cluster_2_yearly_True_window_1_lags_none_sinusoidal_yes_spline,True,1,spline_lags_none_sinusoidal_yes,0.184,0.962,572.872,582.444,True,True,True,1.599,-1.638,0,1.0,1.084,1.063,1.007,0.662,0.355,0.064,"[np.float64(683.515), np.float64(738.9062), np.float64(767.74), np.float64(797.680967), np.float64(888.619)]",,,,,1.067,1.087,0.76,0.87
Croplands_cluster_2_yearly_True_window_1_lags_1_sinusoidal_yes_spline,True,1,spline_lags_1_sinusoidal_yes,0.098,0.778,558.305,568.962,True,True,True,1.701,-4.958,0,1.0,1.355,1.06,1.121,0.607,0.373,0.394,"[np.float64(683.515), np.float64(756.77424), np.float64(770.665105), np.float64(821.18608), np.float64(888.619)]",1.212,0.692,,,1.073,1.251,0.795,0.865
