analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_yearly_False_window_1_lags_none_sinusoidal_no_linear,False,1,linear_lags_none_sinusoidal_no,0.025,0.035,3537.185,3543.526,False,False,True,2.44,0.003,0,1.0,,,,,,,,,,,,,,
Croplands_yearly_False_window_1_lags_1_sinusoidal_no_linear,False,1,linear_lags_1_sinusoidal_no,0.029,0.246,3519.376,3528.87,False,False,True,2.427,0.01,0,1.0,1.0,0.399,,,,,,,,,,,,
Croplands_yearly_False_window_1_lags_2_sinusoidal_no_linear,False,1,linear_lags_2_sinusoidal_no,0.032,0.022,3498.636,3508.113,False,False,True,2.407,0.005,0,1.0,,,1.0,0.299,,,,,,,,,,
Croplands_yearly_False_window_1_lags_3_sinusoidal_no_linear,False,1,linear_lags_3_sinusoidal_no,0.027,0.196,3479.215,3488.675,False,False,True,2.417,-0.046,0,1.0,,,,,1.0,0.733,,,,,,,,
Croplands_yearly_False_window_1_lags_4_sinusoidal_no_linear,False,1,linear_lags_4_sinusoidal_no,0.034,0.017,3458.593,3468.036,False,False,True,2.417,-0.023,0,1.0,,,,,,,1.0,0.236,,,,,,
Croplands_yearly_False_window_1_lags_5_sinusoidal_no_linear,False,1,linear_lags_5_sinusoidal_no,0.025,0.075,3440.167,3449.592,False,False,True,2.422,0.002,0,1.0,,,,,,,,,1.0,0.751,,,,
Croplands_yearly_False_window_1_lags_none_sinusoidal_yes_linear,False,1,linear_lags_none_sinusoidal_yes,0.026,0.038,3541.095,3553.777,False,False,True,2.443,-0.028,0,1.0,,,,,,,,,,,1.0,1.0,0.795,0.887
Croplands_yearly_False_window_1_lags_1_sinusoidal_yes_linear,False,1,linear_lags_1_sinusoidal_yes,0.03,0.262,3523.267,3539.091,False,True,True,2.43,-0.011,0,1.0,1.0,0.394,,,,,,,,,1.0,1.0,0.759,0.916
Croplands_yearly_False_window_1_lags_2_sinusoidal_yes_linear,False,1,linear_lags_2_sinusoidal_yes,0.033,0.024,3502.469,3518.264,False,True,True,2.412,-0.022,0,1.0,,,1.0,0.302,,,,,,,1.0,1.0,0.828,0.736
Croplands_yearly_False_window_1_lags_3_sinusoidal_yes_linear,False,1,linear_lags_3_sinusoidal_yes,0.027,0.208,3483.15,3498.917,False,False,True,2.419,-0.056,0,1.0,,,,,1.0,0.732,,,,,1.0,1.0,0.848,0.873
