analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_yearly_False_window_1_lags_none_sinusoidal_no_piecewise,False,1,piecewise_lags_none_sinusoidal_no,0.105,0.0,3524.162,3533.674,False,False,True,2.433,0.092,0,1.762,1.762,0.0,863.162890909091,,,,,,,,,,,,,,
Croplands_yearly_False_window_1_lags_1_sinusoidal_no_piecewise,False,1,piecewise_lags_1_sinusoidal_no,0.107,0.0,3506.742,3519.401,False,False,True,2.424,0.081,0,1.919,2.114,0.0,863.2574945454545,1.195,0.593,,,,,,,,,,,,
Croplands_yearly_False_window_1_lags_2_sinusoidal_no_piecewise,False,1,piecewise_lags_2_sinusoidal_no,0.116,0.0,3484.784,3497.42,False,False,True,2.407,0.098,0,2.002,2.294,0.0,863.3520981818182,,,1.292,0.306,,,,,,,,,,
Croplands_yearly_False_window_1_lags_3_sinusoidal_no_piecewise,False,1,piecewise_lags_3_sinusoidal_no,0.111,0.0,3465.445,3478.058,False,False,True,2.399,0.052,0,2.129,2.573,0.0,863.4467018181817,,,,,1.444,0.482,,,,,,,,
Croplands_yearly_False_window_1_lags_4_sinusoidal_no_piecewise,False,1,piecewise_lags_4_sinusoidal_no,0.12,0.0,3444.628,3457.218,False,False,True,2.402,0.053,0,1.998,2.264,0.0,863.5413054545454,,,,,,,1.266,0.188,,,,,,
Croplands_yearly_False_window_1_lags_5_sinusoidal_no_piecewise,False,1,piecewise_lags_5_sinusoidal_no,0.11,0.0,3426.6,3439.166,False,False,True,2.412,0.078,0,2.002,2.293,0.0,863.6359090909091,,,,,,,,,1.291,0.783,,,,
Croplands_yearly_False_window_1_lags_none_sinusoidal_yes_piecewise,False,1,piecewise_lags_none_sinusoidal_yes,0.106,0.0,3527.966,3543.818,False,False,True,2.438,0.063,0,1.762,1.762,0.0,863.162890909091,,,,,,,,,,,1.0,1.0,0.858,0.689
Croplands_yearly_False_window_1_lags_1_sinusoidal_yes_piecewise,False,1,piecewise_lags_1_sinusoidal_yes,0.108,0.0,3510.547,3529.536,False,True,True,2.429,0.065,0,1.919,2.116,0.0,863.2574945454545,1.196,0.618,,,,,,,,,1.0,1.0,0.883,0.682
Croplands_yearly_False_window_1_lags_2_sinusoidal_yes_piecewise,False,1,piecewise_lags_2_sinusoidal_yes,0.119,0.0,3488.256,3507.21,False,True,True,2.416,0.079,0,2.003,2.297,0.0,863.3520981818182,,,1.292,0.288,,,,,,,1.001,1.0,0.812,0.499
Croplands_yearly_False_window_1_lags_3_sinusoidal_yes_piecewise,False,1,piecewise_lags_3_sinusoidal_yes,0.113,0.0,3469.162,3488.082,False,False,True,2.407,0.048,0,2.129,2.574,0.0,863.4467018181817,,,,,1.444,0.516,,,,,1.0,1.0,0.827,0.633
