analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_yearly_False_window_1_lags_none_sinusoidal_no_quadratic,False,1,quadratic_lags_none_sinusoidal_no,0.099,0.009,3525.308,3534.819,False,False,True,2.447,0.092,0,1.489,1.489,0.0,,,,,,,,,,,,,,
Croplands_yearly_False_window_1_lags_1_sinusoidal_no_quadratic,False,1,quadratic_lags_1_sinusoidal_no,0.101,0.069,3508.065,3520.724,False,False,True,2.437,0.078,0,1.504,1.526,0.0,1.022,0.689,,,,,,,,,,,,
Croplands_yearly_False_window_1_lags_2_sinusoidal_no_quadratic,False,1,quadratic_lags_2_sinusoidal_no,0.111,0.005,3485.786,3498.422,False,True,True,2.417,0.092,0,1.5,1.506,0.0,,,1.006,0.222,,,,,,,,,,
Croplands_yearly_False_window_1_lags_3_sinusoidal_no_quadratic,False,1,quadratic_lags_3_sinusoidal_no,0.105,0.158,3466.75,3479.363,False,False,True,2.41,0.06,0,1.5,1.501,0.0,,,,,1.0,0.456,,,,,,,,
Croplands_yearly_False_window_1_lags_4_sinusoidal_no_quadratic,False,1,quadratic_lags_4_sinusoidal_no,0.111,0.005,3446.243,3458.833,False,False,True,2.416,0.038,0,1.505,1.508,0.0,,,,,,,1.003,0.213,,,,,,
Croplands_yearly_False_window_1_lags_5_sinusoidal_no_quadratic,False,1,quadratic_lags_5_sinusoidal_no,0.102,0.031,3428.123,3440.689,False,True,True,2.424,0.07,0,1.506,1.506,0.0,,,,,,,,,1.001,0.816,,,,
Croplands_yearly_False_window_1_lags_none_sinusoidal_yes_quadratic,False,1,quadratic_lags_none_sinusoidal_yes,0.1,0.009,3529.187,3545.039,False,True,True,2.451,0.062,0,1.492,1.499,0.0,,,,,,,,,,,1.004,1.003,0.95,0.736
Croplands_yearly_False_window_1_lags_1_sinusoidal_yes_quadratic,False,1,quadratic_lags_1_sinusoidal_yes,0.101,0.071,3511.934,3530.923,False,True,True,2.441,0.06,0,1.508,1.538,0.0,1.022,0.699,,,,,,,,,1.004,1.004,0.932,0.732
Croplands_yearly_False_window_1_lags_2_sinusoidal_yes_quadratic,False,1,quadratic_lags_2_sinusoidal_yes,0.113,0.005,3489.407,3508.361,False,True,True,2.426,0.072,0,1.504,1.519,0.0,,,1.006,0.215,,,,,,,1.004,1.005,0.997,0.546
Croplands_yearly_False_window_1_lags_3_sinusoidal_yes_quadratic,False,1,quadratic_lags_3_sinusoidal_yes,0.106,0.156,3470.597,3489.516,False,False,True,2.416,0.055,0,1.504,1.513,0.0,,,,,1.0,0.474,,,,,1.003,1.005,0.972,0.702
