analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_yearly_False_window_1_lags_none_sinusoidal_no_spline,False,1,spline_lags_none_sinusoidal_no,0.1,0.791,3529.211,3545.064,False,True,True,2.439,0.085,0,1.0,1.0,1.0,1.0,0.0,0.534,0.864,"[np.float64(229.8), np.float64(617.24375), np.float64(757.8168), np.float64(923.625), np.float64(1604.483978)]",,,,,,,,,,,,,,
Croplands_yearly_False_window_1_lags_1_sinusoidal_no_spline,False,1,spline_lags_1_sinusoidal_no,0.106,0.666,3510.993,3529.982,False,True,True,2.412,0.068,0,1.0,1.211,1.104,1.0,0.0,0.517,0.329,"[np.float64(229.8), np.float64(616.5585), np.float64(756.87072), np.float64(924.6), np.float64(1604.483978)]",1.315,0.69,,,,,,,,,,,,
Croplands_yearly_False_window_1_lags_2_sinusoidal_no_spline,False,1,spline_lags_2_sinusoidal_no,0.113,0.777,3489.442,3508.397,False,True,True,2.407,0.0,0,1.0,1.159,1.18,1.003,0.0,0.531,0.599,"[np.float64(229.8), np.float64(615.87325), np.float64(755.77656), np.float64(925.50337), np.float64(1604.483978)]",,,1.342,0.236,,,,,,,,,,
Croplands_yearly_False_window_1_lags_3_sinusoidal_no_spline,False,1,spline_lags_3_sinusoidal_no,0.108,0.466,3470.139,3489.059,False,True,True,2.399,0.055,0,1.0,1.115,1.19,1.002,0.0,0.478,0.481,"[np.float64(229.8), np.float64(615.188), np.float64(754.38624), np.float64(926.26348), np.float64(1604.483978)]",,,,,1.307,0.425,,,,,,,,
Croplands_yearly_False_window_1_lags_4_sinusoidal_no_spline,False,1,spline_lags_4_sinusoidal_no,0.112,0.756,3450.138,3469.023,False,True,True,2.412,-0.202,0,1.0,1.143,1.163,1.0,0.0,0.537,0.807,"[np.float64(229.8), np.float64(615.061), np.float64(753.0925), np.float64(927.02359), np.float64(1604.483978)]",,,,,,,1.306,0.215,,,,,,
Croplands_yearly_False_window_1_lags_5_sinusoidal_no_spline,False,1,spline_lags_5_sinusoidal_no,0.11,0.59,3430.626,3449.476,False,True,True,2.406,0.022,0,1.0,1.099,1.222,1.0,0.0,0.134,0.235,"[np.float64(229.8), np.float64(614.934), np.float64(719.684), np.float64(843.052), np.float64(1604.483978)]",,,,,,,,,1.32,0.807,,,,
Croplands_yearly_False_window_1_lags_none_sinusoidal_yes_spline,False,1,spline_lags_none_sinusoidal_yes,0.101,0.772,3533.066,3555.259,False,True,True,2.444,0.056,0,1.0,1.011,1.017,1.002,0.0,0.51,0.868,"[np.float64(229.8), np.float64(617.24375), np.float64(757.8168), np.float64(923.625), np.float64(1604.483978)]",,,,,,,,,,,1.014,1.016,0.965,0.712
Croplands_yearly_False_window_1_lags_1_sinusoidal_yes_spline,False,1,spline_lags_1_sinusoidal_yes,0.106,0.657,3514.907,3540.225,False,True,True,2.416,0.051,0,1.0,1.232,1.129,1.012,0.0,0.501,0.35,"[np.float64(229.8), np.float64(616.5585), np.float64(756.87072), np.float64(924.6), np.float64(1604.483978)]",1.325,0.697,,,,,,,,,1.014,1.033,0.952,0.78
Croplands_yearly_False_window_1_lags_2_sinusoidal_yes_spline,False,1,spline_lags_2_sinusoidal_yes,0.115,0.798,3493.004,3518.277,False,True,True,2.415,-0.045,0,1.0,1.181,1.208,1.007,0.0,0.483,0.592,"[np.float64(229.8), np.float64(615.87325), np.float64(755.77656), np.float64(925.50337), np.float64(1604.483978)]",,,1.355,0.229,,,,,,,1.017,1.025,0.976,0.519
Croplands_yearly_False_window_1_lags_3_sinusoidal_yes_spline,False,1,spline_lags_3_sinusoidal_yes,0.109,0.465,3473.892,3499.118,False,True,True,2.406,0.052,0,1.0,1.137,1.222,1.013,0.0,0.447,0.458,"[np.float64(229.8), np.float64(615.188), np.float64(754.38624), np.float64(926.26348), np.float64(1604.483978)]",,,,,1.319,0.444,,,,,1.018,1.036,0.989,0.627
