analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
KBS_yearly_False_window_1_lags_none_sinusoidal_no_linear,False,1,linear_lags_none_sinusoidal_no,0.01,0.592,628.66,631.592,False,True,False,2.802,-0.41,0,1.0,,,,
KBS_yearly_False_window_1_lags_none_sinusoidal_yes_linear,False,1,linear_lags_none_sinusoidal_yes,0.049,0.539,631.37,637.233,True,True,False,2.762,-0.664,0,1.0,1.0,1.0,0.36,0.604
KBS_yearly_True_window_1_lags_none_sinusoidal_no_linear,True,1,linear_lags_none_sinusoidal_no,0.01,0.592,628.66,631.592,False,True,False,2.802,-0.41,0,1.0,,,,
KBS_yearly_True_window_1_lags_none_sinusoidal_yes_linear,True,1,linear_lags_none_sinusoidal_yes,0.049,0.539,631.37,637.233,True,True,False,2.762,-0.664,0,1.0,1.0,1.0,0.36,0.604
KBS_yearly_False_window_2_lags_none_sinusoidal_no_linear,False,2,linear_lags_none_sinusoidal_no,0.06,0.176,589.69,592.621,True,True,True,2.027,-0.014,0,1.0,,,,
KBS_yearly_False_window_2_lags_none_sinusoidal_yes_linear,False,2,linear_lags_none_sinusoidal_yes,0.065,0.185,593.527,599.389,True,True,True,2.022,-0.221,0,1.0,1.0,1.0,0.86,0.741
KBS_yearly_True_window_2_lags_none_sinusoidal_no_linear,True,2,linear_lags_none_sinusoidal_no,0.06,0.176,589.69,592.621,True,True,True,2.027,-0.014,0,1.0,,,,
KBS_yearly_True_window_2_lags_none_sinusoidal_yes_linear,True,2,linear_lags_none_sinusoidal_yes,0.065,0.185,593.527,599.389,True,True,True,2.022,-0.221,0,1.0,1.0,1.0,0.86,0.741
KBS_yearly_False_window_3_lags_none_sinusoidal_no_linear,False,3,linear_lags_none_sinusoidal_no,0.204,0.009,558.204,561.135,True,False,False,0.689,0.096,0,1.0,,,,
KBS_yearly_False_window_3_lags_none_sinusoidal_yes_linear,False,3,linear_lags_none_sinusoidal_yes,0.231,0.01,561.101,566.964,True,True,False,0.568,-0.053,0,1.0,1.0,1.0,0.471,0.51
KBS_yearly_True_window_3_lags_none_sinusoidal_no_linear,True,3,linear_lags_none_sinusoidal_no,0.204,0.009,558.204,561.135,True,False,False,0.689,0.096,0,1.0,,,,
KBS_yearly_True_window_3_lags_none_sinusoidal_yes_linear,True,3,linear_lags_none_sinusoidal_yes,0.231,0.01,561.101,566.964,True,True,False,0.568,-0.053,0,1.0,1.0,1.0,0.471,0.51
KBS_yearly_False_window_4_lags_none_sinusoidal_no_linear,False,4,linear_lags_none_sinusoidal_no,0.176,0.017,563.958,566.89,True,False,False,1.347,-0.075,0,1.0,,,,
KBS_yearly_False_window_4_lags_none_sinusoidal_yes_linear,False,4,linear_lags_none_sinusoidal_yes,0.188,0.019,567.482,573.345,True,True,False,1.326,-0.105,0,1.0,1.0,1.0,0.708,0.603
