analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
KBS_yearly_False_window_1_lags_none_sinusoidal_no_piecewise,False,1,piecewise_lags_none_sinusoidal_no,0.062,0.271,628.935,633.332,False,True,False,2.688,-0.301,0,4.089,4.089,0.215,795.4187393939394,,,,
KBS_yearly_False_window_1_lags_none_sinusoidal_yes_piecewise,False,1,piecewise_lags_none_sinusoidal_yes,0.144,0.131,629.989,637.317,True,True,False,2.512,-0.402,0,4.481,4.608,0.094,795.4187393939394,1.0,1.126,0.189,0.351
KBS_yearly_True_window_1_lags_none_sinusoidal_no_piecewise,True,1,piecewise_lags_none_sinusoidal_no,0.062,0.271,628.935,633.332,False,True,False,2.688,-0.301,0,4.089,4.089,0.215,795.4187393939394,,,,
KBS_yearly_True_window_1_lags_none_sinusoidal_yes_piecewise,True,1,piecewise_lags_none_sinusoidal_yes,0.144,0.131,629.989,637.317,True,True,False,2.512,-0.402,0,4.481,4.608,0.094,795.4187393939394,1.0,1.126,0.189,0.351
KBS_yearly_False_window_2_lags_none_sinusoidal_no_piecewise,False,2,piecewise_lags_none_sinusoidal_no,0.076,0.134,591.146,595.543,False,True,True,2.114,-0.11,0,1.197,1.197,0.487,1049.375003939394,,,,
KBS_yearly_False_window_2_lags_none_sinusoidal_yes_piecewise,False,2,piecewise_lags_none_sinusoidal_yes,0.082,0.142,594.947,602.276,False,True,True,2.11,-0.418,0,1.204,1.237,0.489,1049.375003939394,1.022,1.011,0.751,0.805
KBS_yearly_True_window_2_lags_none_sinusoidal_no_piecewise,True,2,piecewise_lags_none_sinusoidal_no,0.076,0.134,591.146,595.543,False,True,True,2.114,-0.11,0,1.197,1.197,0.487,1049.375003939394,,,,
KBS_yearly_True_window_2_lags_none_sinusoidal_yes_piecewise,True,2,piecewise_lags_none_sinusoidal_yes,0.082,0.142,594.947,602.276,False,True,True,2.11,-0.418,0,1.204,1.237,0.489,1049.375003939394,1.022,1.011,0.751,0.805
KBS_yearly_False_window_3_lags_none_sinusoidal_no_piecewise,False,3,piecewise_lags_none_sinusoidal_no,0.352,0.0,553.617,558.014,True,False,False,0.613,0.21,0,1.391,1.391,0.015,1005.0337511111111,,,,
KBS_yearly_False_window_3_lags_none_sinusoidal_yes_piecewise,False,3,piecewise_lags_none_sinusoidal_yes,0.353,0.001,557.601,564.93,True,False,False,0.61,0.145,0,1.441,1.57,0.033,1005.0337511111111,1.058,1.071,0.987,0.909
