analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
KBS_yearly_False_window_1_lags_none_sinusoidal_no_quadratic,False,1,quadratic_lags_none_sinusoidal_no,0.012,0.571,630.601,634.998,False,True,False,2.795,-0.481,0,1.763,1.763,0.819,,,,
KBS_yearly_False_window_1_lags_none_sinusoidal_yes_quadratic,False,1,quadratic_lags_none_sinusoidal_yes,0.073,0.399,632.544,639.873,True,True,False,2.683,-0.579,0,1.915,2.115,0.408,1.179,1.021,0.245,0.466
KBS_yearly_True_window_1_lags_none_sinusoidal_no_quadratic,True,1,quadratic_lags_none_sinusoidal_no,0.012,0.571,630.601,634.998,False,True,False,2.795,-0.481,0,1.763,1.763,0.819,,,,
KBS_yearly_True_window_1_lags_none_sinusoidal_yes_quadratic,True,1,quadratic_lags_none_sinusoidal_yes,0.073,0.399,632.544,639.873,True,True,False,2.683,-0.579,0,1.915,2.115,0.408,1.179,1.021,0.245,0.466
KBS_yearly_False_window_2_lags_none_sinusoidal_no_quadratic,False,2,quadratic_lags_none_sinusoidal_no,0.061,0.22,591.671,596.068,True,True,True,2.052,-0.012,0,1.832,1.832,0.897,,,,
KBS_yearly_False_window_2_lags_none_sinusoidal_yes_quadratic,False,2,quadratic_lags_none_sinusoidal_yes,0.066,0.229,595.512,602.841,True,True,True,2.043,-0.222,0,1.834,1.837,0.913,1.001,1.001,0.863,0.749
KBS_yearly_True_window_2_lags_none_sinusoidal_no_quadratic,True,2,quadratic_lags_none_sinusoidal_no,0.061,0.22,591.671,596.068,True,True,True,2.052,-0.012,0,1.832,1.832,0.897,,,,
KBS_yearly_True_window_2_lags_none_sinusoidal_yes_quadratic,True,2,quadratic_lags_none_sinusoidal_yes,0.066,0.229,595.512,602.841,True,True,True,2.043,-0.222,0,1.834,1.837,0.913,1.001,1.001,0.863,0.749
KBS_yearly_False_window_3_lags_none_sinusoidal_no_quadratic,False,3,quadratic_lags_none_sinusoidal_no,0.32,0.033,555.162,559.559,True,False,False,0.668,0.142,0,2.242,2.242,0.034,,,,
KBS_yearly_False_window_3_lags_none_sinusoidal_yes_quadratic,False,3,quadratic_lags_none_sinusoidal_yes,0.324,0.037,559.006,566.334,True,False,False,0.648,0.026,0,2.367,2.467,0.065,1.083,1.017,0.87,0.742
KBS_yearly_True_window_3_lags_none_sinusoidal_no_quadratic,True,3,quadratic_lags_none_sinusoidal_no,0.32,0.033,555.162,559.559,True,False,False,0.668,0.142,0,2.242,2.242,0.034,,,,
KBS_yearly_True_window_3_lags_none_sinusoidal_yes_quadratic,True,3,quadratic_lags_none_sinusoidal_yes,0.324,0.037,559.006,566.334,True,False,False,0.648,0.026,0,2.367,2.467,0.065,1.083,1.017,0.87,0.742
KBS_yearly_False_window_4_lags_none_sinusoidal_no_quadratic,False,4,quadratic_lags_none_sinusoidal_no,0.194,0.074,565.272,569.67,True,True,False,1.428,-0.141,0,2.302,2.302,0.434,,,,
KBS_yearly_False_window_4_lags_none_sinusoidal_yes_quadratic,False,4,quadratic_lags_none_sinusoidal_yes,0.201,0.079,568.967,576.295,True,True,False,1.407,-0.161,0,2.331,2.353,0.513,1.017,1.005,0.82,0.65
KBS_yearly_True_window_4_lags_none_sinusoidal_no_quadratic,True,4,quadratic_lags_none_sinusoidal_no,0.194,0.074,565.272,569.67,True,True,False,1.428,-0.141,0,2.302,2.302,0.434,,,,
KBS_yearly_True_window_4_lags_none_sinusoidal_yes_quadratic,True,4,quadratic_lags_none_sinusoidal_yes,0.201,0.079,568.967,576.295,True,True,False,1.407,-0.161,0,2.331,2.353,0.513,1.017,1.005,0.82,0.65
KBS_yearly_False_window_5_lags_none_sinusoidal_no_quadratic,False,5,quadratic_lags_none_sinusoidal_no,0.231,0.023,555.391,559.788,True,True,False,1.103,-0.063,0,2.264,2.264,0.722,,,,
KBS_yearly_False_window_5_lags_none_sinusoidal_yes_quadratic,False,5,quadratic_lags_none_sinusoidal_yes,0.238,0.026,559.097,566.426,True,True,False,1.079,-0.252,0,2.305,2.336,0.815,1.029,1.003,0.7,0.753
KBS_yearly_True_window_5_lags_none_sinusoidal_no_quadratic,True,5,quadratic_lags_none_sinusoidal_no,0.231,0.023,555.391,559.788,True,True,False,1.103,-0.063,0,2.264,2.264,0.722,,,,
KBS_yearly_True_window_5_lags_none_sinusoidal_yes_quadratic,True,5,quadratic_lags_none_sinusoidal_yes,0.238,0.026,559.097,566.426,True,True,False,1.079,-0.252,0,2.305,2.336,0.815,1.029,1.003,0.7,0.753
KBS_yearly_False_window_6_lags_none_sinusoidal_no_quadratic,False,6,quadratic_lags_none_sinusoidal_no,0.314,0.006,541.72,546.118,True,False,False,0.359,0.127,0,2.341,2.341,0.517,,,,
KBS_yearly_False_window_6_lags_none_sinusoidal_yes_quadratic,False,6,quadratic_lags_none_sinusoidal_yes,0.321,0.008,545.387,552.716,True,False,False,0.318,-0.065,0,2.372,2.396,0.603,1.014,1.01,0.827,0.629
KBS_yearly_True_window_6_lags_none_sinusoidal_no_quadratic,True,6,quadratic_lags_none_sinusoidal_no,0.314,0.006,541.72,546.118,True,False,False,0.359,0.127,0,2.341,2.341,0.517,,,,
KBS_yearly_True_window_6_lags_none_sinusoidal_yes_quadratic,True,6,quadratic_lags_none_sinusoidal_yes,0.321,0.008,545.387,552.716,True,False,False,0.318,-0.065,0,2.372,2.396,0.603,1.014,1.01,0.827,0.629
