analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
KBS_yearly_False_window_1_lags_none_sinusoidal_no_spline,False,1,spline_lags_none_sinusoidal_no,0.128,0.694,630.573,637.902,True,True,False,2.578,-0.35,0,1.0,1.0,1.0,1.0,0.431,0.121,0.42,"[np.float64(636.2406), np.float64(829.5237), np.float64(925.0875), np.float64(1043.288), np.float64(1172.54)]",,,,
KBS_yearly_False_window_1_lags_none_sinusoidal_yes_spline,False,1,spline_lags_none_sinusoidal_yes,0.163,0.775,633.259,643.519,True,True,False,2.523,-0.508,0,1.0,1.261,1.147,1.174,0.822,0.095,0.655,"[np.float64(636.2406), np.float64(829.5237), np.float64(925.0875), np.float64(1043.288), np.float64(1172.54)]",1.248,1.335,0.37,0.562
KBS_yearly_True_window_1_lags_none_sinusoidal_no_spline,True,1,spline_lags_none_sinusoidal_no,0.128,0.694,630.573,637.902,True,True,False,2.578,-0.35,0,1.0,1.0,1.0,1.0,0.431,0.121,0.42,"[np.float64(636.2406), np.float64(829.5237), np.float64(925.0875), np.float64(1043.288), np.float64(1172.54)]",,,,
KBS_yearly_True_window_1_lags_none_sinusoidal_yes_spline,True,1,spline_lags_none_sinusoidal_yes,0.163,0.775,633.259,643.519,True,True,False,2.523,-0.508,0,1.0,1.261,1.147,1.174,0.822,0.095,0.655,"[np.float64(636.2406), np.float64(829.5237), np.float64(925.0875), np.float64(1043.288), np.float64(1172.54)]",1.248,1.335,0.37,0.562
KBS_yearly_False_window_2_lags_none_sinusoidal_no_spline,False,2,spline_lags_none_sinusoidal_no,0.082,0.32,594.934,602.262,True,True,True,2.084,-0.046,0,1.0,1.0,1.0,1.0,0.602,0.689,0.657,"[np.float64(734.2861), np.float64(872.37945), np.float64(948.335), np.float64(1020.3995), np.float64(1110.0819999999999)]",,,,
KBS_yearly_False_window_2_lags_none_sinusoidal_yes_spline,False,2,spline_lags_none_sinusoidal_yes,0.084,0.335,598.879,609.139,True,True,True,2.081,-0.281,0,1.0,1.006,1.0,1.08,0.628,0.704,0.721,"[np.float64(734.2861), np.float64(872.37945), np.float64(948.335), np.float64(1020.3995), np.float64(1110.0819999999999)]",1.01,1.076,0.912,0.86
KBS_yearly_True_window_2_lags_none_sinusoidal_no_spline,True,2,spline_lags_none_sinusoidal_no,0.082,0.32,594.934,602.262,True,True,True,2.084,-0.046,0,1.0,1.0,1.0,1.0,0.602,0.689,0.657,"[np.float64(734.2861), np.float64(872.37945), np.float64(948.335), np.float64(1020.3995), np.float64(1110.0819999999999)]",,,,
KBS_yearly_True_window_2_lags_none_sinusoidal_yes_spline,True,2,spline_lags_none_sinusoidal_yes,0.084,0.335,598.879,609.139,True,True,True,2.081,-0.281,0,1.0,1.006,1.0,1.08,0.628,0.704,0.721,"[np.float64(734.2861), np.float64(872.37945), np.float64(948.335), np.float64(1020.3995), np.float64(1110.0819999999999)]",1.01,1.076,0.912,0.86
KBS_yearly_False_window_3_lags_none_sinusoidal_no_spline,False,3,spline_lags_none_sinusoidal_no,0.33,0.005,558.717,566.046,True,True,False,0.602,-0.187,0,1.0,1.0,1.0,1.0,0.071,0.243,0.808,"[np.float64(778.7253999999999), np.float64(870.177667), np.float64(968.091667), np.float64(1012.749167), np.float64(1093.5668666666668)]",,,,
KBS_yearly_False_window_3_lags_none_sinusoidal_yes_spline,False,3,spline_lags_none_sinusoidal_yes,0.331,0.007,562.674,572.934,True,True,False,0.607,-0.383,0,1.0,1.173,1.029,1.171,0.119,0.273,0.867,"[np.float64(778.7253999999999), np.float64(870.177667), np.float64(968.091667), np.float64(1012.749167), np.float64(1093.5668666666668)]",1.24,1.132,0.96,0.856
