analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize-Cluster_0_yearly_False_window_1_lags_none_sinusoidal_no_quadratic,False,1,quadratic_lags_none_sinusoidal_no,0.009,0.911,410.774,413.908,True,True,True,2.044,-0.212,0,1.454,1.454,0.777,,,,,,
Maize-Cluster_0_yearly_False_window_1_lags_1_sinusoidal_no_quadratic,False,1,quadratic_lags_1_sinusoidal_no,0.304,0.14,387.28,391.263,True,True,True,2.099,-7.721,0,1.463,1.799,0.924,1.336,0.019,,,,
Maize-Cluster_0_yearly_False_window_1_lags_none_sinusoidal_yes_quadratic,False,1,quadratic_lags_none_sinusoidal_yes,0.054,0.873,413.802,419.025,True,True,True,1.933,-0.329,0,1.476,1.525,0.646,,,1.048,1.0,0.837,0.415
Maize-Cluster_0_yearly_False_window_1_lags_1_sinusoidal_yes_quadratic,False,1,quadratic_lags_1_sinusoidal_yes,0.419,0.063,387.653,393.627,True,True,True,1.693,-18.255,0,1.474,1.841,0.789,1.344,0.012,1.02,1.003,0.608,0.136
Maize-Cluster_0_yearly_True_window_1_lags_none_sinusoidal_no_quadratic,True,1,quadratic_lags_none_sinusoidal_no,0.279,0.078,357.315,360.148,True,True,True,1.751,-16.343,0,1.62,1.62,0.029,,,,,,
Maize-Cluster_0_yearly_True_window_1_lags_1_sinusoidal_no_quadratic,True,1,quadratic_lags_1_sinusoidal_no,0.392,0.455,338.535,342.096,True,True,True,1.864,0.114,0,1.66,2.058,0.014,1.398,0.193,,,,
Maize-Cluster_0_yearly_True_window_1_lags_none_sinusoidal_yes_quadratic,True,1,quadratic_lags_none_sinusoidal_yes,0.28,0.156,361.293,366.016,True,True,True,1.716,-27.626,0,1.636,1.661,0.063,,,1.012,1.013,0.903,0.984
Maize-Cluster_0_yearly_True_window_1_lags_1_sinusoidal_yes_quadratic,True,1,quadratic_lags_1_sinusoidal_yes,0.392,0.568,342.532,347.874,True,True,True,1.868,-0.284,0,1.706,2.202,0.042,1.426,0.24,1.0,1.07,0.969,0.985
Maize-Cluster_0_yearly_False_window_2_lags_none_sinusoidal_no_quadratic,False,2,quadratic_lags_none_sinusoidal_no,0.045,0.946,394.134,397.268,True,True,False,1.184,-0.207,0,1.523,1.523,0.481,,,,,,
Maize-Cluster_0_yearly_False_window_2_lags_1_sinusoidal_no_quadratic,False,2,quadratic_lags_1_sinusoidal_no,0.358,0.386,370.687,374.67,True,True,True,1.503,-3.412,0,1.424,1.585,0.09,1.161,0.031,,,,
Maize-Cluster_0_yearly_False_window_2_lags_none_sinusoidal_yes_quadratic,False,2,quadratic_lags_none_sinusoidal_yes,0.079,0.757,397.365,402.588,True,True,False,1.285,-2.786,0,1.562,1.639,0.59,,,1.035,1.042,0.647,0.549
Maize-Cluster_0_yearly_False_window_2_lags_1_sinusoidal_yes_quadratic,False,2,quadratic_lags_1_sinusoidal_yes,0.426,0.234,372.432,378.406,True,True,True,1.543,-4.017,0,1.444,1.658,0.208,1.168,0.031,1.044,1.002,0.294,0.464
Maize-Cluster_0_yearly_True_window_2_lags_none_sinusoidal_no_quadratic,True,2,quadratic_lags_none_sinusoidal_no,0.033,0.471,348.492,351.325,True,True,False,1.008,-3.632,0,1.606,1.606,0.691,,,,,,
Maize-Cluster_0_yearly_True_window_2_lags_1_sinusoidal_no_quadratic,True,2,quadratic_lags_1_sinusoidal_no,0.187,0.602,330.352,333.913,True,True,False,1.313,-1.96,0,2.467,2.525,0.107,1.058,0.595,,,,
Maize-Cluster_0_yearly_True_window_2_lags_none_sinusoidal_yes_quadratic,True,2,quadratic_lags_none_sinusoidal_yes,0.082,0.673,351.501,356.223,True,True,False,1.098,-7.26,0,1.682,1.808,0.648,,,1.009,1.117,0.475,0.629
Maize-Cluster_0_yearly_True_window_2_lags_1_sinusoidal_yes_quadratic,True,2,quadratic_lags_1_sinusoidal_yes,0.255,0.9,332.771,338.114,True,True,False,1.401,-2.873,0,2.496,2.575,0.13,1.059,0.515,1.0,1.02,0.387,0.56
Maize-Cluster_0_yearly_False_window_3_lags_none_sinusoidal_no_quadratic,False,3,quadratic_lags_none_sinusoidal_no,0.002,0.862,380.793,383.926,True,True,False,0.996,-3.751,0,1.541,1.541,0.948,,,,,,
Maize-Cluster_0_yearly_False_window_3_lags_1_sinusoidal_no_quadratic,False,3,quadratic_lags_1_sinusoidal_no,0.235,0.22,359.592,363.575,True,True,False,1.343,-1.878,0,1.392,1.428,0.613,1.036,0.063,,,,
Maize-Cluster_0_yearly_False_window_3_lags_none_sinusoidal_yes_quadratic,False,3,quadratic_lags_none_sinusoidal_yes,0.005,0.842,384.724,389.947,True,True,False,1.008,-7.676,0,1.599,1.706,0.979,,,1.038,1.069,0.998,0.823
Maize-Cluster_0_yearly_False_window_3_lags_1_sinusoidal_yes_quadratic,False,3,quadratic_lags_1_sinusoidal_yes,0.245,0.229,363.326,369.3,True,True,False,1.347,-2.68,0,1.446,1.624,0.632,1.041,0.077,1.127,1.01,0.956,0.673
Maize-Cluster_0_yearly_True_window_3_lags_none_sinusoidal_no_quadratic,True,3,quadratic_lags_none_sinusoidal_no,0.033,0.899,341.302,344.135,True,True,False,0.498,-3.607,0,1.393,1.393,0.565,,,,,,
Maize-Cluster_0_yearly_True_window_3_lags_1_sinusoidal_no_quadratic,True,3,quadratic_lags_1_sinusoidal_no,0.088,0.495,324.404,327.965,True,True,False,0.887,-0.195,0,2.026,2.035,0.385,1.009,0.55,,,,
Maize-Cluster_0_yearly_True_window_3_lags_none_sinusoidal_yes_quadratic,True,3,quadratic_lags_none_sinusoidal_yes,0.069,0.797,344.574,349.296,True,True,False,0.595,-9.107,0,1.464,1.645,0.662,,,1.035,1.145,0.508,0.797
Maize-Cluster_0_yearly_True_window_3_lags_1_sinusoidal_yes_quadratic,True,3,quadratic_lags_1_sinusoidal_yes,0.133,0.581,327.487,332.829,True,True,False,1.01,-4.041,0,2.044,2.071,0.433,1.009,0.588,1.0,1.017,0.444,0.98
Maize-Cluster_0_yearly_False_window_4_lags_none_sinusoidal_no_quadratic,False,4,quadratic_lags_none_sinusoidal_no,0.031,0.492,370.304,373.438,False,True,False,0.977,-0.812,0,1.611,1.611,0.628,,,,,,
Maize-Cluster_0_yearly_False_window_4_lags_1_sinusoidal_no_quadratic,False,4,quadratic_lags_1_sinusoidal_no,0.389,0.051,346.193,350.176,True,True,False,1.244,-0.337,0,1.771,1.774,0.15,1.003,0.043,,,,
Maize-Cluster_0_yearly_False_window_4_lags_none_sinusoidal_yes_quadratic,False,4,quadratic_lags_none_sinusoidal_yes,0.058,0.479,373.71,378.933,False,True,False,1.1,-0.975,0,1.729,1.92,0.826,,,1.012,1.18,0.668,0.602
