analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize-Cluster_0_yearly_False_window_1_lags_none_sinusoidal_no_spline,False,1,spline_lags_none_sinusoidal_no,0.054,0.584,413.805,419.028,True,True,True,1.724,-0.383,0,1.0,1.0,1.0,1.0,0.594,0.661,0.54,"[np.float64(409.957), np.float64(543.052), np.float64(600.735), np.float64(635.152), np.float64(691.8)]",,,,,,
Maize-Cluster_0_yearly_False_window_1_lags_1_sinusoidal_no_spline,False,1,spline_lags_1_sinusoidal_no,0.328,0.255,390.592,396.567,True,True,True,2.041,-1273.754,0,1.0,1.0,1.13,1.003,0.832,0.97,0.514,"[np.float64(409.957), np.float64(561.983), np.float64(609.332), np.float64(635.58744), np.float64(691.8)]",1.132,0.037,,,,
Maize-Cluster_0_yearly_False_window_1_lags_none_sinusoidal_yes_spline,False,1,spline_lags_none_sinusoidal_yes,0.087,0.673,417.058,424.369,True,True,True,1.682,-23.352,0,1.0,1.023,1.11,1.025,0.704,0.595,0.604,"[np.float64(409.957), np.float64(543.052), np.float64(600.735), np.float64(635.152), np.float64(691.8)]",,,1.022,1.135,0.883,0.502
Maize-Cluster_0_yearly_False_window_1_lags_1_sinusoidal_yes_spline,False,1,spline_lags_1_sinusoidal_yes,0.428,0.18,391.362,399.328,True,True,True,1.836,-791.973,0,1.0,1.062,1.294,1.181,0.825,0.838,0.753,"[np.float64(409.957), np.float64(561.983), np.float64(609.332), np.float64(635.58744), np.float64(691.8)]",1.156,0.026,1.07,1.311,0.586,0.225
Maize-Cluster_0_yearly_True_window_1_lags_none_sinusoidal_no_spline,True,1,spline_lags_none_sinusoidal_no,0.347,0.896,359.434,364.156,True,True,True,1.985,-49.96,0,1.0,1.0,1.0,1.0,0.149,0.075,0.367,"[np.float64(464.8865), np.float64(534.7108), np.float64(591.0996), np.float64(631.7074), np.float64(683.515)]",,,,,,
Maize-Cluster_0_yearly_True_window_1_lags_1_sinusoidal_no_spline,True,1,spline_lags_1_sinusoidal_no,0.467,0.088,340.179,345.521,True,False,True,2.165,-0.667,0,1.0,1.01,1.042,1.008,0.88,0.01,0.988,"[np.float64(464.8865), np.float64(574.9425), np.float64(611.733), np.float64(635.36972), np.float64(683.515)]",1.06,0.122,,,,
Maize-Cluster_0_yearly_True_window_1_lags_none_sinusoidal_yes_spline,True,1,spline_lags_none_sinusoidal_yes,0.365,0.737,362.887,369.498,True,True,True,2.008,-30.736,0,1.0,1.467,1.008,1.239,0.451,0.091,0.378,"[np.float64(464.8865), np.float64(534.7108), np.float64(591.0996), np.float64(631.7074), np.float64(683.515)]",,,1.228,1.485,0.901,0.58
Maize-Cluster_0_yearly_True_window_1_lags_1_sinusoidal_yes_spline,True,1,spline_lags_1_sinusoidal_yes,0.531,0.058,341.871,348.994,True,True,True,2.066,-1.855,0,1.0,1.877,1.305,1.202,0.453,0.02,0.835,"[np.float64(464.8865), np.float64(574.9425), np.float64(611.733), np.float64(635.36972), np.float64(683.515)]",1.093,0.076,1.176,2.115,0.873,0.27
Maize-Cluster_0_yearly_False_window_2_lags_none_sinusoidal_no_spline,False,2,spline_lags_none_sinusoidal_no,0.116,0.41,396.504,401.726,True,True,False,1.38,-165.987,0,1.0,1.0,1.0,1.0,0.978,0.485,0.276,"[np.float64(464.8865), np.float64(546.0495), np.float64(592.214), np.float64(626.5405), np.float64(663.207)]",,,,,,
Maize-Cluster_0_yearly_False_window_2_lags_1_sinusoidal_no_spline,False,2,spline_lags_1_sinusoidal_no,0.375,0.03,374.15,380.125,True,True,False,1.463,-274.548,0,1.0,1.101,1.007,1.036,0.839,0.096,0.757,"[np.float64(464.8865), np.float64(566.276625), np.float64(605.07425), np.float64(629.72325), np.float64(663.207)]",1.143,0.036,,,,
Maize-Cluster_0_yearly_False_window_2_lags_none_sinusoidal_yes_spline,False,2,spline_lags_none_sinusoidal_yes,0.13,0.383,400.164,407.475,True,True,False,1.418,-420.199,0,1.0,1.005,1.1,1.265,0.995,0.536,0.386,"[np.float64(464.8865), np.float64(546.0495), np.float64(592.214), np.float64(626.5405), np.float64(663.207)]",,,1.281,1.09,0.999,0.64
Maize-Cluster_0_yearly_False_window_2_lags_1_sinusoidal_yes_spline,False,2,spline_lags_1_sinusoidal_yes,0.437,0.044,376.07,384.036,True,True,False,1.497,-526.118,0,1.0,1.111,1.171,1.145,0.921,0.222,0.985,"[np.float64(464.8865), np.float64(566.276625), np.float64(605.07425), np.float64(629.72325), np.float64(663.207)]",1.147,0.046,1.183,1.097,0.361,0.507
Maize-Cluster_0_yearly_True_window_2_lags_none_sinusoidal_no_spline,True,2,spline_lags_none_sinusoidal_no,0.228,0.454,348.201,352.923,True,True,False,1.436,-2.078,0,1.0,1.0,1.0,1.0,0.133,0.686,0.439,"[np.float64(482.346), np.float64(565.517375), np.float64(603.8625), np.float64(633.163), np.float64(663.207)]",,,,,,
Maize-Cluster_0_yearly_True_window_2_lags_1_sinusoidal_no_spline,True,2,spline_lags_1_sinusoidal_no,0.337,0.497,330.68,336.022,True,True,True,1.714,-3.719,0,1.0,1.134,1.005,1.052,0.682,0.094,0.144,"[np.float64(532.8107500000001), np.float64(587.784), np.float64(623.44559), np.float64(634.9615), np.float64(663.207)]",1.191,0.324,,,,
Maize-Cluster_0_yearly_True_window_2_lags_none_sinusoidal_yes_spline,True,2,spline_lags_none_sinusoidal_yes,0.264,0.687,351.3,357.911,True,True,True,1.526,-0.314,0,1.0,1.012,1.038,1.042,0.207,0.657,0.393,"[np.float64(482.346), np.float64(565.517375), np.float64(603.8625), np.float64(633.163), np.float64(663.207)]",,,1.052,1.039,0.488,0.756
Maize-Cluster_0_yearly_True_window_2_lags_1_sinusoidal_yes_spline,True,2,spline_lags_1_sinusoidal_yes,0.364,0.439,333.929,341.052,True,True,True,1.657,-5.751,0,1.0,1.191,1.041,1.139,0.792,0.127,0.237,"[np.float64(532.8107500000001), np.float64(587.784), np.float64(623.44559), np.float64(634.9615), np.float64(663.207)]",1.199,0.345,1.103,1.069,0.609,0.685
Maize-Cluster_0_yearly_False_window_3_lags_none_sinusoidal_no_spline,False,3,spline_lags_none_sinusoidal_no,0.128,0.665,381.941,387.163,True,True,False,0.967,-51.403,0,1.0,1.0,1.0,1.0,0.691,0.476,0.217,"[np.float64(510.1693333333333), np.float64(570.009333), np.float64(587.7914), np.float64(621.7791), np.float64(655.1066664)]",,,,,,
Maize-Cluster_0_yearly_False_window_3_lags_1_sinusoidal_no_spline,False,3,spline_lags_1_sinusoidal_no,0.287,0.095,362.194,368.168,True,True,False,1.139,-16.054,0,1.0,1.001,1.075,1.037,0.802,0.396,0.529,"[np.float64(510.1693333333333), np.float64(577.034133), np.float64(590.37099), np.float64(612.45573), np.float64(655.1066664)]",1.112,0.075,,,,
Maize-Cluster_0_yearly_False_window_3_lags_none_sinusoidal_yes_spline,False,3,spline_lags_none_sinusoidal_yes,0.139,0.666,385.691,393.003,True,True,False,1.042,-60.727,0,1.0,1.051,1.027,1.018,0.694,0.467,0.239,"[np.float64(510.1693333333333), np.float64(570.009333), np.float64(587.7914), np.float64(621.7791), np.float64(655.1066664)]",,,1.081,1.015,0.775,0.79
Maize-Cluster_0_yearly_False_window_3_lags_1_sinusoidal_yes_spline,False,3,spline_lags_1_sinusoidal_yes,0.302,0.11,365.759,373.725,True,True,False,1.16,-46.731,0,1.0,1.117,1.094,1.084,0.803,0.417,0.529,"[np.float64(510.1693333333333), np.float64(577.034133), np.float64(590.37099), np.float64(612.45573), np.float64(655.1066664)]",1.12,0.092,1.169,1.006,0.936,0.619
Maize-Cluster_0_yearly_True_window_3_lags_none_sinusoidal_no_spline,True,3,spline_lags_none_sinusoidal_no,0.142,0.317,343.015,347.737,True,True,False,0.826,-777.595,0,1.0,1.0,1.0,1.0,0.726,0.232,0.528,"[np.float64(512.6990000000001), np.float64(580.096417), np.float64(597.100167), np.float64(619.627727), np.float64(653.8553333333333)]",,,,,,
Maize-Cluster_0_yearly_True_window_3_lags_1_sinusoidal_no_spline,True,3,spline_lags_1_sinusoidal_no,0.15,0.757,327.123,332.465,True,True,False,0.758,-49.863,0,1.0,1.028,1.276,1.125,0.411,0.896,0.385,"[np.float64(568.2769997), np.float64(595.622012), np.float64(608.79176), np.float64(627.171266), np.float64(653.8553333333333)]",1.43,0.767,,,,
Maize-Cluster_0_yearly_True_window_3_lags_none_sinusoidal_yes_spline,True,3,spline_lags_none_sinusoidal_yes,0.162,0.335,346.57,353.181,True,True,False,0.839,-936.067,0,1.0,1.032,1.041,1.249,0.745,0.286,0.702,"[np.float64(512.6990000000001), np.float64(580.096417), np.float64(597.100167), np.float64(619.627727), np.float64(653.8553333333333)]",,,1.309,1.012,0.723,0.722
Maize-Cluster_0_yearly_True_window_3_lags_1_sinusoidal_yes_spline,True,3,spline_lags_1_sinusoidal_yes,0.234,0.79,329.249,336.372,True,True,False,0.893,-1754.041,0,1.0,1.03,1.794,1.581,0.44,0.834,0.314,"[np.float64(568.2769997), np.float64(595.622012), np.float64(608.79176), np.float64(627.171266), np.float64(653.8553333333333)]",1.69,0.911,1.045,1.669,0.349,0.734
Maize-Cluster_0_yearly_False_window_4_lags_none_sinusoidal_no_spline,False,4,spline_lags_none_sinusoidal_no,0.271,0.584,368.319,373.542,True,True,False,1.347,-0.8,0,1.0,1.0,1.0,1.0,0.776,0.04,0.496,"[np.float64(512.6990000000001), np.float64(569.13175), np.float64(586.295), np.float64(602.5185), np.float64(644.87375)]",,,,,,
Maize-Cluster_0_yearly_False_window_4_lags_1_sinusoidal_no_spline,False,4,spline_lags_1_sinusoidal_no,0.409,0.053,349.539,355.513,True,True,False,1.256,-12.503,0,1.0,1.0,1.035,1.094,0.152,0.785,0.691,"[np.float64(543.3328), np.float64(587.26766), np.float64(600.245487), np.float64(615.830862), np.float64(644.87375)]",1.129,0.081,,,,
