analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize-Cluster_1_yearly_False_window_1_lags_none_sinusoidal_no_piecewise,False,1,piecewise_lags_none_sinusoidal_no,0.17,0.501,524.813,528.7,True,True,True,2.053,-0.196,0,1.406,1.406,0.083,829.5118564363637,,,,,,
Maize-Cluster_1_yearly_False_window_1_lags_1_sinusoidal_no_piecewise,False,1,piecewise_lags_1_sinusoidal_no,0.158,0.872,505.135,510.168,True,True,True,2.132,-0.594,0,1.854,3.228,0.147,837.0021789545455,2.373,0.789,,,,
Maize-Cluster_1_yearly_False_window_1_lags_none_sinusoidal_yes_piecewise,False,1,piecewise_lags_none_sinusoidal_yes,0.186,0.385,528.27,534.749,True,True,True,2.07,-0.196,0,1.415,1.436,0.078,829.5118564363637,,,1.017,1.004,0.816,0.532
Maize-Cluster_1_yearly_False_window_1_lags_1_sinusoidal_yes_piecewise,False,1,piecewise_lags_1_sinusoidal_yes,0.159,0.836,509.1,516.649,True,True,True,2.133,-1.475,0,1.865,3.27,0.176,837.0021789545455,2.391,0.843,1.01,1.003,0.919,0.896
Maize-Cluster_1_yearly_True_window_1_lags_none_sinusoidal_no_piecewise,True,1,piecewise_lags_none_sinusoidal_no,0.387,0.488,357.143,359.976,True,True,False,1.363,-0.173,0,1.138,1.138,0.012,848.5537153919191,,,,,,
Maize-Cluster_1_yearly_True_window_1_lags_1_sinusoidal_no_piecewise,True,1,piecewise_lags_1_sinusoidal_no,0.485,0.572,332.154,335.716,True,True,True,1.715,0.234,0,1.204,1.63,0.006,849.0535737282828,1.427,0.762,,,,
Maize-Cluster_1_yearly_True_window_1_lags_none_sinusoidal_yes_piecewise,True,1,piecewise_lags_none_sinusoidal_yes,0.467,0.17,358.475,363.198,True,True,True,1.599,-0.266,0,1.154,1.273,0.009,848.5537153919191,,,1.105,1.014,0.808,0.168
Maize-Cluster_1_yearly_True_window_1_lags_1_sinusoidal_yes_piecewise,True,1,piecewise_lags_1_sinusoidal_yes,0.496,0.472,335.769,341.111,True,True,True,1.725,-0.04,0,1.223,1.785,0.018,849.0535737282828,1.467,0.908,1.068,1.027,0.801,0.634
Maize-Cluster_1_yearly_False_window_2_lags_none_sinusoidal_no_piecewise,False,2,piecewise_lags_none_sinusoidal_no,0.089,0.165,506.939,510.826,True,True,False,0.901,-0.128,0,1.123,1.123,0.241,820.9908646464646,,,,,,
Maize-Cluster_1_yearly_False_window_2_lags_1_sinusoidal_no_piecewise,False,2,piecewise_lags_1_sinusoidal_no,0.169,0.201,477.88,482.913,True,True,False,1.369,-0.11,0,1.133,1.164,0.102,820.9953833333333,1.031,0.649,,,,
Maize-Cluster_1_yearly_False_window_2_lags_none_sinusoidal_yes_piecewise,False,2,piecewise_lags_none_sinusoidal_yes,0.131,0.324,509.665,516.144,True,True,False,0.88,-0.082,0,1.152,1.388,0.343,820.9908646464646,,,1.019,1.216,0.327,0.803
Maize-Cluster_1_yearly_False_window_2_lags_1_sinusoidal_yes_piecewise,False,2,piecewise_lags_1_sinusoidal_yes,0.231,0.197,479.858,487.407,True,True,False,1.396,-0.709,0,1.164,1.442,0.213,820.9953833333333,1.038,0.793,1.032,1.207,0.29,0.504
Maize-Cluster_1_yearly_True_window_2_lags_none_sinusoidal_no_piecewise,True,2,piecewise_lags_none_sinusoidal_no,0.159,0.521,357.602,360.435,True,True,False,0.816,-0.827,0,1.912,1.912,0.249,789.8037395262626,,,,,,
Maize-Cluster_1_yearly_True_window_2_lags_1_sinusoidal_no_piecewise,True,2,piecewise_lags_1_sinusoidal_no,0.155,0.182,330.362,333.924,True,True,False,0.699,-1.466,0,1.631,1.815,0.293,816.3153574681819,1.184,0.9,,,,
Maize-Cluster_1_yearly_True_window_2_lags_none_sinusoidal_yes_piecewise,True,2,piecewise_lags_none_sinusoidal_yes,0.281,0.485,358.622,363.344,True,True,False,1.005,-0.925,0,2.239,2.597,0.198,789.8037395262626,,,1.013,1.345,0.146,0.906
Maize-Cluster_1_yearly_True_window_2_lags_1_sinusoidal_yes_piecewise,True,2,piecewise_lags_1_sinusoidal_yes,0.52,0.015,324.179,329.521,True,True,False,1.452,-1.151,0,1.731,2.103,0.13,816.3153574681819,1.214,0.384,1.028,1.131,0.049,0.037
Maize-Cluster_1_yearly_False_window_3_lags_none_sinusoidal_no_piecewise,False,3,piecewise_lags_none_sinusoidal_no,0.157,0.057,495.272,499.159,True,True,False,0.964,-0.145,0,1.193,1.193,0.09,809.7593997306396,,,,,,
Maize-Cluster_1_yearly_False_window_3_lags_1_sinusoidal_no_piecewise,False,3,piecewise_lags_1_sinusoidal_no,0.211,0.057,472.581,477.613,True,True,False,1.268,0.017,0,1.327,1.512,0.039,802.917706060606,1.185,0.511,,,,
Maize-Cluster_1_yearly_False_window_3_lags_none_sinusoidal_yes_piecewise,False,3,piecewise_lags_none_sinusoidal_yes,0.171,0.136,498.809,505.288,True,True,False,0.95,-0.206,0,1.246,1.519,0.119,809.7593997306396,,,1.015,1.258,0.58,0.896
Maize-Cluster_1_yearly_False_window_3_lags_1_sinusoidal_yes_piecewise,False,3,piecewise_lags_1_sinusoidal_yes,0.243,0.068,475.499,483.047,True,True,False,1.253,-0.602,0,1.4,1.852,0.066,802.917706060606,1.226,0.705,1.001,1.224,0.769,0.424
Maize-Cluster_1_yearly_True_window_3_lags_none_sinusoidal_no_piecewise,True,3,piecewise_lags_none_sinusoidal_no,0.301,0.019,344.147,346.981,True,True,False,0.633,-2.791,0,1.23,1.23,0.077,813.4790590766329,,,,,,
Maize-Cluster_1_yearly_True_window_3_lags_1_sinusoidal_no_piecewise,True,3,piecewise_lags_1_sinusoidal_no,0.327,0.036,321.591,325.153,True,True,False,0.767,-0.542,0,1.266,1.344,0.049,813.4205258557574,1.078,0.685,,,,
