analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag0,p_value_lag0,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize_yearly_False_window_1_lags_none_sinusoidal_no_linear,False,1,linear_lags_none_sinusoidal_no,0.099,0.008,1347.358,1351.826,False,True,True,2.064,0.028,0,1.0,,,,,,,,
Maize_yearly_False_window_1_lags_0_sinusoidal_no_linear,False,1,linear_lags_0_sinusoidal_no,0.111,0.006,1348.462,1355.164,False,True,True,2.09,0.018,0,1.0,1.0,0.356,,,,,,
Maize_yearly_False_window_1_lags_1_sinusoidal_no_linear,False,1,linear_lags_1_sinusoidal_no,0.102,0.025,1328.546,1335.204,False,True,True,2.099,-0.17,0,1.0,,,1.0,0.792,,,,
Maize_yearly_False_window_1_lags_none_sinusoidal_yes_linear,False,1,linear_lags_none_sinusoidal_yes,0.105,0.01,1350.917,1359.853,False,True,True,2.079,-0.029,0,1.0,,,,,1.0,1.0,0.725,0.591
Maize_yearly_False_window_1_lags_0_sinusoidal_yes_linear,False,1,linear_lags_0_sinusoidal_yes,0.131,0.007,1350.871,1362.042,False,True,True,2.11,-0.004,0,1.0,1.0,0.151,,,1.0,1.0,0.697,0.77
Maize_yearly_False_window_1_lags_1_sinusoidal_yes_linear,False,1,linear_lags_1_sinusoidal_yes,0.105,0.028,1332.32,1343.418,False,True,True,2.107,-0.277,0,1.0,,,1.0,0.799,1.0,1.0,0.71,0.792
Maize_yearly_True_window_1_lags_none_sinusoidal_no_linear,True,1,linear_lags_none_sinusoidal_no,0.184,0.008,697.748,700.97,True,True,True,1.991,0.042,0,1.0,,,,,,,,
Maize_yearly_True_window_1_lags_0_sinusoidal_no_linear,True,1,linear_lags_0_sinusoidal_no,0.262,0.006,695.986,700.819,True,True,True,2.094,-1.181,0,1.0,1.0,0.065,,,,,,
Maize_yearly_True_window_1_lags_1_sinusoidal_no_linear,True,1,linear_lags_1_sinusoidal_no,0.321,0.0,672.2,676.951,True,True,True,2.137,0.265,0,1.0,,,1.0,0.024,,,,
Maize_yearly_True_window_1_lags_none_sinusoidal_yes_linear,True,1,linear_lags_none_sinusoidal_yes,0.191,0.009,701.417,707.86,True,True,True,2.02,-0.081,0,1.0,,,,,1.0,1.0,0.648,0.772
Maize_yearly_True_window_1_lags_0_sinusoidal_yes_linear,True,1,linear_lags_0_sinusoidal_yes,0.269,0.007,699.666,707.72,True,True,True,2.118,-1.598,0,1.0,1.0,0.072,,,1.0,1.0,0.609,0.917
Maize_yearly_True_window_1_lags_1_sinusoidal_yes_linear,True,1,linear_lags_1_sinusoidal_yes,0.34,0.0,675.144,683.062,True,True,True,2.198,-0.077,0,1.0,,,1.0,0.022,1.0,1.0,0.389,0.689
Maize_yearly_False_window_2_lags_none_sinusoidal_no_linear,False,2,linear_lags_none_sinusoidal_no,0.163,0.001,1297.953,1302.421,True,True,False,0.965,-0.016,0,1.0,,,,,,,,
Maize_yearly_False_window_2_lags_0_sinusoidal_no_linear,False,2,linear_lags_0_sinusoidal_no,0.213,0.0,1295.717,1302.419,False,True,False,1.05,-0.05,0,1.0,1.0,0.045,,,,,,
Maize_yearly_False_window_2_lags_1_sinusoidal_no_linear,False,2,linear_lags_1_sinusoidal_no,0.172,0.001,1276.463,1283.122,True,True,False,1.016,0.029,0,1.0,,,1.0,0.66,,,,
Maize_yearly_False_window_2_lags_none_sinusoidal_yes_linear,False,2,linear_lags_none_sinusoidal_yes,0.174,0.001,1300.996,1309.932,True,True,False,0.985,-0.108,0,1.0,,,,,1.0,1.0,0.482,0.526
Maize_yearly_False_window_2_lags_0_sinusoidal_yes_linear,False,2,linear_lags_0_sinusoidal_yes,0.223,0.001,1298.813,1309.984,True,True,False,1.035,-0.594,0,1.0,1.0,0.041,,,1.0,1.0,0.484,0.748
Maize_yearly_False_window_2_lags_1_sinusoidal_yes_linear,False,2,linear_lags_1_sinusoidal_yes,0.178,0.001,1280.016,1291.113,True,True,False,1.029,-0.011,0,1.0,,,1.0,0.655,1.0,1.0,0.522,0.968
Maize_yearly_True_window_2_lags_none_sinusoidal_no_linear,True,2,linear_lags_none_sinusoidal_no,0.435,0.0,669.116,672.338,True,True,False,1.19,0.388,0,1.0,,,,,,,,
Maize_yearly_True_window_2_lags_0_sinusoidal_no_linear,True,2,linear_lags_0_sinusoidal_no,0.586,0.0,659.656,664.488,True,True,True,1.7,0.55,0,1.0,1.0,0.001,,,,,,
Maize_yearly_True_window_2_lags_1_sinusoidal_no_linear,True,2,linear_lags_1_sinusoidal_no,0.558,0.0,639.88,644.63,True,True,False,1.432,0.419,0,1.0,,,1.0,0.137,,,,
Maize_yearly_True_window_2_lags_none_sinusoidal_yes_linear,True,2,linear_lags_none_sinusoidal_yes,0.465,0.0,671.112,677.556,True,True,False,1.293,0.281,0,1.0,,,,,1.0,1.0,0.195,0.778
Maize_yearly_True_window_2_lags_0_sinusoidal_yes_linear,True,2,linear_lags_0_sinusoidal_yes,0.607,0.0,661.722,669.776,True,True,True,1.8,0.492,0,1.0,1.0,0.001,,,1.0,1.0,0.206,0.819
Maize_yearly_True_window_2_lags_1_sinusoidal_yes_linear,True,2,linear_lags_1_sinusoidal_yes,0.603,0.0,639.938,647.856,True,True,True,1.572,0.335,0,1.0,,,1.0,0.095,1.0,1.0,0.153,0.231
Maize_yearly_False_window_3_lags_none_sinusoidal_no_linear,False,3,linear_lags_none_sinusoidal_no,0.236,0.0,1267.648,1272.116,True,True,False,0.838,0.135,0,1.0,,,,,,,,
Maize_yearly_False_window_3_lags_0_sinusoidal_no_linear,False,3,linear_lags_0_sinusoidal_no,0.266,0.0,1266.939,1273.641,True,True,False,0.917,0.112,0,1.0,1.0,0.109,,,,,,
Maize_yearly_False_window_3_lags_1_sinusoidal_no_linear,False,3,linear_lags_1_sinusoidal_no,0.243,0.0,1249.84,1256.498,True,True,False,0.857,0.203,0,1.0,,,1.0,0.825,,,,
Maize_yearly_False_window_3_lags_none_sinusoidal_yes_linear,False,3,linear_lags_none_sinusoidal_yes,0.252,0.0,1270.243,1279.18,True,True,False,0.854,0.08,0,1.0,,,,,1.0,1.0,0.356,0.495
Maize_yearly_False_window_3_lags_0_sinusoidal_yes_linear,False,3,linear_lags_0_sinusoidal_yes,0.267,0.0,1270.783,1281.954,True,True,False,0.891,-0.133,0,1.0,1.0,0.205,,,1.0,1.0,0.375,0.601
Maize_yearly_False_window_3_lags_1_sinusoidal_yes_linear,False,3,linear_lags_1_sinusoidal_yes,0.254,0.0,1252.875,1263.973,True,True,False,0.871,0.158,0,1.0,,,1.0,0.824,1.0,1.0,0.383,0.726
Maize_yearly_True_window_3_lags_none_sinusoidal_no_linear,True,3,linear_lags_none_sinusoidal_no,0.614,0.0,641.336,644.558,True,True,False,0.814,0.531,0,1.0,,,,,,,,
Maize_yearly_True_window_3_lags_0_sinusoidal_no_linear,True,3,linear_lags_0_sinusoidal_no,0.647,0.0,639.984,644.817,True,True,False,1.012,0.528,0,1.0,1.0,0.081,,,,,,
Maize_yearly_True_window_3_lags_1_sinusoidal_no_linear,True,3,linear_lags_1_sinusoidal_no,0.679,0.0,618.968,623.718,True,True,False,0.853,0.599,0,1.0,,,1.0,0.364,,,,
Maize_yearly_True_window_3_lags_none_sinusoidal_yes_linear,True,3,linear_lags_none_sinusoidal_yes,0.649,0.0,641.795,648.239,True,False,False,0.89,0.541,0,1.0,,,,,1.0,1.0,0.082,0.742
Maize_yearly_True_window_3_lags_0_sinusoidal_yes_linear,True,3,linear_lags_0_sinusoidal_yes,0.686,0.0,639.618,647.672,True,True,False,1.142,0.593,0,1.0,1.0,0.077,,,1.0,1.0,0.057,0.768
Maize_yearly_True_window_3_lags_1_sinusoidal_yes_linear,True,3,linear_lags_1_sinusoidal_yes,0.718,0.0,618.39,626.307,True,True,False,0.916,0.628,0,1.0,,,1.0,0.277,1.0,1.0,0.057,0.577
Maize_yearly_False_window_4_lags_none_sinusoidal_no_linear,False,4,linear_lags_none_sinusoidal_no,0.346,0.0,1241.47,1245.939,False,True,False,0.664,0.311,0,1.0,,,,,,,,
Maize_yearly_False_window_4_lags_0_sinusoidal_no_linear,False,4,linear_lags_0_sinusoidal_no,0.352,0.0,1242.818,1249.521,False,True,False,0.728,0.238,0,1.0,1.0,0.431,,,,,,
Maize_yearly_False_window_4_lags_1_sinusoidal_no_linear,False,4,linear_lags_1_sinusoidal_no,0.366,0.0,1221.43,1228.088,False,True,False,0.717,0.353,0,1.0,,,1.0,0.636,,,,
Maize_yearly_False_window_4_lags_none_sinusoidal_yes_linear,False,4,linear_lags_none_sinusoidal_yes,0.369,0.0,1242.972,1251.908,False,True,False,0.692,0.294,0,1.0,,,,,1.0,1.0,0.132,0.795
Maize_yearly_False_window_4_lags_0_sinusoidal_yes_linear,False,4,linear_lags_0_sinusoidal_yes,0.373,0.0,1244.572,1255.743,False,True,False,0.74,0.158,0,1.0,1.0,0.434,,,1.0,1.0,0.152,0.909
Maize_yearly_False_window_4_lags_1_sinusoidal_yes_linear,False,4,linear_lags_1_sinusoidal_yes,0.383,0.0,1223.488,1234.585,False,True,False,0.741,0.319,0,1.0,,,1.0,0.661,1.0,1.0,0.182,0.941
Maize_yearly_True_window_4_lags_none_sinusoidal_no_linear,True,4,linear_lags_none_sinusoidal_no,0.589,0.0,637.267,640.489,True,True,False,0.71,0.468,0,1.0,,,,,,,,
Maize_yearly_True_window_4_lags_0_sinusoidal_no_linear,True,4,linear_lags_0_sinusoidal_no,0.632,0.0,635.216,640.049,True,True,False,0.857,0.046,0,1.0,1.0,0.055,,,,,,
Maize_yearly_True_window_4_lags_1_sinusoidal_no_linear,True,4,linear_lags_1_sinusoidal_no,0.694,0.0,610.387,615.138,True,True,False,0.815,0.64,0,1.0,,,1.0,0.381,,,,
Maize_yearly_True_window_4_lags_none_sinusoidal_yes_linear,True,4,linear_lags_none_sinusoidal_yes,0.634,0.0,636.993,643.437,True,True,False,0.814,0.317,0,1.0,,,,,1.0,1.0,0.053,0.871
Maize_yearly_True_window_4_lags_0_sinusoidal_yes_linear,True,4,linear_lags_0_sinusoidal_yes,0.677,0.0,634.369,642.423,True,True,False,0.975,-0.025,0,1.0,1.0,0.049,,,1.0,1.0,0.054,0.488
Maize_yearly_True_window_4_lags_1_sinusoidal_yes_linear,True,4,linear_lags_1_sinusoidal_yes,0.745,0.0,607.877,615.795,True,True,False,0.917,0.707,0,1.0,,,1.0,0.268,1.0,1.0,0.045,0.181
Maize_yearly_False_window_5_lags_none_sinusoidal_no_linear,False,5,linear_lags_none_sinusoidal_no,0.459,0.0,1214.237,1218.705,True,True,False,0.509,0.435,0,1.0,,,,,,,,
Maize_yearly_False_window_5_lags_0_sinusoidal_no_linear,False,5,linear_lags_0_sinusoidal_no,0.478,0.0,1213.779,1220.482,True,True,False,0.561,0.306,0,1.0,1.0,0.127,,,,,,
Maize_yearly_False_window_5_lags_1_sinusoidal_no_linear,False,5,linear_lags_1_sinusoidal_no,0.494,0.0,1192.537,1199.195,True,True,False,0.599,0.457,0,1.0,,,1.0,0.437,,,,
Maize_yearly_False_window_5_lags_none_sinusoidal_yes_linear,False,5,linear_lags_none_sinusoidal_yes,0.491,0.0,1214.015,1222.952,False,True,False,0.533,0.416,0,1.0,,,,,1.0,1.0,0.051,0.709
Maize_yearly_False_window_5_lags_0_sinusoidal_yes_linear,False,5,linear_lags_0_sinusoidal_yes,0.509,0.0,1213.585,1224.756,False,True,False,0.582,0.172,0,1.0,1.0,0.12,,,1.0,1.0,0.049,0.994
Maize_yearly_False_window_5_lags_1_sinusoidal_yes_linear,False,5,linear_lags_1_sinusoidal_yes,0.52,0.0,1193.027,1204.124,False,True,False,0.616,0.39,0,1.0,,,1.0,0.456,1.0,1.0,0.072,0.962
Maize_yearly_True_window_5_lags_none_sinusoidal_no_linear,True,5,linear_lags_none_sinusoidal_no,0.588,0.0,631.774,634.996,True,True,False,0.629,0.503,0,1.0,,,,,,,,
Maize_yearly_True_window_5_lags_0_sinusoidal_no_linear,True,5,linear_lags_0_sinusoidal_no,0.588,0.0,633.767,638.599,True,False,False,0.631,0.463,0,1.0,1.0,0.935,,,,,,
Maize_yearly_True_window_5_lags_1_sinusoidal_no_linear,True,5,linear_lags_1_sinusoidal_no,0.705,0.0,603.893,608.643,True,True,False,0.812,0.597,0,1.0,,,1.0,0.52,,,,
Maize_yearly_True_window_5_lags_none_sinusoidal_yes_linear,True,5,linear_lags_none_sinusoidal_yes,0.625,0.0,632.297,638.74,True,False,False,0.71,0.391,0,1.0,,,,,1.0,1.0,0.084,0.783
Maize_yearly_True_window_5_lags_0_sinusoidal_yes_linear,True,5,linear_lags_0_sinusoidal_yes,0.625,0.0,634.294,642.349,True,False,False,0.711,0.295,0,1.0,1.0,0.911,,,1.0,1.0,0.089,0.788
Maize_yearly_True_window_5_lags_1_sinusoidal_yes_linear,True,5,linear_lags_1_sinusoidal_yes,0.743,0.0,602.929,610.847,True,True,False,0.859,0.637,0,1.0,,,1.0,0.429,1.0,1.0,0.057,0.406
Maize_yearly_False_window_6_lags_none_sinusoidal_no_linear,False,6,linear_lags_none_sinusoidal_no,0.54,0.0,1195.336,1199.805,True,True,False,0.585,0.532,0,1.0,,,,,,,,
Maize_yearly_False_window_6_lags_0_sinusoidal_no_linear,False,6,linear_lags_0_sinusoidal_no,0.564,0.0,1193.52,1200.222,True,True,False,0.67,0.508,0,1.0,1.0,0.057,,,,,,
