analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag0,p_value_lag0,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize_yearly_False_window_1_lags_none_sinusoidal_no_piecewise,False,1,piecewise_lags_none_sinusoidal_no,0.166,0.001,1344.0,1350.702,False,True,True,1.967,0.08,0,1.698,1.698,0.024,877.6544040404041,,,,,,,,
Maize_yearly_False_window_1_lags_0_sinusoidal_no_piecewise,False,1,piecewise_lags_0_sinusoidal_no,0.17,0.001,1345.691,1354.628,False,True,True,1.989,0.05,0,1.79,1.921,0.035,877.6544040404041,1.132,0.591,,,,,,
Maize_yearly_False_window_1_lags_1_sinusoidal_no_piecewise,False,1,piecewise_lags_1_sinusoidal_no,0.182,0.001,1324.199,1333.077,False,True,True,1.996,-0.1,0,2.1,2.605,0.015,873.0521818181818,,,1.505,0.833,,,,
Maize_yearly_False_window_1_lags_none_sinusoidal_yes_piecewise,False,1,piecewise_lags_none_sinusoidal_yes,0.175,0.001,1347.279,1358.45,False,True,True,1.984,0.004,0,1.717,1.744,0.023,877.6544040404041,,,,,1.016,1.011,0.419,0.948
Maize_yearly_False_window_1_lags_0_sinusoidal_yes_piecewise,False,1,piecewise_lags_0_sinusoidal_yes,0.208,0.001,1346.43,1359.834,False,True,True,2.034,-0.041,0,1.717,1.744,0.016,877.6544040404041,1.001,0.116,,,1.016,1.011,0.379,0.811
Maize_yearly_False_window_1_lags_1_sinusoidal_yes_piecewise,False,1,piecewise_lags_1_sinusoidal_yes,0.193,0.001,1327.271,1340.588,False,True,True,2.012,-0.148,0,2.135,2.688,0.012,873.0521818181818,,,1.521,0.821,1.017,1.015,0.38,0.762
Maize_yearly_True_window_1_lags_none_sinusoidal_no_piecewise,True,1,piecewise_lags_none_sinusoidal_no,0.271,0.001,695.532,700.365,True,True,True,2.159,0.1,0,1.26,1.26,0.051,966.5298799999999,,,,,,,,
Maize_yearly_True_window_1_lags_0_sinusoidal_no_piecewise,True,1,piecewise_lags_0_sinusoidal_no,0.369,0.0,692.191,698.635,True,True,True,2.377,-1.147,0,1.262,1.27,0.024,966.5298799999999,1.008,0.03,,,,,,
Maize_yearly_True_window_1_lags_1_sinusoidal_no_piecewise,True,1,piecewise_lags_1_sinusoidal_no,0.4,0.0,669.703,676.037,True,True,True,2.313,0.296,0,1.735,2.177,0.047,916.0875121212122,,,1.443,0.059,,,,
Maize_yearly_True_window_1_lags_none_sinusoidal_yes_piecewise,True,1,piecewise_lags_none_sinusoidal_yes,0.283,0.001,698.956,707.011,True,True,True,2.218,-0.037,0,1.262,1.269,0.051,966.5298799999999,,,,,1.002,1.004,0.501,0.847
Maize_yearly_True_window_1_lags_0_sinusoidal_yes_piecewise,True,1,piecewise_lags_0_sinusoidal_yes,0.384,0.0,695.334,705.0,True,True,True,2.449,-1.554,0,1.265,1.283,0.022,966.5298799999999,1.008,0.033,,,1.002,1.008,0.431,0.762
Maize_yearly_True_window_1_lags_1_sinusoidal_yes_piecewise,True,1,piecewise_lags_1_sinusoidal_yes,0.43,0.0,671.896,681.397,True,True,True,2.443,-0.046,0,1.735,2.18,0.038,916.0875121212122,,,1.443,0.05,1.001,1.0,0.261,0.63
Maize_yearly_False_window_2_lags_none_sinusoidal_no_piecewise,False,2,piecewise_lags_none_sinusoidal_no,0.179,0.009,1298.582,1305.285,True,True,False,0.98,-0.039,0,2.054,2.054,0.254,783.1498273777777,,,,,,,,
Maize_yearly_False_window_2_lags_0_sinusoidal_no_piecewise,False,2,piecewise_lags_0_sinusoidal_no,0.238,0.003,1295.443,1304.379,False,True,False,1.101,-0.064,0,2.055,2.055,0.145,783.1498273777777,1.0,0.028,,,,,,
Maize_yearly_False_window_2_lags_1_sinusoidal_no_piecewise,False,2,piecewise_lags_1_sinusoidal_no,0.211,0.002,1275.238,1284.116,False,True,False,1.075,0.078,0,2.208,2.364,0.083,786.713487,,,1.156,0.619,,,,
Maize_yearly_False_window_2_lags_none_sinusoidal_yes_piecewise,False,2,piecewise_lags_none_sinusoidal_yes,0.192,0.009,1301.542,1312.712,True,True,False,1.0,-0.108,0,2.056,2.057,0.247,783.1498273777777,,,,,1.0,1.001,0.43,0.564
Maize_yearly_False_window_2_lags_0_sinusoidal_yes_piecewise,False,2,piecewise_lags_0_sinusoidal_yes,0.252,0.003,1298.157,1311.562,True,True,False,1.089,-0.567,0,2.062,2.069,0.121,783.1498273777777,1.007,0.023,,,1.0,1.0,0.411,0.839
