analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag0,p_value_lag0,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize_yearly_False_window_1_lags_none_sinusoidal_no_quadratic,False,1,quadratic_lags_none_sinusoidal_no,0.138,0.004,1346.289,1352.991,False,True,True,1.947,0.046,0,1.766,1.766,0.088,,,,,,,,
Maize_yearly_False_window_1_lags_0_sinusoidal_no_quadratic,False,1,quadratic_lags_0_sinusoidal_no,0.144,0.003,1347.843,1356.779,False,True,True,1.975,0.027,0,1.785,1.81,0.118,1.025,0.518,,,,,,
Maize_yearly_False_window_1_lags_1_sinusoidal_no_quadratic,False,1,quadratic_lags_1_sinusoidal_no,0.149,0.021,1326.85,1335.728,False,True,True,1.972,-0.133,0,1.793,1.806,0.063,,,1.013,0.946,,,,
Maize_yearly_False_window_1_lags_none_sinusoidal_yes_quadratic,False,1,quadratic_lags_none_sinusoidal_yes,0.144,0.004,1349.785,1360.955,False,True,True,1.961,-0.012,0,1.813,1.875,0.09,,,,,1.028,1.034,0.526,0.818
Maize_yearly_False_window_1_lags_0_sinusoidal_yes_quadratic,False,1,quadratic_lags_0_sinusoidal_yes,0.175,0.003,1349.258,1362.663,False,True,True,2.0,-0.017,0,1.817,1.884,0.07,1.001,0.13,,,1.028,1.037,0.488,0.958
Maize_yearly_False_window_1_lags_1_sinusoidal_yes_quadratic,False,1,quadratic_lags_1_sinusoidal_yes,0.156,0.021,1330.323,1343.64,False,True,True,1.981,-0.199,0,1.848,1.931,0.057,,,1.013,0.941,1.028,1.042,0.493,0.914
Maize_yearly_True_window_1_lags_none_sinusoidal_no_quadratic,True,1,quadratic_lags_none_sinusoidal_no,0.202,0.012,698.897,703.73,True,True,True,1.934,0.047,0,1.847,1.847,0.38,,,,,,,,
Maize_yearly_True_window_1_lags_0_sinusoidal_no_quadratic,True,1,quadratic_lags_0_sinusoidal_no,0.297,0.01,696.186,702.63,False,True,True,2.064,-1.198,0,1.87,1.897,0.209,1.027,0.042,,,,,,
Maize_yearly_True_window_1_lags_1_sinusoidal_no_quadratic,True,1,quadratic_lags_1_sinusoidal_no,0.345,0.001,672.868,679.202,True,True,True,2.145,0.254,0,1.914,1.933,0.28,,,1.02,0.034,,,,
Maize_yearly_True_window_1_lags_none_sinusoidal_yes_quadratic,True,1,quadratic_lags_none_sinusoidal_yes,0.213,0.013,702.395,710.45,True,True,True,1.971,-0.099,0,1.87,1.897,0.351,,,,,1.027,1.0,0.558,0.768
Maize_yearly_True_window_1_lags_0_sinusoidal_yes_quadratic,True,1,quadratic_lags_0_sinusoidal_yes,0.31,0.011,699.546,709.212,False,True,True,2.107,-1.604,0,1.895,1.952,0.186,1.028,0.045,,,1.029,1.0,0.477,0.88
