analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Soybean_yearly_False_window_1_lags_none_sinusoidal_no_linear,False,1,linear_lags_none_sinusoidal_no,0.081,0.028,1070.383,1074.571,True,True,True,2.287,0.036,0,1.0,,,,,,,,
Soybean_yearly_False_window_1_lags_1_sinusoidal_no_linear,False,1,linear_lags_1_sinusoidal_no,0.114,0.373,1051.334,1057.567,True,True,True,2.261,-0.038,0,1.0,1.0,0.178,,,,,,
Soybean_yearly_False_window_1_lags_7_sinusoidal_no_linear,False,1,linear_lags_7_sinusoidal_no,0.111,0.9,944.129,950.039,True,True,True,2.258,-0.036,0,1.0,,,1.0,0.076,,,,
Soybean_yearly_False_window_1_lags_none_sinusoidal_yes_linear,False,1,linear_lags_none_sinusoidal_yes,0.082,0.032,1074.308,1082.685,True,True,True,2.291,-0.032,0,1.0,,,,,1.0,1.0,0.803,0.934
Soybean_yearly_False_window_1_lags_1_sinusoidal_yes_linear,False,1,linear_lags_1_sinusoidal_yes,0.117,0.384,1055.153,1065.541,True,True,True,2.269,-0.132,0,1.0,1.0,0.187,,,1.0,1.0,0.757,0.794
Soybean_yearly_False_window_1_lags_7_sinusoidal_yes_linear,False,1,linear_lags_7_sinusoidal_yes,0.114,0.931,947.901,957.753,True,True,True,2.268,-0.079,0,1.0,,,1.0,0.087,1.0,1.0,0.84,0.687
Soybean_yearly_True_window_1_lags_none_sinusoidal_no_linear,True,1,linear_lags_none_sinusoidal_no,0.186,0.008,633.884,637.106,True,True,True,1.95,0.142,0,1.0,,,,,,,,
Soybean_yearly_True_window_1_lags_1_sinusoidal_no_linear,True,1,linear_lags_1_sinusoidal_no,0.215,0.013,614.651,619.402,True,True,True,1.921,-0.139,0,1.0,1.0,0.727,,,,,,
Soybean_yearly_True_window_1_lags_7_sinusoidal_no_linear,True,1,linear_lags_7_sinusoidal_no,0.194,0.155,512.376,516.579,True,True,True,1.958,0.069,0,1.0,,,1.0,0.319,,,,
Soybean_yearly_True_window_1_lags_none_sinusoidal_yes_linear,True,1,linear_lags_none_sinusoidal_yes,0.212,0.009,636.686,643.13,True,True,True,2.025,0.096,0,1.0,,,,,1.0,1.0,0.315,0.837
Soybean_yearly_True_window_1_lags_1_sinusoidal_yes_linear,True,1,linear_lags_1_sinusoidal_yes,0.262,0.011,616.449,624.366,True,True,True,2.02,-0.301,0,1.0,1.0,0.7,,,1.0,1.0,0.274,0.404
Soybean_yearly_True_window_1_lags_7_sinusoidal_yes_linear,True,1,linear_lags_7_sinusoidal_yes,0.238,0.116,514.692,521.698,True,True,True,2.098,0.053,0,1.0,,,1.0,0.379,1.0,1.0,0.465,0.349
Soybean_yearly_False_window_2_lags_none_sinusoidal_no_linear,False,2,linear_lags_none_sinusoidal_no,0.085,0.024,1020.351,1024.539,True,True,False,1.163,0.061,0,1.0,,,,,,,,
Soybean_yearly_False_window_2_lags_1_sinusoidal_no_linear,False,2,linear_lags_1_sinusoidal_no,0.1,0.068,1000.667,1006.899,True,True,False,1.188,-0.026,0,1.0,1.0,0.498,,,,,,
Soybean_yearly_False_window_2_lags_7_sinusoidal_no_linear,False,2,linear_lags_7_sinusoidal_no,0.131,0.925,897.372,903.283,False,True,False,1.204,0.055,0,1.0,,,1.0,0.098,,,,
Soybean_yearly_False_window_2_lags_none_sinusoidal_yes_linear,False,2,linear_lags_none_sinusoidal_yes,0.086,0.029,1024.271,1032.648,True,True,False,1.166,0.009,0,1.0,,,,,1.0,1.0,0.796,0.931
Soybean_yearly_False_window_2_lags_1_sinusoidal_yes_linear,False,2,linear_lags_1_sinusoidal_yes,0.108,0.067,1004.157,1014.544,False,True,False,1.193,-0.1,0,1.0,1.0,0.519,,,1.0,1.0,0.808,0.526
Soybean_yearly_False_window_2_lags_7_sinusoidal_yes_linear,False,2,linear_lags_7_sinusoidal_yes,0.138,0.84,900.948,910.8,False,True,False,1.207,-0.052,0,1.0,,,1.0,0.126,1.0,1.0,0.881,0.55
Soybean_yearly_True_window_2_lags_none_sinusoidal_no_linear,True,2,linear_lags_none_sinusoidal_no,0.251,0.002,610.678,613.9,True,True,False,0.943,0.159,0,1.0,,,,,,,,
Soybean_yearly_True_window_2_lags_1_sinusoidal_no_linear,True,2,linear_lags_1_sinusoidal_no,0.313,0.002,587.923,592.674,True,False,False,1.092,0.126,0,1.0,1.0,0.689,,,,,,
