analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Soybean_yearly_False_window_1_lags_none_sinusoidal_no_piecewise,False,1,piecewise_lags_none_sinusoidal_no,0.124,0.006,1069.479,1075.762,True,True,True,2.309,0.061,0,1.203,1.203,0.098,976.2066989989899,,,,,,,,
Soybean_yearly_False_window_1_lags_1_sinusoidal_no_piecewise,False,1,piecewise_lags_1_sinusoidal_no,0.161,0.099,1050.106,1058.416,True,True,True,2.313,-0.014,0,1.251,1.364,0.084,971.7436807272727,1.113,0.193,,,,,,
Soybean_yearly_False_window_1_lags_7_sinusoidal_no_piecewise,False,1,piecewise_lags_7_sinusoidal_no,0.148,0.611,943.841,951.722,True,True,True,2.295,0.016,0,1.198,1.341,0.148,991.0613454545455,,,1.143,0.077,,,,
Soybean_yearly_False_window_1_lags_none_sinusoidal_yes_piecewise,False,1,piecewise_lags_none_sinusoidal_yes,0.127,0.007,1073.311,1083.783,True,True,True,2.317,0.003,0,1.206,1.221,0.099,976.2066989989899,,,,,1.012,1.003,0.696,0.991
Soybean_yearly_False_window_1_lags_1_sinusoidal_yes_piecewise,False,1,piecewise_lags_1_sinusoidal_yes,0.165,0.105,1053.824,1066.289,True,True,True,2.324,-0.108,0,1.255,1.384,0.085,971.7436807272727,1.115,0.199,,,1.01,1.004,0.653,0.829
Soybean_yearly_False_window_1_lags_7_sinusoidal_yes_piecewise,False,1,piecewise_lags_7_sinusoidal_yes,0.153,0.596,947.568,959.39,True,True,True,2.307,-0.049,0,1.201,1.359,0.153,991.0613454545455,,,1.145,0.087,1.009,1.005,0.739,0.721
Soybean_yearly_True_window_1_lags_none_sinusoidal_no_piecewise,True,1,piecewise_lags_none_sinusoidal_no,0.227,0.004,633.96,638.793,True,True,True,1.968,-0.174,0,1.205,1.205,0.187,970.1886,,,,,,,,
Soybean_yearly_True_window_1_lags_1_sinusoidal_no_piecewise,True,1,piecewise_lags_1_sinusoidal_no,0.272,0.004,613.974,620.308,True,True,True,2.026,-0.106,0,1.275,1.568,0.126,970.1768636363637,1.293,0.971,,,,,,
Soybean_yearly_True_window_1_lags_7_sinusoidal_no_piecewise,True,1,piecewise_lags_7_sinusoidal_no,0.221,0.094,513.339,518.944,True,True,True,1.996,0.004,0,1.181,1.183,0.348,970.3053181818183,,,1.002,0.51,,,,
Soybean_yearly_True_window_1_lags_none_sinusoidal_yes_piecewise,True,1,piecewise_lags_none_sinusoidal_yes,0.245,0.005,637.075,645.13,True,True,True,2.026,-0.502,0,1.214,1.259,0.241,970.1886,,,,,1.01,1.034,0.386,0.97
Soybean_yearly_True_window_1_lags_1_sinusoidal_yes_piecewise,True,1,piecewise_lags_1_sinusoidal_yes,0.299,0.005,616.572,626.073,True,True,True,2.076,-0.298,0,1.293,1.675,0.215,970.1768636363637,1.313,0.961,,,1.016,1.052,0.348,0.581
Soybean_yearly_True_window_1_lags_7_sinusoidal_yes_piecewise,True,1,piecewise_lags_7_sinusoidal_yes,0.252,0.103,516.126,524.534,True,True,True,2.091,-0.046,0,1.199,1.297,0.506,970.3053181818183,,,1.002,0.527,1.016,1.08,0.51,0.455
Soybean_yearly_False_window_2_lags_none_sinusoidal_no_piecewise,False,2,piecewise_lags_none_sinusoidal_no,0.099,0.225,1021.425,1027.708,True,True,False,1.162,0.05,0,4.304,4.304,0.351,626.5966999999998,,,,,,,,
Soybean_yearly_False_window_2_lags_1_sinusoidal_no_piecewise,False,2,piecewise_lags_1_sinusoidal_no,0.118,0.197,1001.479,1009.789,True,True,False,1.195,-0.022,0,4.97,5.193,0.295,626.4858999999999,1.222,0.552,,,,,,
Soybean_yearly_False_window_2_lags_7_sinusoidal_no_piecewise,False,2,piecewise_lags_7_sinusoidal_no,0.144,0.38,898.538,906.419,False,True,False,1.225,0.018,0,8.721,10.231,0.382,625.8210999999998,,,2.51,0.079,,,,
Soybean_yearly_False_window_2_lags_none_sinusoidal_yes_piecewise,False,2,piecewise_lags_none_sinusoidal_yes,0.1,0.233,1025.332,1035.804,True,True,False,1.167,-0.032,0,4.357,4.373,0.356,626.5966999999998,,,,,1.004,1.012,0.841,0.834
Soybean_yearly_False_window_2_lags_1_sinusoidal_yes_piecewise,False,2,piecewise_lags_1_sinusoidal_yes,0.123,0.234,1005.154,1017.619,True,True,False,1.196,-0.11,0,5.054,5.303,0.345,626.4858999999999,1.227,0.568,,,1.004,1.017,0.856,0.613
Soybean_yearly_False_window_2_lags_7_sinusoidal_yes_piecewise,False,2,piecewise_lags_7_sinusoidal_yes,0.148,0.448,902.323,914.144,False,True,False,1.222,-0.092,0,9.151,10.801,0.459,625.8210999999998,,,2.594,0.104,1.001,1.055,0.855,0.696
Soybean_yearly_True_window_2_lags_none_sinusoidal_no_piecewise,True,2,piecewise_lags_none_sinusoidal_no,0.312,0.015,609.555,614.388,True,True,False,1.044,-0.18,0,1.079,1.079,0.093,909.83760464,,,,,,,,
Soybean_yearly_True_window_2_lags_1_sinusoidal_no_piecewise,True,2,piecewise_lags_1_sinusoidal_no,0.368,0.016,586.912,593.246,True,True,False,1.162,-0.543,0,1.08,1.101,0.105,910.7605042,1.02,0.657,,,,,,
Soybean_yearly_True_window_2_lags_7_sinusoidal_no_piecewise,True,2,piecewise_lags_7_sinusoidal_no,0.344,0.109,487.966,493.571,True,True,False,1.202,-0.632,0,1.086,1.104,0.075,913.065292438384,,,1.018,0.722,,,,
Soybean_yearly_True_window_2_lags_none_sinusoidal_yes_piecewise,True,2,piecewise_lags_none_sinusoidal_yes,0.33,0.015,612.585,620.64,True,True,False,1.069,-0.304,0,1.084,1.149,0.137,909.83760464,,,,,1.028,1.037,0.38,0.836
Soybean_yearly_True_window_2_lags_1_sinusoidal_yes_piecewise,True,2,piecewise_lags_1_sinusoidal_yes,0.437,0.012,586.742,596.243,True,True,False,1.285,-0.553,0,1.086,1.171,0.087,910.7605042,1.022,0.686,,,1.03,1.034,0.358,0.11
Soybean_yearly_True_window_2_lags_7_sinusoidal_yes_piecewise,True,2,piecewise_lags_7_sinusoidal_yes,0.445,0.053,486.939,495.347,True,True,False,1.426,-0.917,0,1.093,1.187,0.05,913.065292438384,,,1.019,0.876,1.033,1.042,0.729,0.051
Soybean_yearly_False_window_3_lags_none_sinusoidal_no_piecewise,False,3,piecewise_lags_none_sinusoidal_no,0.165,0.018,994.77,1001.053,True,True,False,1.403,-0.003,0,1.652,1.652,0.375,803.5801333333333,,,,,,,,
Soybean_yearly_False_window_3_lags_1_sinusoidal_no_piecewise,False,3,piecewise_lags_1_sinusoidal_no,0.174,0.016,980.556,988.866,True,True,False,1.407,0.029,0,1.729,1.787,0.31,802.8459703703703,1.057,0.851,,,,,,
Soybean_yearly_False_window_3_lags_7_sinusoidal_no_piecewise,False,3,piecewise_lags_7_sinusoidal_no,0.222,0.126,876.073,883.954,True,True,False,1.424,0.133,0,2.594,3.811,0.085,801.3611372390573,,,2.217,0.044,,,,
Soybean_yearly_False_window_3_lags_none_sinusoidal_yes_piecewise,False,3,piecewise_lags_none_sinusoidal_yes,0.206,0.018,995.777,1006.248,True,True,False,1.478,-0.04,0,1.698,1.769,0.419,803.5801333333333,,,,,1.04,1.031,0.493,0.14
Soybean_yearly_False_window_3_lags_1_sinusoidal_yes_piecewise,False,3,piecewise_lags_1_sinusoidal_yes,0.23,0.013,980.471,992.937,True,True,True,1.504,-0.016,0,1.776,1.9,0.316,802.8459703703703,1.061,0.807,,,1.04,1.024,0.471,0.08
Soybean_yearly_False_window_3_lags_7_sinusoidal_yes_piecewise,False,3,piecewise_lags_7_sinusoidal_yes,0.264,0.106,877.123,888.945,True,True,True,1.541,0.072,0,2.806,4.318,0.157,801.3611372390573,,,2.379,0.101,1.049,1.084,0.946,0.109
Soybean_yearly_True_window_3_lags_none_sinusoidal_no_piecewise,True,3,piecewise_lags_none_sinusoidal_no,0.389,0.051,585.601,590.434,True,True,False,0.687,0.3,0,1.193,1.193,0.033,876.8443729163413,,,,,,,,
Soybean_yearly_True_window_3_lags_1_sinusoidal_no_piecewise,True,3,piecewise_lags_1_sinusoidal_no,0.42,0.049,570.027,576.361,True,True,False,0.743,0.136,0,1.215,1.249,0.059,879.1258457225591,1.034,0.565,,,,,,
Soybean_yearly_True_window_3_lags_7_sinusoidal_no_piecewise,True,3,piecewise_lags_7_sinusoidal_no,0.375,0.404,475.448,481.053,True,True,False,0.707,0.092,0,1.249,1.313,0.043,879.5667531048712,,,1.063,0.632,,,,
Soybean_yearly_True_window_3_lags_none_sinusoidal_yes_piecewise,True,3,piecewise_lags_none_sinusoidal_yes,0.458,0.038,585.215,593.27,True,True,False,0.768,0.352,0,1.207,1.283,0.038,876.8443729163413,,,,,1.016,1.06,0.096,0.335
Soybean_yearly_True_window_3_lags_1_sinusoidal_yes_piecewise,True,3,piecewise_lags_1_sinusoidal_yes,0.515,0.032,567.571,577.072,True,False,False,0.87,-0.006,0,1.23,1.337,0.048,879.1258457225591,1.037,0.583,,,1.017,1.053,0.094,0.111
