analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Soybean_yearly_False_window_1_lags_none_sinusoidal_no_spline,False,1,spline_lags_none_sinusoidal_no,0.096,0.16,1075.356,1085.827,True,True,True,2.3,-0.372,0,1.0,1.0,1.0,1.0,0.356,0.726,0.828,"[np.float64(424.181), np.float64(640.9054), np.float64(762.882948), np.float64(900.451), np.float64(1172.54)]",,,,,,,,
Soybean_yearly_False_window_1_lags_1_sinusoidal_no_spline,False,1,spline_lags_1_sinusoidal_no,0.133,0.542,1056.023,1068.488,True,True,True,2.292,-5.606,0,1.0,1.035,1.074,1.001,0.295,0.873,0.796,"[np.float64(424.181), np.float64(669.3254), np.float64(795.7342), np.float64(907.634), np.float64(1172.54)]",1.11,0.202,,,,,,
Soybean_yearly_False_window_1_lags_7_sinusoidal_no_spline,False,1,spline_lags_7_sinusoidal_no,0.131,0.716,948.914,960.736,True,True,True,2.287,-0.232,0,1.0,1.021,1.131,1.0,0.321,0.779,0.81,"[np.float64(424.181), np.float64(673.6736), np.float64(795.1768), np.float64(893.268), np.float64(1172.54)]",,,1.152,0.076,,,,
Soybean_yearly_False_window_1_lags_none_sinusoidal_yes_spline,False,1,spline_lags_none_sinusoidal_yes,0.098,0.18,1079.242,1093.903,True,True,True,2.305,-0.48,0,1.0,1.009,1.007,1.128,0.363,0.709,0.831,"[np.float64(424.181), np.float64(640.9054), np.float64(762.882948), np.float64(900.451), np.float64(1172.54)]",,,,,1.004,1.141,0.761,0.941
Soybean_yearly_False_window_1_lags_1_sinusoidal_yes_spline,False,1,spline_lags_1_sinusoidal_yes,0.137,0.567,1059.801,1076.421,True,True,True,2.299,-8.57,0,1.0,1.041,1.085,1.033,0.3,0.843,0.791,"[np.float64(424.181), np.float64(669.3254), np.float64(795.7342), np.float64(907.634), np.float64(1172.54)]",1.111,0.209,,,1.009,1.04,0.716,0.814
Soybean_yearly_False_window_1_lags_7_sinusoidal_yes_spline,False,1,spline_lags_7_sinusoidal_yes,0.134,0.732,952.69,968.452,True,True,True,2.296,-0.272,0,1.0,1.033,1.146,1.008,0.332,0.765,0.837,"[np.float64(424.181), np.float64(673.6736), np.float64(795.1768), np.float64(893.268), np.float64(1172.54)]",,,1.153,0.086,1.009,1.025,0.771,0.75
Soybean_yearly_True_window_1_lags_none_sinusoidal_no_spline,True,1,spline_lags_none_sinusoidal_no,0.219,0.016,638.356,646.411,True,True,True,1.8,-0.04,0,1.0,1.0,1.0,1.0,0.845,0.82,0.272,"[np.float64(482.346), np.float64(674.561496), np.float64(763.826997), np.float64(841.06856), np.float64(1031.934004)]",,,,,,,,
Soybean_yearly_True_window_1_lags_1_sinusoidal_no_spline,True,1,spline_lags_1_sinusoidal_no,0.283,0.025,617.426,626.927,True,True,True,2.108,-0.271,0,1.0,1.0,1.014,1.002,0.621,0.814,0.126,"[np.float64(482.346), np.float64(672.853739), np.float64(760.997747), np.float64(844.1066), np.float64(1031.934004)]",1.017,0.698,,,,,,
Soybean_yearly_True_window_1_lags_7_sinusoidal_no_spline,True,1,spline_lags_7_sinusoidal_no,0.246,0.209,516.346,524.754,True,True,True,2.096,-0.849,0,1.0,1.011,1.501,1.003,0.993,0.536,0.276,"[np.float64(556.21), np.float64(698.093375), np.float64(798.483167), np.float64(874.889625), np.float64(1031.934004)]",,,1.515,0.534,,,,
Soybean_yearly_True_window_1_lags_none_sinusoidal_yes_spline,True,1,spline_lags_none_sinusoidal_yes,0.243,0.02,641.2,652.477,True,True,True,1.861,-0.201,0,1.0,1.05,1.033,1.024,0.937,0.924,0.28,"[np.float64(482.346), np.float64(674.561496), np.float64(763.826997), np.float64(841.06856), np.float64(1031.934004)]",,,,,1.031,1.076,0.337,0.974
Soybean_yearly_True_window_1_lags_1_sinusoidal_yes_spline,True,1,spline_lags_1_sinusoidal_yes,0.333,0.019,618.817,631.485,True,True,True,2.253,-0.296,0,1.0,1.038,1.048,1.04,0.86,0.752,0.103,"[np.float64(482.346), np.float64(672.853739), np.float64(760.997747), np.float64(844.1066), np.float64(1031.934004)]",1.017,0.619,,,1.037,1.072,0.37,0.274
Soybean_yearly_True_window_1_lags_7_sinusoidal_yes_spline,True,1,spline_lags_7_sinusoidal_yes,0.279,0.166,519.011,530.221,True,True,True,2.23,-0.85,0,1.0,1.084,1.604,1.045,0.815,0.578,0.381,"[np.float64(556.21), np.float64(698.093375), np.float64(798.483167), np.float64(874.889625), np.float64(1031.934004)]",,,1.547,0.592,1.048,1.138,0.582,0.417
Soybean_yearly_False_window_2_lags_none_sinusoidal_no_spline,False,2,spline_lags_none_sinusoidal_no,0.092,0.03,1025.848,1036.32,True,True,False,1.149,-0.126,0,1.0,1.0,1.0,1.0,0.893,0.543,0.816,"[np.float64(512.6990000000001), np.float64(690.52535), np.float64(803.5514), np.float64(875.984075), np.float64(1049.0683)]",,,,,,,,
