analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Spring_Wheat_yearly_False_window_1_lags_none_sinusoidal_no_linear,False,1,linear_lags_none_sinusoidal_no,0.049,0.347,354.235,356.227,True,True,True,1.759,-0.855,0,1.0,,,,
Spring_Wheat_yearly_False_window_1_lags_none_sinusoidal_yes_linear,False,1,linear_lags_none_sinusoidal_yes,0.113,0.264,356.837,360.82,True,True,True,1.645,-1.131,0,1.0,1.0,1.0,0.674,0.325
Spring_Wheat_yearly_True_window_1_lags_none_sinusoidal_no_linear,True,1,linear_lags_none_sinusoidal_no,0.049,0.347,354.235,356.227,True,True,True,1.759,-0.855,0,1.0,,,,
Spring_Wheat_yearly_True_window_1_lags_none_sinusoidal_yes_linear,True,1,linear_lags_none_sinusoidal_yes,0.113,0.264,356.837,360.82,True,True,True,1.645,-1.131,0,1.0,1.0,1.0,0.674,0.325
Spring_Wheat_yearly_False_window_2_lags_none_sinusoidal_no_linear,False,2,linear_lags_none_sinusoidal_no,0.108,0.157,343.174,345.165,True,True,False,0.977,-1.043,0,1.0,,,,
Spring_Wheat_yearly_False_window_2_lags_none_sinusoidal_yes_linear,False,2,linear_lags_none_sinusoidal_yes,0.114,0.177,347.04,351.023,True,True,False,0.979,-1.07,0,1.0,1.0,1.0,0.89,0.771
Spring_Wheat_yearly_True_window_2_lags_none_sinusoidal_no_linear,True,2,linear_lags_none_sinusoidal_no,0.108,0.157,343.174,345.165,True,True,False,0.977,-1.043,0,1.0,,,,
Spring_Wheat_yearly_True_window_2_lags_none_sinusoidal_yes_linear,True,2,linear_lags_none_sinusoidal_yes,0.114,0.177,347.04,351.023,True,True,False,0.979,-1.07,0,1.0,1.0,1.0,0.89,0.771
Spring_Wheat_yearly_False_window_3_lags_none_sinusoidal_no_linear,False,3,linear_lags_none_sinusoidal_no,0.261,0.021,330.637,332.628,False,True,False,0.777,0.111,0,1.0,,,,
Spring_Wheat_yearly_False_window_3_lags_none_sinusoidal_yes_linear,False,3,linear_lags_none_sinusoidal_yes,0.291,0.022,333.799,337.782,False,True,False,0.633,0.033,0,1.0,1.0,1.0,0.571,0.554
Spring_Wheat_yearly_True_window_3_lags_none_sinusoidal_no_linear,True,3,linear_lags_none_sinusoidal_no,0.261,0.021,330.637,332.628,False,True,False,0.777,0.111,0,1.0,,,,
Spring_Wheat_yearly_True_window_3_lags_none_sinusoidal_yes_linear,True,3,linear_lags_none_sinusoidal_yes,0.291,0.022,333.799,337.782,False,True,False,0.633,0.033,0,1.0,1.0,1.0,0.571,0.554
Spring_Wheat_yearly_False_window_4_lags_none_sinusoidal_no_linear,False,4,linear_lags_none_sinusoidal_no,0.348,0.006,325.447,327.439,False,True,False,0.446,0.322,0,1.0,,,,
Spring_Wheat_yearly_False_window_4_lags_none_sinusoidal_yes_linear,False,4,linear_lags_none_sinusoidal_yes,0.357,0.009,329.167,333.15,True,True,False,0.417,-0.135,0,1.0,1.0,1.0,0.774,0.711
Spring_Wheat_yearly_True_window_4_lags_none_sinusoidal_no_linear,True,4,linear_lags_none_sinusoidal_no,0.348,0.006,325.447,327.439,False,True,False,0.446,0.322,0,1.0,,,,
Spring_Wheat_yearly_True_window_4_lags_none_sinusoidal_yes_linear,True,4,linear_lags_none_sinusoidal_yes,0.357,0.009,329.167,333.15,True,True,False,0.417,-0.135,0,1.0,1.0,1.0,0.774,0.711
