analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Spring_Wheat_yearly_False_window_1_lags_none_sinusoidal_no_piecewise,False,1,piecewise_lags_none_sinusoidal_no,0.43,0.002,346.013,349.0,True,True,True,1.573,0.197,0,5.21,5.21,0.004,349.53050505050504,,,,
Spring_Wheat_yearly_False_window_1_lags_none_sinusoidal_yes_piecewise,False,1,piecewise_lags_none_sinusoidal_yes,0.461,0.004,348.894,353.873,True,True,False,1.492,0.119,0,6.228,6.469,0.007,349.53050505050504,1.196,1.046,0.607,0.435
Spring_Wheat_yearly_True_window_1_lags_none_sinusoidal_no_piecewise,True,1,piecewise_lags_none_sinusoidal_no,0.43,0.002,346.013,349.0,True,True,True,1.573,0.197,0,5.21,5.21,0.004,349.53050505050504,,,,
Spring_Wheat_yearly_True_window_1_lags_none_sinusoidal_yes_piecewise,True,1,piecewise_lags_none_sinusoidal_yes,0.461,0.004,348.894,353.873,True,True,False,1.492,0.119,0,6.228,6.469,0.007,349.53050505050504,1.196,1.046,0.607,0.435
Spring_Wheat_yearly_False_window_2_lags_none_sinusoidal_no_piecewise,False,2,piecewise_lags_none_sinusoidal_no,0.351,0.008,338.811,341.798,False,False,False,1.131,-1.07,0,1.797,1.797,0.022,511.8849939078789,,,,
Spring_Wheat_yearly_False_window_2_lags_none_sinusoidal_yes_piecewise,False,2,piecewise_lags_none_sinusoidal_yes,0.355,0.012,342.7,347.678,False,True,False,1.149,-1.193,0,1.82,1.85,0.032,511.8849939078789,1.017,1.013,0.801,0.898
Spring_Wheat_yearly_True_window_2_lags_none_sinusoidal_no_piecewise,True,2,piecewise_lags_none_sinusoidal_no,0.351,0.008,338.811,341.798,False,False,False,1.131,-1.07,0,1.797,1.797,0.022,511.8849939078789,,,,
Spring_Wheat_yearly_True_window_2_lags_none_sinusoidal_yes_piecewise,True,2,piecewise_lags_none_sinusoidal_yes,0.355,0.012,342.7,347.678,False,True,False,1.149,-1.193,0,1.82,1.85,0.032,511.8849939078789,1.017,1.013,0.801,0.898
Spring_Wheat_yearly_False_window_3_lags_none_sinusoidal_no_piecewise,False,3,piecewise_lags_none_sinusoidal_no,0.572,0.0,321.715,324.703,True,True,True,1.671,0.424,0,2.805,2.805,0.003,457.840901010101,,,,
Spring_Wheat_yearly_False_window_3_lags_none_sinusoidal_yes_piecewise,False,3,piecewise_lags_none_sinusoidal_yes,0.606,0.0,324.03,329.009,True,True,False,1.489,0.421,0,2.873,2.911,0.003,457.840901010101,1.024,1.014,0.356,0.518
Spring_Wheat_yearly_True_window_3_lags_none_sinusoidal_no_piecewise,True,3,piecewise_lags_none_sinusoidal_no,0.572,0.0,321.715,324.703,True,True,True,1.671,0.424,0,2.805,2.805,0.003,457.840901010101,,,,
Spring_Wheat_yearly_True_window_3_lags_none_sinusoidal_yes_piecewise,True,3,piecewise_lags_none_sinusoidal_yes,0.606,0.0,324.03,329.009,True,True,False,1.489,0.421,0,2.873,2.911,0.003,457.840901010101,1.024,1.014,0.356,0.518
Spring_Wheat_yearly_False_window_4_lags_none_sinusoidal_no_piecewise,False,4,piecewise_lags_none_sinusoidal_no,0.675,0.0,313.544,316.531,True,True,False,0.848,0.459,0,2.783,2.783,0.001,440.3278909090909,,,,
Spring_Wheat_yearly_False_window_4_lags_none_sinusoidal_yes_piecewise,False,4,piecewise_lags_none_sinusoidal_yes,0.679,0.0,317.268,322.246,True,True,False,0.852,0.4,0,2.901,2.967,0.001,440.3278909090909,1.016,1.05,0.87,0.672
Spring_Wheat_yearly_True_window_4_lags_none_sinusoidal_no_piecewise,True,4,piecewise_lags_none_sinusoidal_no,0.675,0.0,313.544,316.531,True,True,False,0.848,0.459,0,2.783,2.783,0.001,440.3278909090909,,,,
Spring_Wheat_yearly_True_window_4_lags_none_sinusoidal_yes_piecewise,True,4,piecewise_lags_none_sinusoidal_yes,0.679,0.0,317.268,322.246,True,True,False,0.852,0.4,0,2.901,2.967,0.001,440.3278909090909,1.016,1.05,0.87,0.672
Spring_Wheat_yearly_False_window_5_lags_none_sinusoidal_no_piecewise,False,5,piecewise_lags_none_sinusoidal_no,0.505,0.002,320.202,323.189,True,False,False,0.809,-0.333,0,2.576,2.576,0.018,438.84340606060607,,,,
Spring_Wheat_yearly_False_window_5_lags_none_sinusoidal_yes_piecewise,False,5,piecewise_lags_none_sinusoidal_yes,0.535,0.002,322.957,327.936,True,True,False,0.688,-0.529,0,2.607,2.627,0.021,438.84340606060607,1.02,1.0,0.412,0.629
Spring_Wheat_yearly_True_window_5_lags_none_sinusoidal_no_piecewise,True,5,piecewise_lags_none_sinusoidal_no,0.505,0.002,320.202,323.189,True,False,False,0.809,-0.333,0,2.576,2.576,0.018,438.84340606060607,,,,
Spring_Wheat_yearly_True_window_5_lags_none_sinusoidal_yes_piecewise,True,5,piecewise_lags_none_sinusoidal_yes,0.535,0.002,322.957,327.936,True,True,False,0.688,-0.529,0,2.607,2.627,0.021,438.84340606060607,1.02,1.0,0.412,0.629
Spring_Wheat_yearly_False_window_6_lags_none_sinusoidal_no_piecewise,False,6,piecewise_lags_none_sinusoidal_no,0.441,0.005,321.155,324.142,True,False,False,0.416,0.144,0,2.234,2.234,0.046,440.02592727272724,,,,
Spring_Wheat_yearly_False_window_6_lags_none_sinusoidal_yes_piecewise,False,6,piecewise_lags_none_sinusoidal_yes,0.444,0.01,325.038,330.016,True,True,False,0.447,-0.336,0,2.235,2.235,0.064,440.02592727272724,1.0,1.0,0.972,0.772
Spring_Wheat_yearly_True_window_6_lags_none_sinusoidal_no_piecewise,True,6,piecewise_lags_none_sinusoidal_no,0.441,0.005,321.155,324.142,True,False,False,0.416,0.144,0,2.234,2.234,0.046,440.02592727272724,,,,
Spring_Wheat_yearly_True_window_6_lags_none_sinusoidal_yes_piecewise,True,6,piecewise_lags_none_sinusoidal_yes,0.444,0.01,325.038,330.016,True,True,False,0.447,-0.336,0,2.235,2.235,0.064,440.02592727272724,1.0,1.0,0.972,0.772
Spring_Wheat_yearly_False_window_7_lags_none_sinusoidal_no_piecewise,False,7,piecewise_lags_none_sinusoidal_no,0.425,0.011,315.54,318.527,False,True,False,0.461,0.07,0,1.733,1.733,0.172,471.750374025974,,,,
