analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Spring_Wheat_yearly_False_window_1_lags_none_sinusoidal_no_quadratic,False,1,quadratic_lags_none_sinusoidal_no,0.32,0.2,349.541,352.529,True,True,True,1.569,0.096,0,1.919,1.919,0.019,,,,
Spring_Wheat_yearly_False_window_1_lags_none_sinusoidal_yes_quadratic,False,1,quadratic_lags_none_sinusoidal_yes,0.351,0.158,352.583,357.562,True,True,False,1.498,0.092,0,1.971,2.028,0.033,1.023,1.034,0.544,0.54
Spring_Wheat_yearly_True_window_1_lags_none_sinusoidal_no_quadratic,True,1,quadratic_lags_none_sinusoidal_no,0.32,0.2,349.541,352.529,True,True,True,1.569,0.096,0,1.919,1.919,0.019,,,,
Spring_Wheat_yearly_True_window_1_lags_none_sinusoidal_yes_quadratic,True,1,quadratic_lags_none_sinusoidal_yes,0.351,0.158,352.583,357.562,True,True,False,1.498,0.092,0,1.971,2.028,0.033,1.023,1.034,0.544,0.54
Spring_Wheat_yearly_False_window_2_lags_none_sinusoidal_no_quadratic,False,2,quadratic_lags_none_sinusoidal_no,0.321,0.356,339.712,342.699,True,True,False,0.878,-0.977,0,1.841,1.841,0.034,,,,
Spring_Wheat_yearly_False_window_2_lags_none_sinusoidal_yes_quadratic,False,2,quadratic_lags_none_sinusoidal_yes,0.323,0.378,343.65,348.628,True,True,False,0.902,-1.048,0,1.842,1.844,0.048,1.001,1.0,0.951,0.839
Spring_Wheat_yearly_True_window_2_lags_none_sinusoidal_no_quadratic,True,2,quadratic_lags_none_sinusoidal_no,0.321,0.356,339.712,342.699,True,True,False,0.878,-0.977,0,1.841,1.841,0.034,,,,
Spring_Wheat_yearly_True_window_2_lags_none_sinusoidal_yes_quadratic,True,2,quadratic_lags_none_sinusoidal_yes,0.323,0.378,343.65,348.628,True,True,False,0.902,-1.048,0,1.842,1.844,0.048,1.001,1.0,0.951,0.839
Spring_Wheat_yearly_False_window_3_lags_none_sinusoidal_no_quadratic,False,3,quadratic_lags_none_sinusoidal_no,0.473,0.107,325.851,328.838,True,True,False,1.434,0.283,0,1.907,1.907,0.018,,,,
Spring_Wheat_yearly_False_window_3_lags_none_sinusoidal_yes_quadratic,False,3,quadratic_lags_none_sinusoidal_yes,0.517,0.084,328.146,333.124,True,True,False,1.229,0.226,0,1.941,1.979,0.018,1.033,1.005,0.383,0.466
Spring_Wheat_yearly_True_window_3_lags_none_sinusoidal_no_quadratic,True,3,quadratic_lags_none_sinusoidal_no,0.473,0.107,325.851,328.838,True,True,False,1.434,0.283,0,1.907,1.907,0.018,,,,
Spring_Wheat_yearly_True_window_3_lags_none_sinusoidal_yes_quadratic,True,3,quadratic_lags_none_sinusoidal_yes,0.517,0.084,328.146,333.124,True,True,False,1.229,0.226,0,1.941,1.979,0.018,1.033,1.005,0.383,0.466
Spring_Wheat_yearly_False_window_4_lags_none_sinusoidal_no_quadratic,False,4,quadratic_lags_none_sinusoidal_no,0.571,0.017,319.064,322.052,True,True,False,0.689,0.348,0,1.767,1.767,0.008,,,,
Spring_Wheat_yearly_False_window_4_lags_none_sinusoidal_yes_quadratic,False,4,quadratic_lags_none_sinusoidal_yes,0.575,0.033,322.871,327.85,True,True,False,0.698,0.248,0,1.809,1.863,0.014,1.01,1.045,0.951,0.71
Spring_Wheat_yearly_True_window_4_lags_none_sinusoidal_no_quadratic,True,4,quadratic_lags_none_sinusoidal_no,0.571,0.017,319.064,322.052,True,True,False,0.689,0.348,0,1.767,1.767,0.008,,,,
Spring_Wheat_yearly_True_window_4_lags_none_sinusoidal_yes_quadratic,True,4,quadratic_lags_none_sinusoidal_yes,0.575,0.033,322.871,327.85,True,True,False,0.698,0.248,0,1.809,1.863,0.014,1.01,1.045,0.951,0.71
Spring_Wheat_yearly_False_window_5_lags_none_sinusoidal_no_quadratic,False,5,quadratic_lags_none_sinusoidal_no,0.43,0.034,323.009,325.996,True,True,False,0.615,-0.357,0,1.65,1.65,0.071,,,,
Spring_Wheat_yearly_False_window_5_lags_none_sinusoidal_yes_quadratic,False,5,quadratic_lags_none_sinusoidal_yes,0.463,0.036,325.831,330.81,False,True,False,0.524,-0.737,0,1.669,1.698,0.071,1.029,1.0,0.478,0.548
Spring_Wheat_yearly_True_window_5_lags_none_sinusoidal_no_quadratic,True,5,quadratic_lags_none_sinusoidal_no,0.43,0.034,323.009,325.996,True,True,False,0.615,-0.357,0,1.65,1.65,0.071,,,,
Spring_Wheat_yearly_True_window_5_lags_none_sinusoidal_yes_quadratic,True,5,quadratic_lags_none_sinusoidal_yes,0.463,0.036,325.831,330.81,False,True,False,0.524,-0.737,0,1.669,1.698,0.071,1.029,1.0,0.478,0.548
Spring_Wheat_yearly_False_window_6_lags_none_sinusoidal_no_quadratic,False,6,quadratic_lags_none_sinusoidal_no,0.408,0.014,322.313,325.3,False,True,False,0.372,0.127,0,1.746,1.746,0.082,,,,
Spring_Wheat_yearly_False_window_6_lags_none_sinusoidal_yes_quadratic,False,6,quadratic_lags_none_sinusoidal_yes,0.414,0.022,326.09,331.069,True,True,False,0.412,-0.234,0,1.751,1.757,0.102,1.006,1.0,0.991,0.688
Spring_Wheat_yearly_True_window_6_lags_none_sinusoidal_no_quadratic,True,6,quadratic_lags_none_sinusoidal_no,0.408,0.014,322.313,325.3,False,True,False,0.372,0.127,0,1.746,1.746,0.082,,,,
Spring_Wheat_yearly_True_window_6_lags_none_sinusoidal_yes_quadratic,True,6,quadratic_lags_none_sinusoidal_yes,0.414,0.022,326.09,331.069,True,True,False,0.412,-0.234,0,1.751,1.757,0.102,1.006,1.0,0.991,0.688
Spring_Wheat_yearly_False_window_7_lags_none_sinusoidal_no_quadratic,False,7,quadratic_lags_none_sinusoidal_no,0.423,0.005,315.617,318.605,False,True,False,0.486,0.046,0,1.786,1.786,0.18,,,,
Spring_Wheat_yearly_False_window_7_lags_none_sinusoidal_yes_quadratic,False,7,quadratic_lags_none_sinusoidal_yes,0.439,0.008,319.068,324.046,False,True,False,0.451,-0.107,0,1.818,1.859,0.173,1.033,1.008,0.546,0.849
Spring_Wheat_yearly_True_window_7_lags_none_sinusoidal_no_quadratic,True,7,quadratic_lags_none_sinusoidal_no,0.423,0.005,315.617,318.605,False,True,False,0.486,0.046,0,1.786,1.786,0.18,,,,
Spring_Wheat_yearly_True_window_7_lags_none_sinusoidal_yes_quadratic,True,7,quadratic_lags_none_sinusoidal_yes,0.439,0.008,319.068,324.046,False,True,False,0.451,-0.107,0,1.818,1.859,0.173,1.033,1.008,0.546,0.849
Spring_Wheat_yearly_False_window_8_lags_none_sinusoidal_no_quadratic,False,8,quadratic_lags_none_sinusoidal_no,0.403,0.004,314.515,317.502,False,True,False,0.428,0.057,0,1.835,1.835,0.16,,,,
Spring_Wheat_yearly_False_window_8_lags_none_sinusoidal_yes_quadratic,False,8,quadratic_lags_none_sinusoidal_yes,0.41,0.007,318.288,323.267,False,True,False,0.464,-0.136,0,1.856,1.881,0.198,1.025,1.0,0.869,0.712
Spring_Wheat_yearly_True_window_8_lags_none_sinusoidal_no_quadratic,True,8,quadratic_lags_none_sinusoidal_no,0.403,0.004,314.515,317.502,False,True,False,0.428,0.057,0,1.835,1.835,0.16,,,,
Spring_Wheat_yearly_True_window_8_lags_none_sinusoidal_yes_quadratic,True,8,quadratic_lags_none_sinusoidal_yes,0.41,0.007,318.288,323.267,False,True,False,0.464,-0.136,0,1.856,1.881,0.198,1.025,1.0,0.869,0.712
Spring_Wheat_yearly_False_window_9_lags_none_sinusoidal_no_quadratic,False,9,quadratic_lags_none_sinusoidal_no,0.513,0.001,303.909,306.896,True,True,False,0.915,0.396,0,1.801,1.801,0.144,,,,
Spring_Wheat_yearly_False_window_9_lags_none_sinusoidal_yes_quadratic,False,9,quadratic_lags_none_sinusoidal_yes,0.575,0.001,305.171,310.15,True,True,False,0.779,-0.138,0,1.801,1.801,0.125,1.0,1.0,0.411,0.239
Spring_Wheat_yearly_True_window_9_lags_none_sinusoidal_no_quadratic,True,9,quadratic_lags_none_sinusoidal_no,0.513,0.001,303.909,306.896,True,True,False,0.915,0.396,0,1.801,1.801,0.144,,,,
Spring_Wheat_yearly_True_window_9_lags_none_sinusoidal_yes_quadratic,True,9,quadratic_lags_none_sinusoidal_yes,0.575,0.001,305.171,310.15,True,True,False,0.779,-0.138,0,1.801,1.801,0.125,1.0,1.0,0.411,0.239
Spring_Wheat_yearly_False_window_10_lags_none_sinusoidal_no_quadratic,False,10,quadratic_lags_none_sinusoidal_no,0.533,0.0,300.176,303.164,False,True,False,0.729,0.306,0,1.828,1.828,0.135,,,,
Spring_Wheat_yearly_False_window_10_lags_none_sinusoidal_yes_quadratic,False,10,quadratic_lags_none_sinusoidal_yes,0.572,0.001,302.436,307.415,True,True,False,0.695,0.237,0,1.839,1.852,0.12,1.01,1.003,0.661,0.297
