analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Spring_Wheat_yearly_False_window_1_lags_none_sinusoidal_no_spline,False,1,spline_lags_none_sinusoidal_no,0.404,0.727,350.903,355.882,True,True,True,2.025,-2.972,0,1.0,1.0,1.0,1.0,0.034,0.361,0.226,"[np.float64(229.8), np.float64(365.725), np.float64(436.985), np.float64(558.59), np.float64(724.1)]",,,,
Spring_Wheat_yearly_False_window_1_lags_none_sinusoidal_yes_spline,False,1,spline_lags_none_sinusoidal_yes,0.437,0.516,353.768,360.738,True,True,True,1.893,-191.703,0,1.0,1.08,1.013,1.007,0.06,0.348,0.265,"[np.float64(229.8), np.float64(365.725), np.float64(436.985), np.float64(558.59), np.float64(724.1)]",1.073,1.027,0.519,0.555
Spring_Wheat_yearly_True_window_1_lags_none_sinusoidal_no_spline,True,1,spline_lags_none_sinusoidal_no,0.404,0.727,350.903,355.882,True,True,True,2.025,-2.972,0,1.0,1.0,1.0,1.0,0.034,0.361,0.226,"[np.float64(229.8), np.float64(365.725), np.float64(436.985), np.float64(558.59), np.float64(724.1)]",,,,
Spring_Wheat_yearly_True_window_1_lags_none_sinusoidal_yes_spline,True,1,spline_lags_none_sinusoidal_yes,0.437,0.516,353.768,360.738,True,True,True,1.893,-191.703,0,1.0,1.08,1.013,1.007,0.06,0.348,0.265,"[np.float64(229.8), np.float64(365.725), np.float64(436.985), np.float64(558.59), np.float64(724.1)]",1.073,1.027,0.519,0.555
Spring_Wheat_yearly_False_window_2_lags_none_sinusoidal_no_spline,False,2,spline_lags_none_sinusoidal_no,0.324,0.047,343.628,348.607,True,True,False,0.894,-1.853,0,1.0,1.0,1.0,1.0,0.552,0.062,0.807,"[np.float64(270.4), np.float64(394.25), np.float64(484.66725), np.float64(547.754), np.float64(617.95)]",,,,
Spring_Wheat_yearly_False_window_2_lags_none_sinusoidal_yes_spline,False,2,spline_lags_none_sinusoidal_yes,0.326,0.064,347.577,354.547,True,True,False,0.907,-3.647,0,1.0,1.195,1.004,1.012,0.658,0.082,0.834,"[np.float64(270.4), np.float64(394.25), np.float64(484.66725), np.float64(547.754), np.float64(617.95)]",1.152,1.058,0.945,0.865
Spring_Wheat_yearly_True_window_2_lags_none_sinusoidal_no_spline,True,2,spline_lags_none_sinusoidal_no,0.324,0.047,343.628,348.607,True,True,False,0.894,-1.853,0,1.0,1.0,1.0,1.0,0.552,0.062,0.807,"[np.float64(270.4), np.float64(394.25), np.float64(484.66725), np.float64(547.754), np.float64(617.95)]",,,,
Spring_Wheat_yearly_True_window_2_lags_none_sinusoidal_yes_spline,True,2,spline_lags_none_sinusoidal_yes,0.326,0.064,347.577,354.547,True,True,False,0.907,-3.647,0,1.0,1.195,1.004,1.012,0.658,0.082,0.834,"[np.float64(270.4), np.float64(394.25), np.float64(484.66725), np.float64(547.754), np.float64(617.95)]",1.152,1.058,0.945,0.865
Spring_Wheat_yearly_False_window_3_lags_none_sinusoidal_no_spline,False,3,spline_lags_none_sinusoidal_no,0.487,0.009,329.339,334.318,True,True,True,1.53,-2.301,0,1.0,1.0,1.0,1.0,0.119,0.101,0.613,"[np.float64(300.7), np.float64(403.058333), np.float64(468.38035), np.float64(529.426667), np.float64(591.9666666666667)]",,,,
Spring_Wheat_yearly_False_window_3_lags_none_sinusoidal_yes_spline,False,3,spline_lags_none_sinusoidal_yes,0.524,0.01,331.835,338.805,True,True,False,1.313,-3.665,0,1.0,1.083,1.044,1.127,0.152,0.113,0.745,"[np.float64(300.7), np.float64(403.058333), np.float64(468.38035), np.float64(529.426667), np.float64(591.9666666666667)]",1.038,1.217,0.465,0.555
Spring_Wheat_yearly_True_window_3_lags_none_sinusoidal_no_spline,True,3,spline_lags_none_sinusoidal_no,0.487,0.009,329.339,334.318,True,True,True,1.53,-2.301,0,1.0,1.0,1.0,1.0,0.119,0.101,0.613,"[np.float64(300.7), np.float64(403.058333), np.float64(468.38035), np.float64(529.426667), np.float64(591.9666666666667)]",,,,
Spring_Wheat_yearly_True_window_3_lags_none_sinusoidal_yes_spline,True,3,spline_lags_none_sinusoidal_yes,0.524,0.01,331.835,338.805,True,True,False,1.313,-3.665,0,1.0,1.083,1.044,1.127,0.152,0.113,0.745,"[np.float64(300.7), np.float64(403.058333), np.float64(468.38035), np.float64(529.426667), np.float64(591.9666666666667)]",1.038,1.217,0.465,0.555
Spring_Wheat_yearly_False_window_4_lags_none_sinusoidal_no_spline,False,4,spline_lags_none_sinusoidal_no,0.636,0.001,319.776,324.754,True,True,False,0.68,0.186,0,1.0,1.0,1.0,1.0,0.03,0.068,0.165,"[np.float64(330.09999999999997), np.float64(404.00625), np.float64(468.07375), np.float64(496.527425), np.float64(591.3585)]",,,,
Spring_Wheat_yearly_False_window_4_lags_none_sinusoidal_yes_spline,False,4,spline_lags_none_sinusoidal_yes,0.654,0.002,322.74,329.71,True,True,False,0.673,0.244,0,1.0,1.159,1.014,1.149,0.03,0.088,0.133,"[np.float64(330.09999999999997), np.float64(404.00625), np.float64(468.07375), np.float64(496.527425), np.float64(591.3585)]",1.028,1.293,0.891,0.424
