analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Switchgrass_yearly_False_window_1_lags_none_sinusoidal_no_linear,False,1,linear_lags_none_sinusoidal_no,0.141,0.017,744.252,747.629,True,False,False,2.831,-0.022,0,1.0,,,,,,
Switchgrass_yearly_False_window_1_lags_1_sinusoidal_no_linear,False,1,linear_lags_1_sinusoidal_no,0.146,0.09,728.442,733.432,False,True,False,2.829,0.033,0,1.0,1.0,0.697,,,,
Switchgrass_yearly_False_window_1_lags_none_sinusoidal_yes_linear,False,1,linear_lags_none_sinusoidal_yes,0.223,0.009,744.195,750.951,True,False,False,3.014,-0.045,0,1.0,,,1.0,1.0,0.095,0.361
Switchgrass_yearly_False_window_1_lags_1_sinusoidal_yes_linear,False,1,linear_lags_1_sinusoidal_yes,0.232,0.036,728.302,736.62,True,False,False,3.029,0.01,0,1.0,1.0,0.923,1.0,1.0,0.108,0.309
Switchgrass_yearly_True_window_1_lags_none_sinusoidal_no_linear,True,1,linear_lags_none_sinusoidal_no,0.114,0.114,393.349,395.62,True,True,True,1.78,0.046,0,1.0,,,,,,
Switchgrass_yearly_True_window_1_lags_1_sinusoidal_no_linear,True,1,linear_lags_1_sinusoidal_no,0.129,0.115,378.953,382.226,True,True,True,1.677,-0.164,0,1.0,1.0,0.566,,,,
Switchgrass_yearly_True_window_1_lags_none_sinusoidal_yes_linear,True,1,linear_lags_none_sinusoidal_yes,0.469,0.04,385.571,390.113,True,True,False,2.943,0.287,0,1.0,,,1.0,1.0,0.03,0.025
Switchgrass_yearly_True_window_1_lags_1_sinusoidal_yes_linear,True,1,linear_lags_1_sinusoidal_yes,0.579,0.006,366.986,372.441,True,True,False,3.117,0.229,0,1.0,1.0,0.159,1.0,1.0,0.008,0.014
Switchgrass_yearly_False_window_2_lags_none_sinusoidal_no_linear,False,2,linear_lags_none_sinusoidal_no,0.126,0.025,693.076,696.454,True,True,True,1.831,0.097,0,1.0,,,,,,
Switchgrass_yearly_False_window_2_lags_1_sinusoidal_no_linear,False,2,linear_lags_1_sinusoidal_no,0.127,0.036,678.828,683.819,True,True,True,1.825,0.01,0,1.0,1.0,0.883,,,,
Switchgrass_yearly_False_window_2_lags_none_sinusoidal_yes_linear,False,2,linear_lags_none_sinusoidal_yes,0.306,0.007,687.863,694.618,False,False,True,2.315,0.111,0,1.0,,,1.0,1.0,0.047,0.034
