analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Switchgrass_yearly_False_window_1_lags_none_sinusoidal_no_piecewise,False,1,piecewise_lags_none_sinusoidal_no,0.167,0.011,745.024,750.091,False,True,False,2.794,-0.165,0,1.187,1.187,0.29,936.344196969697,,,,,,
Switchgrass_yearly_False_window_1_lags_1_sinusoidal_no_piecewise,False,1,piecewise_lags_1_sinusoidal_no,0.174,0.048,729.176,735.83,False,True,False,2.798,-0.267,0,1.213,1.304,0.29,933.7195818181818,1.09,0.73,,,,
Switchgrass_yearly_False_window_1_lags_none_sinusoidal_yes_piecewise,False,1,piecewise_lags_none_sinusoidal_yes,0.238,0.009,745.418,753.862,True,False,False,2.962,-0.233,0,1.199,1.261,0.413,936.344196969697,,,1.061,1.001,0.129,0.365
Switchgrass_yearly_False_window_1_lags_1_sinusoidal_yes_piecewise,False,1,piecewise_lags_1_sinusoidal_yes,0.25,0.026,729.397,739.378,True,False,False,2.974,-0.226,0,1.229,1.401,0.385,933.7195818181818,1.097,0.933,1.074,1.0,0.144,0.303
Switchgrass_yearly_True_window_1_lags_none_sinusoidal_no_piecewise,True,1,piecewise_lags_none_sinusoidal_no,0.139,0.089,394.711,398.118,True,True,True,1.782,-0.156,0,1.141,1.141,0.462,938.5307,,,,,,
Switchgrass_yearly_True_window_1_lags_1_sinusoidal_no_piecewise,True,1,piecewise_lags_1_sinusoidal_no,0.147,0.101,380.511,384.875,True,True,True,1.707,-0.598,0,1.181,1.453,0.553,939.25635,1.272,0.723,,,,
Switchgrass_yearly_True_window_1_lags_none_sinusoidal_yes_piecewise,True,1,piecewise_lags_none_sinusoidal_yes,0.469,0.066,387.568,393.245,True,True,False,2.952,-0.293,0,1.168,1.367,0.962,938.5307,,,1.199,1.0,0.041,0.03
Switchgrass_yearly_True_window_1_lags_1_sinusoidal_yes_piecewise,True,1,piecewise_lags_1_sinusoidal_yes,0.594,0.008,368.15,374.696,True,True,False,3.328,-0.298,0,1.234,1.877,0.443,939.25635,1.352,0.118,1.284,1.008,0.007,0.014
Switchgrass_yearly_False_window_2_lags_none_sinusoidal_no_piecewise,False,2,piecewise_lags_none_sinusoidal_no,0.208,0.004,691.162,696.228,False,True,True,1.816,0.161,0,1.1,1.1,0.059,969.47905,,,,,,
Switchgrass_yearly_False_window_2_lags_1_sinusoidal_no_piecewise,False,2,piecewise_lags_1_sinusoidal_no,0.212,0.007,676.819,683.473,True,True,True,1.799,0.177,0,1.108,1.178,0.06,969.6656,1.07,0.941,,,,
Switchgrass_yearly_False_window_2_lags_none_sinusoidal_yes_piecewise,False,2,piecewise_lags_none_sinusoidal_yes,0.337,0.003,688.039,696.483,False,True,True,2.236,0.092,0,1.112,1.232,0.21,969.47905,,,1.096,1.023,0.082,0.062
Switchgrass_yearly_False_window_2_lags_1_sinusoidal_yes_piecewise,False,2,piecewise_lags_1_sinusoidal_yes,0.368,0.002,672.218,682.2,False,True,True,2.318,0.313,0,1.124,1.356,0.223,969.6656,1.081,0.783,1.122,1.029,0.068,0.034
Switchgrass_yearly_True_window_2_lags_none_sinusoidal_no_piecewise,True,2,piecewise_lags_none_sinusoidal_no,0.146,0.2,381.688,385.095,True,True,False,0.598,-0.294,0,2.113,2.113,0.729,765.6656196969698,,,,,,
Switchgrass_yearly_True_window_2_lags_1_sinusoidal_no_piecewise,True,2,piecewise_lags_1_sinusoidal_no,0.149,0.199,368.41,372.774,True,True,False,0.595,-0.002,0,2.106,2.202,0.699,774.8458694444445,1.096,0.91,,,,
Switchgrass_yearly_True_window_2_lags_none_sinusoidal_yes_piecewise,True,2,piecewise_lags_none_sinusoidal_yes,0.746,0.501,357.84,363.517,True,True,True,1.781,0.279,0,2.272,2.415,0.169,765.6656196969698,,,1.133,1.01,0.004,0.0
Switchgrass_yearly_True_window_2_lags_1_sinusoidal_yes_piecewise,True,2,piecewise_lags_1_sinusoidal_yes,0.86,0.043,332.76,339.306,True,True,True,2.188,0.707,0,2.353,2.693,0.135,774.8458694444445,1.118,0.426,1.187,1.036,0.0,0.0
Switchgrass_yearly_False_window_3_lags_none_sinusoidal_no_piecewise,False,3,piecewise_lags_none_sinusoidal_no,0.153,0.035,664.404,669.471,False,True,False,1.143,0.067,0,2.005,2.005,0.277,782.810293939394,,,,,,
Switchgrass_yearly_False_window_3_lags_1_sinusoidal_no_piecewise,False,3,piecewise_lags_1_sinusoidal_no,0.152,0.041,650.964,657.618,False,True,False,1.141,0.015,0,2.089,2.168,0.307,784.3771656565657,1.079,0.711,,,,
Switchgrass_yearly_False_window_3_lags_none_sinusoidal_yes_piecewise,False,3,piecewise_lags_none_sinusoidal_yes,0.528,0.042,645.013,653.458,False,True,True,2.084,0.46,0,2.109,2.212,0.879,782.810293939394,,,1.096,1.008,0.001,0.001
Switchgrass_yearly_False_window_3_lags_1_sinusoidal_yes_piecewise,False,3,piecewise_lags_1_sinusoidal_yes,0.578,0.019,627.733,637.715,False,True,True,2.33,0.477,0,2.246,2.481,0.966,784.3771656565657,1.091,0.3,1.121,1.024,0.0,0.0
Switchgrass_yearly_True_window_3_lags_none_sinusoidal_no_piecewise,True,3,piecewise_lags_none_sinusoidal_no,0.2,0.039,375.814,379.22,True,False,False,0.44,-0.621,0,1.152,1.152,0.216,872.3896868686868,,,,,,
Switchgrass_yearly_True_window_3_lags_1_sinusoidal_no_piecewise,True,3,piecewise_lags_1_sinusoidal_no,0.27,0.05,360.824,365.188,True,True,False,0.546,-0.062,0,1.171,1.19,0.177,871.5046885521886,1.019,0.183,,,,
Switchgrass_yearly_True_window_3_lags_none_sinusoidal_yes_piecewise,True,3,piecewise_lags_none_sinusoidal_yes,0.865,0.0,338.814,344.491,True,True,False,1.4,0.588,0,1.194,1.472,0.391,872.3896868686868,,,1.254,1.024,0.0,0.0
