analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Switchgrass_yearly_False_window_1_lags_none_sinusoidal_no_quadratic,False,1,quadratic_lags_none_sinusoidal_no,0.159,0.017,745.364,750.431,False,True,False,2.815,-0.274,0,1.622,1.622,0.368,,,,,,
Switchgrass_yearly_False_window_1_lags_1_sinusoidal_no_quadratic,False,1,quadratic_lags_1_sinusoidal_no,0.166,0.093,729.509,736.163,False,True,False,2.82,0.013,0,1.584,1.602,0.364,1.018,0.711,,,,
Switchgrass_yearly_False_window_1_lags_none_sinusoidal_yes_quadratic,False,1,quadratic_lags_none_sinusoidal_yes,0.233,0.01,745.702,754.147,True,False,False,2.984,-0.305,0,1.631,1.645,0.514,,,1.014,1.001,0.124,0.369
Switchgrass_yearly_False_window_1_lags_1_sinusoidal_yes_quadratic,False,1,quadratic_lags_1_sinusoidal_yes,0.244,0.041,729.713,739.694,True,False,False,2.997,0.009,0,1.59,1.619,0.483,1.018,0.919,1.01,1.0,0.14,0.308
Switchgrass_yearly_True_window_1_lags_none_sinusoidal_no_quadratic,True,1,quadratic_lags_none_sinusoidal_no,0.115,0.13,395.334,398.741,True,True,True,1.788,0.029,0,1.7,1.7,0.913,,,,,,
Switchgrass_yearly_True_window_1_lags_1_sinusoidal_no_quadratic,True,1,quadratic_lags_1_sinusoidal_no,0.13,0.143,380.949,385.313,True,True,True,1.669,-0.895,0,1.599,1.611,0.955,1.012,0.587,,,,
Switchgrass_yearly_True_window_1_lags_none_sinusoidal_yes_quadratic,True,1,quadratic_lags_none_sinusoidal_yes,0.48,0.042,387.12,392.797,True,True,False,2.992,0.23,0,1.805,1.955,0.558,,,1.016,1.134,0.035,0.024
Switchgrass_yearly_True_window_1_lags_1_sinusoidal_yes_quadratic,True,1,quadratic_lags_1_sinusoidal_yes,0.615,0.004,367.013,373.559,True,True,False,3.273,0.318,0,1.684,1.841,0.238,1.014,0.087,1.029,1.114,0.006,0.008
Switchgrass_yearly_False_window_2_lags_none_sinusoidal_no_quadratic,False,2,quadratic_lags_none_sinusoidal_no,0.159,0.03,693.563,698.63,False,True,True,1.8,0.115,0,1.672,1.672,0.24,,,,,,
Switchgrass_yearly_False_window_2_lags_1_sinusoidal_no_quadratic,False,2,quadratic_lags_1_sinusoidal_no,0.164,0.055,679.144,685.798,True,True,True,1.769,0.05,0,1.612,1.622,0.222,1.01,0.923,,,,
