analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Switchgrass_yearly_False_window_1_lags_none_sinusoidal_no_spline,False,1,spline_lags_none_sinusoidal_no,0.168,0.135,748.951,757.395,False,True,False,2.815,-0.479,0,1.0,1.0,1.0,1.0,0.306,0.697,0.852,"[np.float64(443.231), np.float64(664.92125), np.float64(792.6766), np.float64(897.0818), np.float64(1188.65)]",,,,,,
Switchgrass_yearly_False_window_1_lags_1_sinusoidal_no_spline,False,1,spline_lags_1_sinusoidal_no,0.198,0.276,732.006,741.987,True,True,False,2.781,-0.383,0,1.0,1.041,1.081,1.0,0.291,0.688,0.342,"[np.float64(443.231), np.float64(680.4058), np.float64(797.4088), np.float64(897.8636), np.float64(1188.65)]",1.122,0.701,,,,
Switchgrass_yearly_False_window_1_lags_none_sinusoidal_yes_spline,False,1,spline_lags_none_sinusoidal_yes,0.239,0.079,749.387,761.21,True,False,False,2.966,-0.348,0,1.0,1.008,1.024,1.071,0.439,0.712,0.951,"[np.float64(443.231), np.float64(664.92125), np.float64(792.6766), np.float64(897.0818), np.float64(1188.65)]",,,1.025,1.079,0.136,0.403
Switchgrass_yearly_False_window_1_lags_1_sinusoidal_yes_spline,False,1,spline_lags_1_sinusoidal_yes,0.291,0.11,731.177,744.486,True,True,False,2.979,-0.302,0,1.0,1.046,1.112,1.122,0.429,0.69,0.192,"[np.float64(443.231), np.float64(680.4058), np.float64(797.4088), np.float64(897.8636), np.float64(1188.65)]",1.123,0.965,1.12,1.037,0.077,0.458
Switchgrass_yearly_True_window_1_lags_none_sinusoidal_no_spline,True,1,spline_lags_none_sinusoidal_no,0.176,0.362,397.702,403.38,True,True,True,1.758,-0.237,0,1.0,1.0,1.0,1.0,0.766,0.399,0.471,"[np.float64(468.605), np.float64(660.543044), np.float64(742.8242), np.float64(821.615967), np.float64(1042.051)]",,,,,,
Switchgrass_yearly_True_window_1_lags_1_sinusoidal_no_spline,True,1,spline_lags_1_sinusoidal_no,0.181,0.329,383.617,390.163,True,True,True,1.582,-22.345,0,1.0,1.067,1.094,1.012,0.778,0.45,0.572,"[np.float64(468.605), np.float64(684.046667), np.float64(760.917275), np.float64(874.0952), np.float64(1042.051)]",1.172,0.625,,,,
Switchgrass_yearly_True_window_1_lags_none_sinusoidal_yes_spline,True,1,spline_lags_none_sinusoidal_yes,0.5,0.166,390.224,398.173,True,True,False,2.945,0.145,0,1.0,1.135,1.014,1.119,0.635,0.58,0.521,"[np.float64(468.605), np.float64(660.543044), np.float64(742.8242), np.float64(821.615967), np.float64(1042.051)]",,,1.096,1.172,0.106,0.028
Switchgrass_yearly_True_window_1_lags_1_sinusoidal_yes_spline,True,1,spline_lags_1_sinusoidal_yes,0.648,0.015,369.026,377.754,False,True,False,3.233,-2.712,0,1.0,1.184,1.101,1.02,0.326,0.527,0.278,"[np.float64(468.605), np.float64(684.046667), np.float64(760.917275), np.float64(874.0952), np.float64(1042.051)]",1.181,0.083,1.011,1.112,0.008,0.012
Switchgrass_yearly_False_window_2_lags_none_sinusoidal_no_spline,False,2,spline_lags_none_sinusoidal_no,0.179,0.057,696.582,705.026,True,True,True,1.765,0.074,0,1.0,1.0,1.0,1.0,0.143,0.989,0.976,"[np.float64(514.071), np.float64(740.17495), np.float64(829.558075), np.float64(893.206625), np.float64(1078.0555)]",,,,,,
Switchgrass_yearly_False_window_2_lags_1_sinusoidal_no_spline,False,2,spline_lags_1_sinusoidal_no,0.19,0.124,681.921,691.903,True,True,True,1.746,-1.925,0,1.0,1.019,1.076,1.03,0.131,0.856,0.679,"[np.float64(514.071), np.float64(708.24625), np.float64(814.05125), np.float64(894.06575), np.float64(1078.0555)]",1.125,0.853,,,,
Switchgrass_yearly_False_window_2_lags_none_sinusoidal_yes_spline,False,2,spline_lags_none_sinusoidal_yes,0.332,0.038,692.34,704.162,False,True,True,2.234,0.042,0,1.0,1.051,1.032,1.076,0.337,0.88,0.591,"[np.float64(514.071), np.float64(740.17495), np.float64(829.558075), np.float64(893.206625), np.float64(1078.0555)]",,,1.037,1.123,0.1,0.046
Switchgrass_yearly_False_window_2_lags_1_sinusoidal_yes_spline,False,2,spline_lags_1_sinusoidal_yes,0.361,0.033,676.682,689.99,False,True,True,2.297,-3.932,0,1.0,1.05,1.105,1.08,0.314,0.892,0.875,"[np.float64(514.071), np.float64(708.24625), np.float64(814.05125), np.float64(894.06575), np.float64(1078.0555)]",1.133,0.838,1.028,1.074,0.081,0.036
Switchgrass_yearly_True_window_2_lags_none_sinusoidal_no_spline,True,2,spline_lags_none_sinusoidal_no,0.142,0.133,385.803,391.481,True,True,False,0.586,-0.992,0,1.0,1.0,1.0,1.0,0.924,0.976,0.921,"[np.float64(514.071), np.float64(710.111792), np.float64(782.297908), np.float64(835.328107), np.float64(1008.9157500000001)]",,,,,,
Switchgrass_yearly_True_window_2_lags_1_sinusoidal_no_spline,True,2,spline_lags_1_sinusoidal_no,0.162,0.204,372.061,378.608,False,True,False,0.594,-7.276,0,1.0,1.265,1.047,1.043,0.875,0.931,0.57,"[np.float64(514.071), np.float64(738.007562), np.float64(799.450741), np.float64(837.045054), np.float64(1008.9157500000001)]",1.354,0.983,,,,
Switchgrass_yearly_True_window_2_lags_none_sinusoidal_yes_spline,True,2,spline_lags_none_sinusoidal_yes,0.755,0.014,360.952,368.9,True,True,True,1.944,-0.885,0,1.0,1.079,1.015,1.03,0.211,0.751,0.377,"[np.float64(514.071), np.float64(710.111792), np.float64(782.297908), np.float64(835.328107), np.float64(1008.9157500000001)]",,,1.025,1.099,0.004,0.0
Switchgrass_yearly_True_window_2_lags_1_sinusoidal_yes_spline,True,2,spline_lags_1_sinusoidal_yes,0.869,0.001,335.275,344.003,True,True,True,2.391,-1.285,0,1.0,1.338,1.073,1.123,0.092,0.942,0.865,"[np.float64(514.071), np.float64(738.007562), np.float64(799.450741), np.float64(837.045054), np.float64(1008.9157500000001)]",1.358,0.263,1.036,1.141,0.0,0.0
Switchgrass_yearly_False_window_3_lags_none_sinusoidal_no_spline,False,3,spline_lags_none_sinusoidal_no,0.146,0.047,668.742,677.187,False,True,False,1.141,-0.001,0,1.0,1.0,1.0,1.0,0.393,0.807,0.892,"[np.float64(541.663), np.float64(745.801), np.float64(803.726333), np.float64(856.231471), np.float64(1046.737)]",,,,,,
Switchgrass_yearly_False_window_3_lags_1_sinusoidal_no_spline,False,3,spline_lags_1_sinusoidal_no,0.155,0.051,654.804,664.785,False,True,False,1.216,-1.503,0,1.0,1.015,1.017,1.007,0.423,0.806,0.511,"[np.float64(541.663), np.float64(749.754733), np.float64(811.367667), np.float64(857.791984), np.float64(1046.737)]",1.039,0.739,,,,
Switchgrass_yearly_False_window_3_lags_none_sinusoidal_yes_spline,False,3,spline_lags_none_sinusoidal_yes,0.53,0.005,648.86,660.682,False,True,True,2.127,0.402,0,1.0,1.06,1.044,1.009,0.934,0.98,0.71,"[np.float64(541.663), np.float64(745.801), np.float64(803.726333), np.float64(856.231471), np.float64(1046.737)]",,,1.002,1.111,0.002,0.001
Switchgrass_yearly_False_window_3_lags_1_sinusoidal_yes_spline,False,3,spline_lags_1_sinusoidal_yes,0.581,0.001,631.441,644.749,False,True,True,2.334,-0.406,0,1.0,1.064,1.09,1.064,0.978,0.877,0.648,"[np.float64(541.663), np.float64(749.754733), np.float64(811.367667), np.float64(857.791984), np.float64(1046.737)]",1.045,0.29,1.033,1.14,0.001,0.0
Switchgrass_yearly_True_window_3_lags_none_sinusoidal_no_spline,True,3,spline_lags_none_sinusoidal_no,0.166,0.109,380.77,386.448,True,True,False,0.398,-1.993,0,1.0,1.0,1.0,1.0,0.509,0.662,0.961,"[np.float64(541.663), np.float64(730.050667), np.float64(790.645482), np.float64(853.092984), np.float64(938.5301666666668)]",,,,,,
Switchgrass_yearly_True_window_3_lags_1_sinusoidal_no_spline,True,3,spline_lags_1_sinusoidal_no,0.253,0.187,365.336,371.882,True,True,False,0.538,-0.789,0,1.0,1.06,1.002,1.015,0.272,0.929,0.818,"[np.float64(541.663), np.float64(755.125639), np.float64(784.313434), np.float64(846.080519), np.float64(938.5301666666668)]",1.077,0.183,,,,
Switchgrass_yearly_True_window_3_lags_none_sinusoidal_yes_spline,True,3,spline_lags_none_sinusoidal_yes,0.895,0.0,337.169,345.117,True,True,True,1.78,0.151,0,1.0,1.137,1.09,1.023,0.075,0.284,0.35,"[np.float64(541.663), np.float64(730.050667), np.float64(790.645482), np.float64(853.092984), np.float64(938.5301666666668)]",,,1.096,1.154,0.0,0.0
Switchgrass_yearly_True_window_3_lags_1_sinusoidal_yes_spline,True,3,spline_lags_1_sinusoidal_yes,0.947,0.0,310.942,319.67,True,True,False,2.653,0.812,0,1.0,1.286,1.097,1.016,0.066,0.075,0.228,"[np.float64(541.663), np.float64(755.125639), np.float64(784.313434), np.float64(846.080519), np.float64(938.5301666666668)]",1.086,0.006,1.112,1.2,0.0,0.0
Switchgrass_yearly_False_window_4_lags_none_sinusoidal_no_spline,False,4,spline_lags_none_sinusoidal_no,0.214,0.016,665.823,674.267,False,False,False,1.114,0.039,0,1.0,1.0,1.0,1.0,0.333,0.919,0.559,"[np.float64(566.4775), np.float64(714.401312), np.float64(812.37875), np.float64(845.846125), np.float64(1008.9157500000001)]",,,,,,
Switchgrass_yearly_False_window_4_lags_1_sinusoidal_no_spline,False,4,spline_lags_1_sinusoidal_no,0.237,0.033,651.399,661.38,True,False,False,1.08,-0.025,0,1.0,1.034,1.02,1.022,0.235,0.911,0.974,"[np.float64(566.7423333333334), np.float64(736.709125), np.float64(803.993217), np.float64(840.924825), np.float64(1008.9157500000001)]",1.076,0.279,,,,
Switchgrass_yearly_False_window_4_lags_none_sinusoidal_yes_spline,False,4,spline_lags_none_sinusoidal_yes,0.612,0.002,641.573,653.395,True,True,True,2.164,0.336,0,1.0,1.061,1.093,1.04,0.978,0.273,0.762,"[np.float64(566.4775), np.float64(714.401312), np.float64(812.37875), np.float64(845.846125), np.float64(1008.9157500000001)]",,,1.016,1.178,0.001,0.0
Switchgrass_yearly_False_window_4_lags_1_sinusoidal_yes_spline,False,4,spline_lags_1_sinusoidal_yes,0.654,0.001,624.507,637.816,True,True,True,2.27,0.467,0,1.0,1.116,1.136,1.033,0.819,0.276,0.595,"[np.float64(566.7423333333334), np.float64(736.709125), np.float64(803.993217), np.float64(840.924825), np.float64(1008.9157500000001)]",1.085,0.318,1.015,1.184,0.001,0.0
Switchgrass_yearly_True_window_4_lags_none_sinusoidal_no_spline,True,4,spline_lags_none_sinusoidal_no,0.212,0.103,376.947,382.624,True,True,False,0.39,-27.59,0,1.0,1.0,1.0,1.0,0.239,0.339,0.914,"[np.float64(566.4775), np.float64(757.127842), np.float64(803.253491), np.float64(854.72375), np.float64(934.997625)]",,,,,,
Switchgrass_yearly_True_window_4_lags_1_sinusoidal_no_spline,True,4,spline_lags_1_sinusoidal_no,0.309,0.122,361.439,367.985,True,True,False,0.661,-1.777,0,1.0,1.076,1.014,1.002,0.109,0.33,0.687,"[np.float64(566.7423333333334), np.float64(767.036), np.float64(804.094204), np.float64(846.813537), np.float64(934.997625)]",1.092,0.17,,,,
Switchgrass_yearly_True_window_4_lags_none_sinusoidal_yes_spline,True,4,spline_lags_none_sinusoidal_yes,0.852,0.015,342.493,350.441,True,True,True,1.771,-2.992,0,1.0,1.116,1.195,1.028,0.945,0.243,0.278,"[np.float64(566.4775), np.float64(757.127842), np.float64(803.253491), np.float64(854.72375), np.float64(934.997625)]",,,1.096,1.242,0.001,0.0
Switchgrass_yearly_True_window_4_lags_1_sinusoidal_yes_spline,True,4,spline_lags_1_sinusoidal_yes,0.918,0.001,318.548,327.276,True,True,True,2.364,0.646,0,1.0,1.331,1.346,1.01,0.894,0.068,0.441,"[np.float64(566.7423333333334), np.float64(767.036), np.float64(804.094204), np.float64(846.813537), np.float64(934.997625)]",1.132,0.076,1.14,1.415,0.0,0.0
Switchgrass_yearly_False_window_5_lags_none_sinusoidal_no_spline,False,5,spline_lags_none_sinusoidal_no,0.232,0.024,658.518,666.963,True,True,False,0.924,-0.188,0,1.0,1.0,1.0,1.0,0.274,0.624,0.567,"[np.float64(566.4775), np.float64(745.1698), np.float64(801.160646), np.float64(854.220871), np.float64(968.6262)]",,,,,,
Switchgrass_yearly_False_window_5_lags_1_sinusoidal_no_spline,False,5,spline_lags_1_sinusoidal_no,0.26,0.04,643.26,653.242,True,True,False,0.883,-0.016,0,1.0,1.015,1.015,1.029,0.224,0.725,0.708,"[np.float64(566.7423333333334), np.float64(748.3011), np.float64(798.90544), np.float64(854.797943), np.float64(968.6262)]",1.059,0.191,,,,
Switchgrass_yearly_False_window_5_lags_none_sinusoidal_yes_spline,False,5,spline_lags_none_sinusoidal_yes,0.732,0.003,620.41,632.232,True,True,False,2.569,0.588,0,1.0,1.059,1.171,1.004,0.968,0.003,0.635,"[np.float64(566.4775), np.float64(745.1698), np.float64(801.160646), np.float64(854.220871), np.float64(968.6262)]",,,1.051,1.183,0.0,0.0
Switchgrass_yearly_False_window_5_lags_1_sinusoidal_yes_spline,False,5,spline_lags_1_sinusoidal_yes,0.746,0.001,605.515,618.824,True,True,False,2.569,0.273,0,1.0,1.084,1.231,1.055,0.929,0.007,0.672,"[np.float64(566.7423333333334), np.float64(748.3011), np.float64(798.90544), np.float64(854.797943), np.float64(968.6262)]",1.064,0.096,1.074,1.231,0.0,0.0
Switchgrass_yearly_True_window_5_lags_none_sinusoidal_no_spline,True,5,spline_lags_none_sinusoidal_no,0.198,0.116,373.688,379.365,True,True,False,0.424,-11.263,0,1.0,1.0,1.0,1.0,0.368,0.197,0.849,"[np.float64(566.4775), np.float64(733.110667), np.float64(795.316567), np.float64(846.04605), np.float64(927.2581)]",,,,,,
Switchgrass_yearly_True_window_5_lags_1_sinusoidal_no_spline,True,5,spline_lags_1_sinusoidal_no,0.479,0.091,350.852,357.398,True,True,False,0.957,-1.108,0,1.0,1.155,1.005,1.005,0.098,0.156,0.07,"[np.float64(566.7423333333334), np.float64(763.116522), np.float64(800.5754), np.float64(835.40833), np.float64(927.2581)]",1.166,0.047,,,,
Switchgrass_yearly_True_window_5_lags_none_sinusoidal_yes_spline,True,5,spline_lags_none_sinusoidal_yes,0.932,0.002,320.945,328.893,True,True,True,1.811,0.141,0,1.0,1.106,1.543,1.002,0.412,0.002,0.556,"[np.float64(566.4775), np.float64(733.110667), np.float64(795.316567), np.float64(846.04605), np.float64(927.2581)]",,,1.416,1.235,0.0,0.0
Switchgrass_yearly_True_window_5_lags_1_sinusoidal_yes_spline,True,5,spline_lags_1_sinusoidal_yes,0.971,0.0,291.243,299.971,True,True,False,2.644,0.849,0,1.0,1.511,1.749,1.105,0.509,0.001,0.017,"[np.float64(566.7423333333334), np.float64(763.116522), np.float64(800.5754), np.float64(835.40833), np.float64(927.2581)]",1.191,0.0,1.59,1.584,0.0,0.0
