analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
TG_yearly_False_window_1_lags_none_sinusoidal_no_linear,False,1,linear_lags_none_sinusoidal_no,0.032,0.385,461.536,464.052,True,True,True,2.24,-0.111,0,1.0,,,,
TG_yearly_False_window_1_lags_none_sinusoidal_yes_linear,False,1,linear_lags_none_sinusoidal_yes,0.047,0.449,465.107,470.14,True,True,True,2.249,-0.224,0,1.0,1.0,1.0,0.825,0.583
TG_yearly_True_window_1_lags_none_sinusoidal_no_linear,True,1,linear_lags_none_sinusoidal_no,0.047,0.476,227.323,228.453,True,True,False,2.866,-0.026,0,1.0,,,,
TG_yearly_True_window_1_lags_none_sinusoidal_yes_linear,True,1,linear_lags_none_sinusoidal_yes,0.071,0.557,230.996,233.256,True,True,False,2.87,-0.821,0,1.0,1.0,1.0,0.863,0.67
TG_yearly_False_window_2_lags_none_sinusoidal_no_linear,False,2,linear_lags_none_sinusoidal_no,0.1,0.116,439.48,441.996,True,True,False,1.226,-0.029,0,1.0,,,,
TG_yearly_False_window_2_lags_none_sinusoidal_yes_linear,False,2,linear_lags_none_sinusoidal_yes,0.12,0.151,442.883,447.915,True,True,False,1.236,-0.414,0,1.0,1.0,1.0,0.65,0.595
TG_yearly_True_window_2_lags_none_sinusoidal_no_linear,True,2,linear_lags_none_sinusoidal_no,0.329,0.04,209.151,210.281,True,True,False,1.368,-0.16,0,1.0,,,,
TG_yearly_True_window_2_lags_none_sinusoidal_yes_linear,True,2,linear_lags_none_sinusoidal_yes,0.362,0.066,212.493,214.753,True,True,False,1.367,-1.663,0,1.0,1.0,1.0,0.512,0.973
TG_yearly_False_window_3_lags_none_sinusoidal_no_linear,False,3,linear_lags_none_sinusoidal_no,0.217,0.016,425.251,427.767,True,True,False,1.166,0.177,0,1.0,,,,
TG_yearly_False_window_3_lags_none_sinusoidal_yes_linear,False,3,linear_lags_none_sinusoidal_yes,0.232,0.029,428.75,433.782,True,True,False,1.182,0.127,0,1.0,1.0,1.0,0.788,0.564
TG_yearly_True_window_3_lags_none_sinusoidal_no_linear,True,3,linear_lags_none_sinusoidal_no,0.417,0.017,205.423,206.552,True,True,False,1.269,-0.253,0,1.0,,,,
TG_yearly_True_window_3_lags_none_sinusoidal_yes_linear,True,3,linear_lags_none_sinusoidal_yes,0.436,0.029,209.004,211.264,True,True,False,1.299,-3.334,0,1.0,1.0,1.0,0.636,0.827
TG_yearly_False_window_4_lags_none_sinusoidal_no_linear,False,4,linear_lags_none_sinusoidal_no,0.409,0.0,407.555,410.071,True,True,False,0.56,0.272,0,1.0,,,,
TG_yearly_False_window_4_lags_none_sinusoidal_yes_linear,False,4,linear_lags_none_sinusoidal_yes,0.424,0.001,410.889,415.921,True,True,False,0.574,0.012,0,1.0,1.0,1.0,0.483,0.816
TG_yearly_True_window_4_lags_none_sinusoidal_no_linear,True,4,linear_lags_none_sinusoidal_no,0.427,0.015,202.988,204.118,True,True,False,1.36,-0.01,0,1.0,,,,
TG_yearly_True_window_4_lags_none_sinusoidal_yes_linear,True,4,linear_lags_none_sinusoidal_yes,0.437,0.027,206.742,209.001,True,True,False,1.372,-1.074,0,1.0,1.0,1.0,0.704,0.896
TG_yearly_False_window_5_lags_none_sinusoidal_no_linear,False,5,linear_lags_none_sinusoidal_no,0.463,0.0,403.291,405.807,True,True,False,0.866,0.082,0,1.0,,,,
TG_yearly_False_window_5_lags_none_sinusoidal_yes_linear,False,5,linear_lags_none_sinusoidal_yes,0.476,0.0,406.653,411.685,True,True,False,0.877,-0.165,0,1.0,1.0,1.0,0.552,0.684
TG_yearly_True_window_5_lags_none_sinusoidal_no_linear,True,5,linear_lags_none_sinusoidal_no,0.404,0.02,198.945,200.075,True,True,False,0.598,0.119,0,1.0,,,,
TG_yearly_True_window_5_lags_none_sinusoidal_yes_linear,True,5,linear_lags_none_sinusoidal_yes,0.408,0.037,202.853,205.113,True,True,False,0.61,-0.288,0,1.0,1.0,1.0,0.946,0.813
TG_yearly_False_window_6_lags_none_sinusoidal_no_linear,False,6,linear_lags_none_sinusoidal_no,0.496,0.0,400.306,402.822,True,True,False,0.466,0.33,0,1.0,,,,
TG_yearly_False_window_6_lags_none_sinusoidal_yes_linear,False,6,linear_lags_none_sinusoidal_yes,0.509,0.0,403.623,408.656,True,True,False,0.474,0.145,0,1.0,1.0,1.0,0.484,0.786
TG_yearly_True_window_6_lags_none_sinusoidal_no_linear,True,6,linear_lags_none_sinusoidal_no,0.429,0.015,198.883,200.013,True,True,False,1.024,0.004,0,1.0,,,,
TG_yearly_True_window_6_lags_none_sinusoidal_yes_linear,True,6,linear_lags_none_sinusoidal_yes,0.431,0.031,202.839,205.098,True,True,False,1.065,-1.916,0,1.0,1.0,1.0,0.901,0.903
TG_yearly_False_window_7_lags_none_sinusoidal_no_linear,False,7,linear_lags_none_sinusoidal_no,0.417,0.0,401.536,404.053,True,True,False,0.637,0.366,0,1.0,,,,
TG_yearly_False_window_7_lags_none_sinusoidal_yes_linear,False,7,linear_lags_none_sinusoidal_yes,0.424,0.001,405.25,410.282,True,True,False,0.649,-0.039,0,1.0,1.0,1.0,0.725,0.737
TG_yearly_False_window_8_lags_none_sinusoidal_no_linear,False,8,linear_lags_none_sinusoidal_no,0.479,0.0,395.637,398.153,True,True,False,0.509,0.391,0,1.0,,,,
TG_yearly_False_window_8_lags_none_sinusoidal_yes_linear,False,8,linear_lags_none_sinusoidal_yes,0.483,0.0,399.406,404.438,True,True,False,0.523,0.054,0,1.0,1.0,1.0,0.744,0.771
TG_yearly_False_window_9_lags_none_sinusoidal_no_linear,False,9,linear_lags_none_sinusoidal_no,0.456,0.0,391.68,394.196,True,True,False,0.432,0.433,0,1.0,,,,
