analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
TG_yearly_False_window_1_lags_none_sinusoidal_no_piecewise,False,1,piecewise_lags_none_sinusoidal_no,0.117,0.147,461.127,464.902,True,True,True,2.309,-0.031,0,7.946,7.946,0.149,563.9,,,,
TG_yearly_False_window_1_lags_none_sinusoidal_yes_piecewise,False,1,piecewise_lags_none_sinusoidal_yes,0.183,0.076,463.124,469.415,True,True,True,2.354,-0.168,0,8.303,8.354,0.076,563.9,1.019,1.032,0.409,0.312
TG_yearly_True_window_1_lags_none_sinusoidal_no_piecewise,True,1,piecewise_lags_none_sinusoidal_no,0.091,0.34,228.709,230.404,True,True,False,2.695,-16.783,0,1.253,1.253,0.503,930.0915579733335,,,,
TG_yearly_True_window_1_lags_none_sinusoidal_yes_piecewise,True,1,piecewise_lags_none_sinusoidal_yes,0.152,0.334,231.814,234.639,True,True,False,2.599,-14.982,0,1.305,1.508,0.408,930.0915579733335,1.011,1.193,0.88,0.484
TG_yearly_False_window_2_lags_none_sinusoidal_no_piecewise,False,2,piecewise_lags_none_sinusoidal_no,0.144,0.064,440.174,443.948,True,True,False,1.179,-0.014,0,1.173,1.173,0.288,958.19493885,,,,
TG_yearly_False_window_2_lags_none_sinusoidal_yes_piecewise,False,2,piecewise_lags_none_sinusoidal_yes,0.184,0.061,442.92,449.211,True,True,False,1.219,-0.336,0,1.19,1.288,0.213,958.19493885,1.0,1.097,0.565,0.412
TG_yearly_True_window_2_lags_none_sinusoidal_no_piecewise,True,2,piecewise_lags_none_sinusoidal_no,0.391,0.12,209.894,211.589,True,True,True,1.794,-0.161,0,2.18,2.18,0.337,790.3596565656566,,,,
TG_yearly_True_window_2_lags_none_sinusoidal_yes_piecewise,True,2,piecewise_lags_none_sinusoidal_yes,0.449,0.119,212.577,215.402,True,True,True,1.918,-3.42,0,2.232,2.276,0.292,790.3596565656566,1.007,1.038,0.383,0.989
TG_yearly_False_window_3_lags_none_sinusoidal_no_piecewise,False,3,piecewise_lags_none_sinusoidal_no,0.224,0.046,427.02,430.794,True,True,False,1.167,-0.762,0,1.192,1.192,0.655,918.2144444444446,,,,
TG_yearly_False_window_3_lags_none_sinusoidal_yes_piecewise,False,3,piecewise_lags_none_sinusoidal_yes,0.249,0.046,430.167,436.458,True,True,False,1.206,-1.239,0,1.218,1.354,0.498,918.2144444444446,1.0,1.136,0.714,0.459
TG_yearly_True_window_3_lags_none_sinusoidal_no_piecewise,True,3,piecewise_lags_none_sinusoidal_no,0.677,0.006,199.741,201.436,True,True,False,2.505,0.53,0,2.301,2.301,0.018,783.4525925925925,,,,
TG_yearly_True_window_3_lags_none_sinusoidal_yes_piecewise,True,3,piecewise_lags_none_sinusoidal_yes,0.754,0.005,200.23,203.055,True,True,False,3.183,-3.043,0,2.356,2.398,0.012,783.4525925925925,1.016,1.027,0.364,0.244
TG_yearly_False_window_4_lags_none_sinusoidal_no_piecewise,False,4,piecewise_lags_none_sinusoidal_no,0.457,0.008,407.362,411.136,True,True,False,0.665,0.337,0,1.75,1.75,0.168,811.3651767676768,,,,
TG_yearly_False_window_4_lags_none_sinusoidal_yes_piecewise,False,4,piecewise_lags_none_sinusoidal_yes,0.504,0.004,408.998,415.289,True,True,False,0.785,0.271,0,1.784,1.83,0.08,811.3651767676768,1.007,1.039,0.181,0.787
TG_yearly_True_window_4_lags_none_sinusoidal_no_piecewise,True,4,piecewise_lags_none_sinusoidal_no,0.542,0.028,202.081,203.776,True,True,True,2.099,0.096,0,2.124,2.124,0.145,803.4077777777778,,,,
TG_yearly_True_window_4_lags_none_sinusoidal_yes_piecewise,True,4,piecewise_lags_none_sinusoidal_yes,0.552,0.049,205.794,208.619,True,True,True,2.154,-0.971,0,2.137,2.15,0.191,803.4077777777778,1.007,1.006,0.698,0.902
TG_yearly_False_window_5_lags_none_sinusoidal_no_piecewise,False,5,piecewise_lags_none_sinusoidal_no,0.541,0.026,401.193,404.967,True,False,False,1.276,0.21,0,2.982,2.982,0.06,744.4708585858585,,,,
TG_yearly_False_window_5_lags_none_sinusoidal_yes_piecewise,False,5,piecewise_lags_none_sinusoidal_yes,0.58,0.014,402.885,409.175,True,True,True,1.521,-0.001,0,3.078,3.126,0.033,744.4708585858585,1.022,1.027,0.292,0.378
TG_yearly_True_window_5_lags_none_sinusoidal_no_piecewise,True,5,piecewise_lags_none_sinusoidal_no,0.487,0.044,199.003,200.698,True,True,False,1.135,-0.155,0,1.757,1.757,0.233,826.6691989242424,,,,
TG_yearly_True_window_5_lags_none_sinusoidal_yes_piecewise,True,5,piecewise_lags_none_sinusoidal_yes,0.525,0.059,202.006,204.83,True,True,True,1.6,-3.516,0,1.774,1.797,0.199,826.6691989242424,1.001,1.022,0.448,0.919
TG_yearly_False_window_6_lags_none_sinusoidal_no_piecewise,False,6,piecewise_lags_none_sinusoidal_no,0.666,0.0,391.591,395.365,True,True,False,1.05,0.478,0,2.23,2.23,0.002,789.3486784511784,,,,
TG_yearly_False_window_6_lags_none_sinusoidal_yes_piecewise,False,6,piecewise_lags_none_sinusoidal_yes,0.717,0.0,391.261,397.552,True,True,False,1.407,0.432,0,2.246,2.259,0.001,789.3486784511784,1.002,1.012,0.074,0.613
TG_yearly_True_window_6_lags_none_sinusoidal_no_piecewise,True,6,piecewise_lags_none_sinusoidal_no,0.485,0.072,199.542,201.237,True,True,True,1.614,-50239.29,0,2.243,2.243,0.322,803.4603939393938,,,,
TG_yearly_True_window_6_lags_none_sinusoidal_yes_piecewise,True,6,piecewise_lags_none_sinusoidal_yes,0.489,0.108,203.443,206.268,True,True,True,1.693,-74117.159,0,2.331,2.401,0.369,803.4603939393938,1.026,1.045,0.812,0.985
TG_yearly_False_window_7_lags_none_sinusoidal_no_piecewise,False,7,piecewise_lags_none_sinusoidal_no,0.584,0.0,394.794,398.568,True,True,False,1.216,0.557,0,2.266,2.266,0.006,791.8778095238094,,,,
TG_yearly_False_window_7_lags_none_sinusoidal_yes_piecewise,False,7,piecewise_lags_none_sinusoidal_yes,0.601,0.0,397.677,403.967,True,True,False,1.301,0.26,0,2.294,2.317,0.006,791.8778095238094,1.018,1.005,0.499,0.51
TG_yearly_False_window_8_lags_none_sinusoidal_no_piecewise,False,8,piecewise_lags_none_sinusoidal_no,0.615,0.0,389.745,393.519,True,True,False,0.962,0.54,0,2.129,2.129,0.009,804.6084797979798,,,,
TG_yearly_False_window_8_lags_none_sinusoidal_yes_piecewise,False,8,piecewise_lags_none_sinusoidal_yes,0.625,0.0,393.051,399.342,True,True,False,1.045,0.294,0,2.137,2.145,0.01,804.6084797979798,1.006,1.001,0.461,0.953
TG_yearly_False_window_9_lags_none_sinusoidal_no_piecewise,False,9,piecewise_lags_none_sinusoidal_no,0.59,0.0,386.301,390.076,True,True,False,0.946,0.516,0,2.147,2.147,0.011,802.8990235690236,,,,
TG_yearly_False_window_9_lags_none_sinusoidal_yes_piecewise,False,9,piecewise_lags_none_sinusoidal_yes,0.601,0.001,389.633,395.923,True,True,False,1.047,0.336,0,2.168,2.187,0.013,802.8990235690236,1.013,1.006,0.468,0.979
TG_yearly_False_window_10_lags_none_sinusoidal_no_piecewise,False,10,piecewise_lags_none_sinusoidal_no,0.648,0.0,381.624,385.399,True,True,False,0.657,0.593,0,1.951,1.951,0.01,816.3585606534905,,,,
TG_yearly_False_window_10_lags_none_sinusoidal_yes_piecewise,False,10,piecewise_lags_none_sinusoidal_yes,0.67,0.0,383.968,390.259,True,True,False,0.831,0.561,0,1.978,2.006,0.008,816.3585606534905,1.003,1.025,0.257,0.817
