analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
TG_yearly_False_window_1_lags_none_sinusoidal_no_quadratic,False,1,quadratic_lags_none_sinusoidal_no,0.056,0.356,462.861,466.636,True,True,True,2.216,-0.172,0,1.574,1.574,0.445,,,,
TG_yearly_False_window_1_lags_none_sinusoidal_yes_quadratic,False,1,quadratic_lags_none_sinusoidal_yes,0.095,0.443,465.778,472.068,False,True,True,2.227,-0.837,0,1.67,1.838,0.306,1.004,1.163,0.896,0.364
TG_yearly_True_window_1_lags_none_sinusoidal_no_quadratic,True,1,quadratic_lags_none_sinusoidal_no,0.084,0.459,228.807,230.502,True,True,False,2.759,-4.248,0,1.574,1.574,0.539,,,,
TG_yearly_True_window_1_lags_none_sinusoidal_yes_quadratic,True,1,quadratic_lags_none_sinusoidal_yes,0.142,0.561,231.962,234.787,True,True,False,2.687,-4.333,0,1.67,1.838,0.439,1.004,1.163,0.921,0.493
TG_yearly_False_window_2_lags_none_sinusoidal_no_quadratic,False,2,quadratic_lags_none_sinusoidal_no,0.117,0.107,440.968,444.742,True,True,False,1.201,-0.231,0,1.409,1.409,0.506,,,,
TG_yearly_False_window_2_lags_none_sinusoidal_yes_quadratic,False,2,quadratic_lags_none_sinusoidal_yes,0.149,0.14,444.005,450.295,True,True,False,1.224,-0.239,0,1.439,1.51,0.405,1.003,1.069,0.622,0.47
TG_yearly_True_window_2_lags_none_sinusoidal_no_quadratic,True,2,quadratic_lags_none_sinusoidal_no,0.342,0.05,210.885,212.58,True,True,False,1.455,-0.67,0,1.425,1.425,0.659,,,,
TG_yearly_True_window_2_lags_none_sinusoidal_yes_quadratic,True,2,quadratic_lags_none_sinusoidal_yes,0.4,0.064,213.684,216.509,True,True,True,1.555,-43.285,0,1.485,1.626,0.494,1.133,1.007,0.405,0.971
TG_yearly_False_window_3_lags_none_sinusoidal_no_quadratic,False,3,quadratic_lags_none_sinusoidal_no,0.22,0.02,427.152,430.926,True,True,False,1.171,-0.067,0,1.516,1.516,0.77,,,,
TG_yearly_False_window_3_lags_none_sinusoidal_yes_quadratic,False,3,quadratic_lags_none_sinusoidal_yes,0.242,0.028,430.42,436.71,True,True,False,1.203,-0.093,0,1.58,1.703,0.61,1.026,1.097,0.72,0.498
TG_yearly_True_window_3_lags_none_sinusoidal_no_quadratic,True,3,quadratic_lags_none_sinusoidal_no,0.516,0.009,205.015,206.71,True,True,True,1.637,-0.01,0,1.998,1.998,0.184,,,,
TG_yearly_True_window_3_lags_none_sinusoidal_yes_quadratic,True,3,quadratic_lags_none_sinusoidal_yes,0.641,0.007,205.144,207.969,True,True,True,2.396,-2.581,0,2.334,2.67,0.065,1.209,1.127,0.175,0.374
TG_yearly_False_window_4_lags_none_sinusoidal_no_quadratic,False,4,quadratic_lags_none_sinusoidal_no,0.43,0.0,408.606,412.381,True,True,False,0.594,0.267,0,1.469,1.469,0.365,,,,
TG_yearly_False_window_4_lags_none_sinusoidal_yes_quadratic,False,4,quadratic_lags_none_sinusoidal_yes,0.469,0.0,410.739,417.03,True,True,False,0.673,0.286,0,1.547,1.714,0.193,1.135,1.032,0.243,0.712
TG_yearly_True_window_4_lags_none_sinusoidal_no_quadratic,True,4,quadratic_lags_none_sinusoidal_no,0.528,0.012,202.451,204.146,True,True,True,1.74,0.136,0,1.951,1.951,0.173,,,,
TG_yearly_True_window_4_lags_none_sinusoidal_yes_quadratic,True,4,quadratic_lags_none_sinusoidal_yes,0.556,0.021,205.654,208.479,True,True,True,1.896,-1.084,0,2.06,2.174,0.181,1.036,1.079,0.519,0.803
TG_yearly_False_window_5_lags_none_sinusoidal_no_quadratic,False,5,quadratic_lags_none_sinusoidal_no,0.503,0.0,403.235,407.009,True,True,False,0.984,-0.117,0,1.685,1.685,0.182,,,,
TG_yearly_False_window_5_lags_none_sinusoidal_yes_quadratic,False,5,quadratic_lags_none_sinusoidal_yes,0.563,0.0,403.889,410.18,True,True,False,1.238,-0.346,0,1.847,2.083,0.053,1.153,1.083,0.148,0.366
TG_yearly_True_window_5_lags_none_sinusoidal_no_quadratic,True,5,quadratic_lags_none_sinusoidal_no,0.458,0.016,199.721,201.416,True,True,False,0.913,-0.197,0,1.88,1.88,0.344,,,,
TG_yearly_True_window_5_lags_none_sinusoidal_yes_quadratic,True,5,quadratic_lags_none_sinusoidal_yes,0.484,0.027,203.087,205.912,True,True,False,1.207,-3.244,0,2.217,2.599,0.312,1.304,1.078,0.545,0.964
TG_yearly_False_window_6_lags_none_sinusoidal_no_quadratic,False,6,quadratic_lags_none_sinusoidal_no,0.582,0.0,397.445,401.219,True,True,False,0.643,0.371,0,2.094,2.094,0.04,,,,
TG_yearly_False_window_6_lags_none_sinusoidal_yes_quadratic,False,6,quadratic_lags_none_sinusoidal_yes,0.678,0.0,394.653,400.944,True,True,False,1.12,0.339,0,2.438,2.753,0.003,1.301,1.014,0.023,0.529
TG_yearly_True_window_6_lags_none_sinusoidal_no_quadratic,True,6,quadratic_lags_none_sinusoidal_no,0.473,0.023,199.831,201.526,True,True,False,1.381,-11.341,0,1.907,1.907,0.38,,,,
TG_yearly_True_window_6_lags_none_sinusoidal_yes_quadratic,True,6,quadratic_lags_none_sinusoidal_yes,0.481,0.049,203.643,206.468,True,True,False,1.483,-276.913,0,2.058,2.223,0.406,1.062,1.104,0.778,0.856
TG_yearly_False_window_7_lags_none_sinusoidal_no_quadratic,False,7,quadratic_lags_none_sinusoidal_no,0.532,0.0,397.847,401.622,True,True,False,0.89,0.502,0,2.094,2.094,0.026,,,,
TG_yearly_False_window_7_lags_none_sinusoidal_yes_quadratic,False,7,quadratic_lags_none_sinusoidal_yes,0.589,0.0,398.472,404.763,True,True,False,1.174,0.24,0,2.32,2.526,0.008,1.188,1.018,0.134,0.45
TG_yearly_False_window_8_lags_none_sinusoidal_no_quadratic,False,8,quadratic_lags_none_sinusoidal_no,0.589,0.0,391.483,395.257,True,True,False,0.727,0.54,0,2.041,2.041,0.021,,,,
TG_yearly_False_window_8_lags_none_sinusoidal_yes_quadratic,False,8,quadratic_lags_none_sinusoidal_yes,0.613,0.0,393.889,400.179,True,True,False,0.882,0.273,0,2.173,2.301,0.015,1.1,1.027,0.263,0.92
TG_yearly_False_window_9_lags_none_sinusoidal_no_quadratic,False,9,quadratic_lags_none_sinusoidal_no,0.54,0.0,389.33,393.105,True,True,False,0.674,0.502,0,2.063,2.063,0.052,,,,
TG_yearly_False_window_9_lags_none_sinusoidal_yes_quadratic,False,9,quadratic_lags_none_sinusoidal_yes,0.566,0.0,391.814,398.104,True,False,False,0.861,0.264,0,2.38,2.678,0.034,1.265,1.033,0.275,0.999
TG_yearly_False_window_10_lags_none_sinusoidal_no_quadratic,False,10,quadratic_lags_none_sinusoidal_no,0.608,0.0,384.451,388.225,True,True,False,0.486,0.556,0,2.053,2.053,0.041,,,,
TG_yearly_False_window_10_lags_none_sinusoidal_yes_quadratic,False,10,quadratic_lags_none_sinusoidal_yes,0.632,0.0,386.78,393.07,True,False,False,0.63,0.458,0,2.349,2.631,0.027,1.203,1.078,0.251,0.872
