analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Winter_Wheat_yearly_False_window_1_lags_none_sinusoidal_no_linear,False,1,linear_lags_none_sinusoidal_no,0.263,0.012,418.152,420.423,True,True,True,2.284,-0.031,0,1.0,,,,
Winter_Wheat_yearly_False_window_1_lags_none_sinusoidal_yes_linear,False,1,linear_lags_none_sinusoidal_yes,0.374,0.005,418.379,422.921,True,True,True,2.097,-0.45,0,1.0,1.0,1.0,0.098,0.566
Winter_Wheat_yearly_True_window_1_lags_none_sinusoidal_no_linear,True,1,linear_lags_none_sinusoidal_no,0.327,0.01,333.797,335.686,True,True,False,2.549,0.323,0,1.0,,,,
Winter_Wheat_yearly_True_window_1_lags_none_sinusoidal_yes_linear,True,1,linear_lags_none_sinusoidal_yes,0.602,0.0,327.814,331.592,True,True,True,1.769,0.272,0,1.0,1.0,1.0,0.006,0.522
Winter_Wheat_yearly_False_window_2_lags_none_sinusoidal_no_linear,False,2,linear_lags_none_sinusoidal_no,0.213,0.026,400.145,402.416,True,True,False,0.978,0.095,0,1.0,,,,
Winter_Wheat_yearly_False_window_2_lags_none_sinusoidal_yes_linear,False,2,linear_lags_none_sinusoidal_yes,0.254,0.026,402.914,407.456,True,True,False,1.014,-0.396,0,1.0,1.0,1.0,0.464,0.502
Winter_Wheat_yearly_True_window_2_lags_none_sinusoidal_no_linear,True,2,linear_lags_none_sinusoidal_no,0.497,0.001,317.015,318.904,True,True,False,1.308,0.406,0,1.0,,,,
Winter_Wheat_yearly_True_window_2_lags_none_sinusoidal_yes_linear,True,2,linear_lags_none_sinusoidal_yes,0.545,0.001,319.125,322.903,True,True,False,1.356,0.173,0,1.0,1.0,1.0,0.242,0.753
Winter_Wheat_yearly_False_window_3_lags_none_sinusoidal_no_linear,False,3,linear_lags_none_sinusoidal_no,0.277,0.01,389.266,391.537,True,True,False,0.9,0.211,0,1.0,,,,
Winter_Wheat_yearly_False_window_3_lags_none_sinusoidal_yes_linear,False,3,linear_lags_none_sinusoidal_yes,0.393,0.014,389.242,393.784,True,True,False,0.904,0.295,0,1.0,1.0,1.0,0.803,0.074
Winter_Wheat_yearly_True_window_3_lags_none_sinusoidal_no_linear,True,3,linear_lags_none_sinusoidal_no,0.592,0.0,299.27,301.159,True,True,False,1.359,0.537,0,1.0,,,,
Winter_Wheat_yearly_True_window_3_lags_none_sinusoidal_yes_linear,True,3,linear_lags_none_sinusoidal_yes,0.623,0.0,301.783,305.561,True,True,False,1.335,0.509,0,1.0,1.0,1.0,0.574,0.356
Winter_Wheat_yearly_False_window_4_lags_none_sinusoidal_no_linear,False,4,linear_lags_none_sinusoidal_no,0.307,0.006,376.62,378.891,True,True,False,0.739,0.3,0,1.0,,,,
Winter_Wheat_yearly_False_window_4_lags_none_sinusoidal_yes_linear,False,4,linear_lags_none_sinusoidal_yes,0.354,0.011,379.001,383.543,False,True,False,0.713,0.232,0,1.0,1.0,1.0,0.961,0.254
Winter_Wheat_yearly_True_window_4_lags_none_sinusoidal_no_linear,True,4,linear_lags_none_sinusoidal_no,0.635,0.0,291.27,293.159,True,True,False,0.908,0.571,0,1.0,,,,
Winter_Wheat_yearly_True_window_4_lags_none_sinusoidal_yes_linear,True,4,linear_lags_none_sinusoidal_yes,0.682,0.0,292.639,296.417,True,True,False,0.662,0.6,0,1.0,1.0,1.0,0.83,0.161
Winter_Wheat_yearly_False_window_5_lags_none_sinusoidal_no_linear,False,5,linear_lags_none_sinusoidal_no,0.432,0.001,369.075,371.346,True,True,False,0.927,0.315,0,1.0,,,,
