analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Winter_Wheat_yearly_False_window_1_lags_none_sinusoidal_no_piecewise,False,1,piecewise_lags_none_sinusoidal_no,0.329,0.906,417.997,421.403,True,True,True,1.951,0.145,0,3.652,3.652,0.176,875.159553939394,,,,
Winter_Wheat_yearly_False_window_1_lags_none_sinusoidal_yes_piecewise,False,1,piecewise_lags_none_sinusoidal_yes,0.436,0.939,418.009,423.686,True,True,True,1.862,-0.673,0,3.745,3.78,0.179,875.159553939394,1.008,1.027,0.185,0.294
Winter_Wheat_yearly_True_window_1_lags_none_sinusoidal_no_piecewise,True,1,piecewise_lags_none_sinusoidal_no,0.364,0.798,334.721,337.554,True,True,True,2.338,-0.012,0,3.035,3.035,0.349,893.3139393939394,,,,
Winter_Wheat_yearly_True_window_1_lags_none_sinusoidal_yes_piecewise,True,1,piecewise_lags_none_sinusoidal_yes,0.606,0.204,329.632,334.355,True,True,True,1.74,-0.56,0,3.139,3.191,0.719,893.3139393939394,1.034,1.018,0.013,0.503
Winter_Wheat_yearly_False_window_2_lags_none_sinusoidal_no_piecewise,False,2,piecewise_lags_none_sinusoidal_no,0.251,0.041,401.014,404.42,True,True,False,1.177,-0.291,0,1.454,1.454,0.327,1012.7621870066669,,,,
Winter_Wheat_yearly_False_window_2_lags_none_sinusoidal_yes_piecewise,False,2,piecewise_lags_none_sinusoidal_yes,0.279,0.07,404.151,409.829,True,True,False,1.143,-1.068,0,1.497,1.593,0.446,1012.7621870066669,1.044,1.052,0.449,0.79
Winter_Wheat_yearly_True_window_2_lags_none_sinusoidal_no_piecewise,True,2,piecewise_lags_none_sinusoidal_no,0.547,0.002,317.037,319.87,True,True,False,1.453,0.439,0,1.838,1.838,0.204,1010.9009657107069,,,,
Winter_Wheat_yearly_True_window_2_lags_none_sinusoidal_yes_piecewise,True,2,piecewise_lags_none_sinusoidal_yes,0.58,0.003,319.602,324.324,True,True,False,1.417,-0.542,0,2.013,2.222,0.298,1010.9009657107069,1.151,1.058,0.313,0.981
Winter_Wheat_yearly_False_window_3_lags_none_sinusoidal_no_piecewise,False,3,piecewise_lags_none_sinusoidal_no,0.435,0.001,385.578,388.984,True,True,False,0.96,0.224,0,1.11,1.11,0.028,1098.5277129358249,,,,
Winter_Wheat_yearly_False_window_3_lags_none_sinusoidal_yes_piecewise,False,3,piecewise_lags_none_sinusoidal_yes,0.481,0.004,387.644,393.322,True,True,False,0.926,0.067,0,1.121,1.227,0.098,1098.5277129358249,1.016,1.091,0.772,0.237
Winter_Wheat_yearly_True_window_3_lags_none_sinusoidal_no_piecewise,True,3,piecewise_lags_none_sinusoidal_no,0.719,0.0,294.206,297.04,True,True,True,1.724,0.653,0,1.22,1.22,0.016,1059.689870849697,,,,
Winter_Wheat_yearly_True_window_3_lags_none_sinusoidal_yes_piecewise,True,3,piecewise_lags_none_sinusoidal_yes,0.723,0.0,297.906,302.629,True,True,True,1.669,-1.294,0,1.23,1.272,0.041,1059.689870849697,1.001,1.042,0.788,0.696
