analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Winter_Wheat_yearly_False_window_1_lags_none_sinusoidal_no_quadratic,False,1,quadratic_lags_none_sinusoidal_no,0.294,0.009,419.158,422.565,True,True,True,2.081,0.006,0,1.352,1.352,0.359,,,,
Winter_Wheat_yearly_False_window_1_lags_none_sinusoidal_yes_quadratic,False,1,quadratic_lags_none_sinusoidal_yes,0.405,0.004,419.234,424.911,True,True,True,1.98,-1.985,0,1.456,1.751,0.35,1.113,1.182,0.16,0.362
Winter_Wheat_yearly_True_window_1_lags_none_sinusoidal_no_quadratic,True,1,quadratic_lags_none_sinusoidal_no,0.344,0.011,335.314,338.147,True,True,True,2.412,0.018,0,1.337,1.337,0.53,,,,
Winter_Wheat_yearly_True_window_1_lags_none_sinusoidal_yes_quadratic,True,1,quadratic_lags_none_sinusoidal_yes,0.602,0.001,329.809,334.532,True,True,True,1.766,-1.381,0,1.417,1.652,0.953,1.145,1.091,0.012,0.543
Winter_Wheat_yearly_False_window_2_lags_none_sinusoidal_no_quadratic,False,2,quadratic_lags_none_sinusoidal_no,0.227,0.026,401.73,405.136,True,True,False,1.132,-0.588,0,1.531,1.531,0.553,,,,
Winter_Wheat_yearly_False_window_2_lags_none_sinusoidal_yes_quadratic,False,2,quadratic_lags_none_sinusoidal_yes,0.261,0.034,404.708,410.386,True,True,False,1.104,-0.82,0,1.642,1.851,0.692,1.0,1.208,0.449,0.684
Winter_Wheat_yearly_True_window_2_lags_none_sinusoidal_no_quadratic,True,2,quadratic_lags_none_sinusoidal_no,0.528,0.004,317.842,320.676,True,True,False,1.373,0.404,0,1.672,1.672,0.328,,,,
Winter_Wheat_yearly_True_window_2_lags_none_sinusoidal_yes_quadratic,True,2,quadratic_lags_none_sinusoidal_yes,0.571,0.004,320.008,324.73,True,True,False,1.349,-0.419,0,1.717,1.784,0.373,1.026,1.041,0.254,0.946
Winter_Wheat_yearly_False_window_3_lags_none_sinusoidal_no_quadratic,False,3,quadratic_lags_none_sinusoidal_no,0.333,0.009,389.391,392.798,True,True,False,1.096,-0.123,0,1.955,1.955,0.207,,,,
Winter_Wheat_yearly_False_window_3_lags_none_sinusoidal_yes_quadratic,False,3,quadratic_lags_none_sinusoidal_yes,0.433,0.013,389.656,395.334,True,True,False,1.024,-0.242,0,1.985,2.016,0.272,1.02,1.011,0.911,0.092
Winter_Wheat_yearly_True_window_3_lags_none_sinusoidal_no_quadratic,True,3,quadratic_lags_none_sinusoidal_no,0.672,0.003,297.134,299.967,True,True,False,1.483,0.25,0,1.572,1.572,0.066,,,,
Winter_Wheat_yearly_True_window_3_lags_none_sinusoidal_yes_quadratic,True,3,quadratic_lags_none_sinusoidal_yes,0.69,0.005,300.062,304.784,True,True,False,1.413,-0.453,0,1.635,1.746,0.104,1.101,1.01,0.85,0.39
Winter_Wheat_yearly_False_window_4_lags_none_sinusoidal_no_quadratic,False,4,quadratic_lags_none_sinusoidal_no,0.394,0.01,375.549,378.955,False,True,False,1.159,0.199,0,1.746,1.746,0.106,,,,
Winter_Wheat_yearly_False_window_4_lags_none_sinusoidal_yes_quadratic,False,4,quadratic_lags_none_sinusoidal_yes,0.433,0.019,378.009,383.686,False,True,False,1.12,0.19,0,1.768,1.797,0.131,1.015,1.014,0.747,0.3
Winter_Wheat_yearly_True_window_4_lags_none_sinusoidal_no_quadratic,True,4,quadratic_lags_none_sinusoidal_no,0.673,0.0,291.218,294.051,True,True,False,1.239,0.569,0,2.049,2.049,0.196,,,,
Winter_Wheat_yearly_True_window_4_lags_none_sinusoidal_yes_quadratic,True,4,quadratic_lags_none_sinusoidal_yes,0.719,0.0,292.313,297.035,True,True,False,0.99,0.575,0,2.076,2.101,0.198,1.022,1.003,0.709,0.164
Winter_Wheat_yearly_False_window_5_lags_none_sinusoidal_no_quadratic,False,5,quadratic_lags_none_sinusoidal_no,0.473,0.002,369.36,372.766,False,True,False,1.122,0.342,0,1.864,1.864,0.228,,,,
Winter_Wheat_yearly_False_window_5_lags_none_sinusoidal_yes_quadratic,False,5,quadratic_lags_none_sinusoidal_yes,0.528,0.005,370.82,376.497,True,True,False,1.44,0.33,0,1.915,1.975,0.235,1.006,1.054,0.247,0.42
Winter_Wheat_yearly_True_window_5_lags_none_sinusoidal_no_quadratic,True,5,quadratic_lags_none_sinusoidal_no,0.68,0.0,287.148,289.981,True,True,False,1.327,0.572,0,2.244,2.244,0.236,,,,
Winter_Wheat_yearly_True_window_5_lags_none_sinusoidal_yes_quadratic,True,5,quadratic_lags_none_sinusoidal_yes,0.691,0.001,290.511,295.233,True,True,False,1.207,0.455,0,2.298,2.342,0.275,1.043,1.001,0.635,0.617
Winter_Wheat_yearly_False_window_6_lags_none_sinusoidal_no_quadratic,False,6,quadratic_lags_none_sinusoidal_no,0.7,0.0,347.64,351.047,True,True,False,1.14,0.64,0,1.78,1.78,0.107,,,,
Winter_Wheat_yearly_False_window_6_lags_none_sinusoidal_yes_quadratic,False,6,quadratic_lags_none_sinusoidal_yes,0.718,0.0,350.237,355.915,True,True,False,1.275,0.585,0,1.794,1.812,0.121,1.008,1.01,0.341,0.657
Winter_Wheat_yearly_True_window_6_lags_none_sinusoidal_no_quadratic,True,6,quadratic_lags_none_sinusoidal_no,0.818,0.0,274.934,277.768,True,True,False,1.139,0.806,0,1.997,1.997,0.126,,,,
Winter_Wheat_yearly_True_window_6_lags_none_sinusoidal_yes_quadratic,True,6,quadratic_lags_none_sinusoidal_yes,0.818,0.0,278.904,283.627,True,True,False,1.128,0.785,0,2.002,2.007,0.153,1.004,1.001,0.957,0.894
Winter_Wheat_yearly_False_window_7_lags_none_sinusoidal_no_quadratic,False,7,quadratic_lags_none_sinusoidal_no,0.774,0.0,334.046,337.453,True,True,False,1.495,0.695,0,1.758,1.758,0.036,,,,
Winter_Wheat_yearly_False_window_7_lags_none_sinusoidal_yes_quadratic,False,7,quadratic_lags_none_sinusoidal_yes,0.86,0.0,327.142,332.82,True,True,True,1.7,0.779,0,1.819,1.899,0.014,1.026,1.055,0.007,0.295
