analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Winter_Wheat_yearly_False_window_1_lags_none_sinusoidal_no_spline,False,1,spline_lags_none_sinusoidal_no,0.329,0.1,421.987,427.664,True,True,True,2.182,-1.669,0,1.0,1.0,1.0,1.0,0.811,0.279,0.503,"[np.float64(504.19), np.float64(867.04), np.float64(1001.8), np.float64(1092.0022), np.float64(1345.91399)]",,,,
Winter_Wheat_yearly_False_window_1_lags_none_sinusoidal_yes_spline,False,1,spline_lags_none_sinusoidal_yes,0.468,0.077,420.634,428.582,True,True,True,2.176,-1.778,0,1.0,1.287,1.101,1.021,0.928,0.133,0.602,"[np.float64(504.19), np.float64(867.04), np.float64(1001.8), np.float64(1092.0022), np.float64(1345.91399)]",1.231,1.177,0.108,0.366
Winter_Wheat_yearly_True_window_1_lags_none_sinusoidal_no_spline,True,1,spline_lags_none_sinusoidal_no,0.43,0.033,336.657,341.379,True,True,True,2.28,-223.359,0,1.0,1.0,1.0,1.0,0.585,0.694,0.177,"[np.float64(614.68), np.float64(915.910517), np.float64(985.773183), np.float64(1048.862), np.float64(1345.91399)]",,,,
Winter_Wheat_yearly_True_window_1_lags_none_sinusoidal_yes_spline,True,1,spline_lags_none_sinusoidal_yes,0.621,0.006,332.882,339.493,True,True,True,1.683,-148.892,0,1.0,1.28,1.068,1.117,0.993,0.791,0.471,"[np.float64(614.68), np.float64(915.910517), np.float64(985.773183), np.float64(1048.862), np.float64(1345.91399)]",1.231,1.234,0.032,0.745
Winter_Wheat_yearly_False_window_2_lags_none_sinusoidal_no_spline,False,2,spline_lags_none_sinusoidal_no,0.255,0.047,404.906,410.583,True,True,False,1.026,-45.114,0,1.0,1.0,1.0,1.0,0.663,0.419,0.859,"[np.float64(828.6750000000002), np.float64(997.617909), np.float64(1034.869301), np.float64(1076.004), np.float64(1312.342987)]",,,,
Winter_Wheat_yearly_False_window_2_lags_none_sinusoidal_yes_spline,False,2,spline_lags_none_sinusoidal_yes,0.285,0.044,407.955,415.903,True,True,False,0.978,-49.983,0,1.0,1.297,1.023,1.075,0.771,0.462,0.969,"[np.float64(828.6750000000002), np.float64(997.617909), np.float64(1034.869301), np.float64(1076.004), np.float64(1312.342987)]",1.077,1.318,0.472,0.738
Winter_Wheat_yearly_True_window_2_lags_none_sinusoidal_no_spline,True,2,spline_lags_none_sinusoidal_no,0.561,0.004,320.451,325.173,True,True,True,1.505,-0.41,0,1.0,1.0,1.0,1.0,0.228,0.954,0.524,"[np.float64(759.3586666666666), np.float64(888.730675), np.float64(1013.816), np.float64(1052.067933), np.float64(1172.50624475)]",,,,
Winter_Wheat_yearly_True_window_2_lags_none_sinusoidal_yes_spline,True,2,spline_lags_none_sinusoidal_yes,0.58,0.007,323.591,330.202,True,True,False,1.42,-0.512,0,1.0,1.148,1.018,1.067,0.397,0.786,0.706,"[np.float64(759.3586666666666), np.float64(888.730675), np.float64(1013.816), np.float64(1052.067933), np.float64(1172.50624475)]",1.139,1.095,0.472,1.0
Winter_Wheat_yearly_False_window_3_lags_none_sinusoidal_no_spline,False,3,spline_lags_none_sinusoidal_no,0.382,0.071,391.642,397.32,False,True,False,0.952,-1.513,0,1.0,1.0,1.0,1.0,0.129,0.488,0.636,"[np.float64(830.3717666666666), np.float64(927.532547), np.float64(988.124001), np.float64(1047.602667), np.float64(1167.5619913333333)]",,,,
Winter_Wheat_yearly_False_window_3_lags_none_sinusoidal_yes_spline,False,3,spline_lags_none_sinusoidal_yes,0.442,0.064,393.304,401.252,False,True,False,0.978,-1.355,0,1.0,1.079,1.164,1.066,0.266,0.886,0.769,"[np.float64(830.3717666666666), np.float64(927.532547), np.float64(988.124001), np.float64(1047.602667), np.float64(1167.5619913333333)]",1.06,1.25,0.842,0.218
Winter_Wheat_yearly_True_window_3_lags_none_sinusoidal_no_spline,True,3,spline_lags_none_sinusoidal_no,0.714,0.001,298.54,303.262,True,True,True,1.625,-2.233,0,1.0,1.0,1.0,1.0,0.034,0.95,0.555,"[np.float64(759.3586666666666), np.float64(893.34426), np.float64(972.324294), np.float64(1047.602667), np.float64(1153.8688606666667)]",,,,
Winter_Wheat_yearly_True_window_3_lags_none_sinusoidal_yes_spline,True,3,spline_lags_none_sinusoidal_yes,0.729,0.002,301.49,308.101,True,True,True,1.511,-1.234,0,1.0,1.111,1.037,1.189,0.072,0.917,0.433,"[np.float64(759.3586666666666), np.float64(893.34426), np.float64(972.324294), np.float64(1047.602667), np.float64(1153.8688606666667)]",1.119,1.219,0.966,0.425
Winter_Wheat_yearly_False_window_4_lags_none_sinusoidal_no_spline,False,4,spline_lags_none_sinusoidal_no,0.412,0.015,378.833,384.51,False,True,False,1.136,0.228,0,1.0,1.0,1.0,1.0,0.186,0.433,0.537,"[np.float64(831.698), np.float64(942.257554), np.float64(980.648), np.float64(1043.888801), np.float64(1155.72074325)]",,,,
